AM,mid,PM
4.31,4.82,4.55
5.5,6.84,5.68
6.24,8.11,8.89
4.5,4.86,4.65
5.47,6.63,5.59
6.17,7.5,8.26
4.3,4.88,4.6
4.99,6.25,5.2
5.84,7.26,7.66
4.64,5.04,4.89
5.64,6.96,5.97
6.32,7.74,8.48
