AM,mid,PM
0.7,0.69,0.61
0.8,0.77,0.65
0.76,0.71,0.7
0.74,0.7,0.62
0.76,0.74,0.65
0.78,0.61,0.69
0.7,0.69,0.6
0.71,0.68,0.63
0.66,0.57,0.72
0.76,0.69,0.67
0.76,0.76,0.67
0.76,0.68,0.72
