route_id,schd_trip_id,stop_id,stop_sequence,arrival_time,schd_sec,trip_id,event_time,avl_sec,diff
20,911316020,394,8,06:12:54,22374,911316020,2019-09-03 06:18:17,22696.999999999996,322.9999999999927
20,911316020,395,9,06:13:24,22404,911316020,2019-09-03 06:18:41,22720.999999999996,316.9999999999927
20,911240020,432,46,06:17:00,22620,911240020,2019-09-03 06:18:47,22726.999999999996,106.99999999999272
20,911316020,396,10,06:13:54,22434,911316020,2019-09-03 06:19:00,22739.999999999996,305.9999999999927
20,911240020,15279,47,06:18:03,22683,911240020,2019-09-03 06:19:10,22749.999999999996,66.99999999999272
20,911411030,386,1,06:19:30,22770,911411030,2019-09-03 06:19:19,22758.999999999996,-11.000000000007276
20,911240020,16049,48,06:18:42,22722,911240020,2019-09-03 06:19:40,22779.999999999996,57.99999999999272
20,911316020,397,11,06:14:30,22470,911316020,2019-09-03 06:19:56,22795.999999999996,325.9999999999927
20,911240020,435,49,06:19:31,22771,911240020,2019-09-03 06:20:06,22805.999999999996,34.999999999992724
20,911411030,388,2,06:20:06,22806,911411030,2019-09-03 06:20:20,22819.999999999996,13.999999999992724
20,911411030,389,3,06:20:30,22830,911411030,2019-09-03 06:20:31,22830.999999999996,0.999999999992724
20,911411030,390,4,06:20:54,22854,911411030,2019-09-03 06:20:44,22843.999999999996,-10.000000000007276
20,911411030,391,5,06:21:18,22878,911411030,2019-09-03 06:20:57,22856.999999999996,-21.00000000000728
20,911240020,436,50,06:20:21,22821,911240020,2019-09-03 06:20:59,22858.999999999996,37.99999999999272
20,911411030,14956,6,06:21:51,22911,911411030,2019-09-03 06:21:15,22874.999999999996,-36.00000000000728
20,911411030,393,7,06:22:03,22923,911411030,2019-09-03 06:21:24,22883.999999999996,-39.00000000000728
20,911316020,17169,12,06:15:09,22509,911316020,2019-09-03 06:21:28,22887.999999999996,378.9999999999927
20,911411030,394,8,06:22:24,22944,911411030,2019-09-03 06:21:35,22894.999999999996,-49.00000000000728
20,911411030,395,9,06:22:54,22974,911411030,2019-09-03 06:21:51,22910.999999999996,-63.00000000000728
20,911316020,17162,13,06:16:00,22560,911316020,2019-09-03 06:22:09,22928.999999999996,368.9999999999927
20,911240020,437,51,06:21:03,22863,911240020,2019-09-03 06:22:18,22937.999999999996,74.99999999999272
20,911411030,396,10,06:23:24,23004,911411030,2019-09-03 06:22:26,22945.999999999996,-58.00000000000728
20,911240020,14647,52,06:21:45,22905,911240020,2019-09-03 06:22:50,22969.999999999996,64.99999999999272
20,911411030,397,11,06:24:00,23040,911411030,2019-09-03 06:23:11,22990.999999999996,-49.00000000000728
20,911240020,439,53,06:22:14,22934,911240020,2019-09-03 06:23:23,23002.999999999996,68.99999999999272
20,911316020,14959,14,06:17:00,22620,911316020,2019-09-03 06:23:34,23013.999999999996,393.9999999999927
20,911411030,17169,12,06:24:39,23079,911411030,2019-09-03 06:23:43,23022.999999999996,-56.00000000000728
20,911316020,402,15,06:17:38,22658,911316020,2019-09-03 06:24:06,23045.999999999996,387.9999999999927
20,911411030,17162,13,06:25:30,23130,911411030,2019-09-03 06:24:11,23050.999999999996,-79.00000000000728
20,911240020,440,54,06:23:00,22980,911240020,2019-09-03 06:24:27,23066.999999999996,86.99999999999272
20,911316020,403,16,06:18:25,22705,911316020,2019-09-03 06:24:34,23073.999999999996,368.9999999999927
