route_id,schd_trip_id,stop_id,stop_sequence,arrival_time,schd_sec,trip_id,event_time,avl_sec,diff,index
20,910043020,413,26,08:08:16,29296,910043020,2019-09-04 08:06:40,29200.0,-96.0,2021.0
20,910043020,413,26,08:08:16,29296,910043020,2019-09-05 08:07:04,115624.0,86328.0,2022.0
20,910043020,413,26,08:08:16,29296,910043020,2019-09-06 08:08:24,202104.0,172808.0,2023.0
20,910043020,415,28,08:09:50,29390,910043020,2019-09-03 08:13:11,29591.0,201.0,2024.0
20,910043020,415,28,08:09:50,29390,910043020,2019-09-04 08:08:04,29284.000000000004,-105.99999999999636,2025.0
20,910043020,415,28,08:09:50,29390,910043020,2019-09-05 08:09:42,115782.0,86392.0,2026.0
20,910043020,415,28,08:09:50,29390,910043020,2019-09-06 08:10:50,202250.0,172860.0,2027.0
20,910043020,416,29,08:10:30,29430,910043020,2019-09-03 08:14:24,29664.0,234.0,2028.0
20,910043020,416,29,08:10:30,29430,910043020,2019-09-04 08:09:28,29368.000000000004,-61.99999999999636,2029.0
20,910043020,416,29,08:10:30,29430,910043020,2019-09-05 08:10:23,115823.0,86393.0,2030.0
20,910043020,416,29,08:10:30,29430,910043020,2019-09-06 08:11:32,202292.0,172862.0,2031.0
20,910043020,417,30,08:11:27,29487,910043020,2019-09-03 08:15:33,29733.0,246.0,2032.0
20,910043020,417,30,08:11:27,29487,910043020,2019-09-04 08:10:42,29442.000000000004,-44.99999999999636,2033.0
20,910043020,417,30,08:11:27,29487,910043020,2019-09-05 08:11:18,115878.0,86391.0,2034.0
20,910043020,417,30,08:11:27,29487,910043020,2019-09-06 08:12:03,202323.0,172836.0,2035.0
20,910043020,420,33,08:13:26,29606,910043020,2019-09-03 08:17:55,29875.0,269.0,2036.0
20,910043020,420,33,08:13:26,29606,910043020,2019-09-04 08:12:58,29578.000000000004,-27.99999999999636,2037.0
20,910043020,420,33,08:13:26,29606,910043020,2019-09-05 08:12:42,115962.0,86356.0,2038.0
