route,segment,stop_spacing,running_time
49,"[8385, 8387]",1045.44,1.0253706473
49,"[14794, 14795]",1346.4,1.136627907
49,"[8257, 8259]",1288.32,1.0191188294
49,"[15323, 4162]",1415.04,1.1804761905
49,"[8319, 8320]",654.72,0.544510978
49,"[18311, 1719]",892.32,0.956159529
49,"[8352, 8353]",1620.96,1.2451413851
49,"[8362, 8364]",971.52,0.9868585044
49,"[18155, 14592]",960.96,1.6492828882
49,"[8412, 17346]",818.4,0.7979436573
