date,bin,boarding_stop_id,alighting_stop_id,demand
2020-10-01,36,8317,8323,1
2020-10-01,37,8323,8350,2
2020-10-01,37,8323,17914,1
2020-10-01,37,8391,17914,1
2020-10-01,37,8400,18330,1
2020-10-01,37,14795,17914,1
2020-10-01,38,8339,17914,1
2020-10-01,39,17346,18155,1
2020-10-01,40,8356,17914,1
2020-10-01,42,8317,8319,1
