911214020 {
16110 27052.5 27052.5 8 0 0 0
420 27107.09 27115.19 8 1 1 0
421 27135.75 27135.75 8 0 0 0
16088 27165.49 27173.59 9 1 0 0
423 27201.32 27201.32 9 0 0 0
15364 27304.58 27313.78 8 1 2 0
425 27405.74 27413.84 9 1 0 0
15384 27460.2 27468.3 10 1 0 0
427 27500.23 27500.23 10 0 0 0
428 27544.42 27558.72 12 3 1 0
429 27595.39 27595.39 12 0 0 0
430 27637.44 27637.44 12 0 0 0
431 27684.2 27684.2 12 0 0 0
4727 27759.98 27759.98 12 0 0 0
432 27857.32 27864.42 11 0 1 0
15279 27974.71 27985.91 13 2 0 0
16049 28013.8 28013.8 13 0 0 0
435 28055.8 28063.9 14 1 0 0
436 28114.66 28121.76 13 0 1 0
437 28192.3 28192.3 13 0 0 0
14647 28250.6 28250.6 13 0 0 0
439 28296.17 28296.17 13 0 0 0
440 28359.23 28366.33 12 0 1 0
12754 28412.27 28412.27 12 0 0 0
442 28467.59 28475.69 12 1 1 0
443 28554.53 28565.73 13 2 1 0
445 28782.11 28791.31 11 0 2 0
446 28859.02 28868.22 9 0 2 0
18122 28977.0 28984.1 8 0 1 0
448 29081.22 29096.72 3 0 5 0
1119 29215.81 29222.91 2 0 1 0
1120 29279.22 29279.22 2 0 0 0
1121 29319.39 29319.39 2 0 0 0
3953 29393.55 29393.55 2 0 0 0
3954 29420.71 29420.71 2 0 0 0
8613 29595.39 29595.39 0 0 2 0
     }
- - - - - -
911377020 {
416 27019.18 27026.28 3 0 1 0
417 27110.86 27110.86 3 0 0 0
15185 27135.7 27135.7 3 0 0 0
16110 27199.44 27199.44 3 0 0 0
420 27244.34 27255.54 5 2 0 0
421 27276.18 27276.18 5 0 0 0
16088 27296.44 27304.54 6 1 0 0
423 27337.0 27337.0 6 0 0 0
15364 27499.51 27507.61 6 1 1 0
425 27573.01 27573.01 6 0 0 0
15384 27606.35 27614.45 7 1 0 0
427 27651.96 27651.96 7 0 0 0
428 27695.83 27703.93 8 1 0 0
429 27748.98 27748.98 8 0 0 0
430 27788.14 27788.14 8 0 0 0
431 27835.17 27835.17 8 0 0 0
4727 27900.32 27911.52 10 2 0 0
432 28003.3 28010.4 9 0 1 0
15279 28141.84 28149.94 10 1 0 0
16049 28177.56 28177.56 10 0 0 0
435 28245.37 28253.47 11 1 0 0
436 28319.02 28330.22 13 2 0 0
437 28371.79 28371.79 13 0 0 0
14647 28444.57 28444.57 13 0 0 0
439 28500.29 28508.39 14 1 0 0
440 28574.89 28582.99 14 1 1 0
12754 28639.32 28639.32 14 0 0 0
442 28705.8 28712.9 13 0 1 0
443 28783.74 28791.84 13 1 1 0
445 28964.04 28973.24 11 0 2 0
446 29061.39 29070.59 9 0 2 0
18122 29157.57 29164.67 8 0 1 0
448 29230.62 29246.12 3 0 5 0
1119 29424.26 29431.36 2 0 1 0
1120 29507.76 29507.76 2 0 0 0
1121 29555.76 29555.76 2 0 0 0
1121 29555.76 29595.39 2 0 0 0
3953 29702.98 29702.98 2 0 0 0
3954 29738.93 29738.93 2 0 0 0
8613 29918.31 29918.31 0 0 2 0
     }
- - - - - -
911283020 {
409 27018.07 27026.17 9 1 1 0
18047 27104.0 27104.0 9 0 0 0
17841 27182.72 27190.82 10 1 0 0
412 27222.82 27222.82 10 0 0 0
413 27268.85 27268.85 10 0 0 0
14764 27316.1 27325.3 9 1 2 0
415 27367.1 27367.1 9 0 0 0
416 27405.88 27415.08 7 0 2 0
417 27474.57 27474.57 7 0 0 0
15185 27500.35 27500.35 7 0 0 0
16110 27531.37 27531.37 7 0 0 0
420 27590.58 27597.68 6 0 1 0
421 27613.95 27613.95 6 0 0 0
16088 27644.87 27656.07 8 2 0 0
423 27687.03 27687.03 8 0 0 0
15364 27864.18 27875.38 8 2 2 0
425 27925.62 27925.62 8 0 0 0
15384 27970.36 27987.76 12 4 0 0
427 28044.26 28055.46 14 2 0 0
428 28117.5 28131.8 16 3 1 0
429 28203.23 28211.33 17 1 0 0
430 28267.41 28278.61 19 2 0 0
431 28338.27 28338.27 19 0 0 0
4727 28382.44 28389.54 18 0 1 0
432 28461.91 28476.21 19 3 2 0
15279 28550.75 28558.85 20 1 0 0
16049 28597.96 28597.96 20 0 0 0
435 28637.12 28648.32 22 2 0 0
436 28707.15 28724.55 25 4 1 0
437 28795.06 28806.26 27 2 0 0
14647 28875.19 28875.19 27 0 0 0
439 28904.67 28912.77 28 1 0 0
440 29034.8 29044.0 26 0 2 0
12754 29114.32 29122.42 27 1 0 0
442 29226.84 29233.94 26 0 1 0
443 29348.84 29375.54 31 7 2 0
