trip_id,stop_id,arr_t,dep_t,load_count,ons_count,offs_count,denied_count
911214020,409,26417.2,26423.4,7,0,1,0
911214020,18047,26488.6,26488.6,7,0,0,0
911214020,17841,26528.0,26539.0,9,2,0,0
911214020,412,26591.1,26591.1,9,0,0,0
911214020,413,26627.4,26627.4,9,0,0,0
911214020,14764,26664.5,26671.9,7,0,2,0
911214020,415,26711.9,26711.9,7,0,0,0
911214020,416,26744.0,26752.0,7,1,1,0
911214020,417,26816.6,26824.6,8,1,0,0
911214020,15185,26883.3,26883.3,8,0,0,0
911214020,16110,26944.9,26944.9,8,0,0,0
911214020,420,27011.9,27019.9,8,1,1,0
911214020,421,27037.4,27037.4,8,0,0,0
911214020,16088,27061.5,27061.5,8,0,0,0
911214020,423,27092.0,27092.0,8,0,0,0
911214020,15364,27212.5,27223.5,8,2,2,0
911214020,425,27298.2,27298.2,8,0,0,0
911214020,15384,27340.4,27351.4,10,2,0,0
911214020,427,27389.2,27400.2,12,2,0,0
911214020,428,27448.0,27454.2,11,0,1,0
911214020,429,27498.1,27498.1,11,0,0,0
911214020,430,27549.6,27549.6,11,0,0,0
911214020,431,27590.7,27590.7,11,0,0,0
911214020,4727,27642.3,27656.3,14,3,0,0
911214020,432,27737.5,27745.5,13,1,2,0
911214020,15279,27813.8,27821.8,14,1,0,0
911214020,16049,27858.9,27869.9,16,2,0,0
911214020,435,27907.6,27918.6,18,2,0,0
911214020,436,27976.8,27987.8,19,2,1,0
911214020,437,28064.8,28075.8,21,2,0,0
911214020,14647,28127.1,28127.1,21,0,0,0
911214020,439,28172.6,28172.6,21,0,0,0
911214020,440,28244.4,28255.4,21,2,2,0
911214020,12754,28302.7,28302.7,21,0,0,0
911214020,442,28371.5,28379.5,21,1,1,0
911214020,443,28453.9,28470.9,23,4,2,0
911214020,445,28642.3,28650.9,20,0,3,0
911214020,446,28770.2,28780.0,16,0,4,0
911214020,18122,28854.7,28862.1,14,0,2,0
911377020,403,26400.0,26400.0,5,0,0,0
911377020,17163,26436.3,26436.3,5,0,0,0
911377020,15848,26518.1,26529.1,7,2,0,0
911377020,406,26564.1,26581.1,11,4,0,0
911377020,14500,26626.4,26626.4,11,0,0,0
911377020,15852,26673.0,26673.0,11,0,0,0
911377020,409,26694.2,26705.2,12,2,1,0
911377020,18047,26774.9,26774.9,12,0,0,0
911377020,17841,26813.5,26821.5,13,1,0,0
911377020,412,26881.8,26881.8,13,0,0,0
911377020,413,26912.3,26912.3,13,0,0,0
911377020,14764,26952.9,26960.3,11,0,2,0
911377020,415,27012.1,27012.1,11,0,0,0
911377020,416,27065.2,27073.2,10,1,2,0
911377020,417,27157.3,27157.3,10,0,0,0
911377020,15185,27190.5,27190.5,10,0,0,0
911377020,16110,27233.1,27233.1,10,0,0,0
911377020,420,27289.7,27295.9,9,0,1,0
911377020,421,27320.5,27320.5,9,0,0,0
911377020,16088,27344.7,27344.7,9,0,0,0
911377020,423,27381.0,27381.0,9,0,0,0
911377020,15364,27489.5,27503.5,10,3,2,0
911377020,425,27571.1,27571.1,10,0,0,0
911377020,15384,27610.1,27621.1,12,2,0,0
911377020,427,27659.1,27659.1,12,0,0,0
911377020,428,27715.1,27723.1,12,1,1,0
911377020,429,27770.5,27770.5,12,0,0,0
911377020,430,27806.2,27806.2,12,0,0,0
911377020,431,27853.7,27861.7,13,1,0,0
911377020,4727,27916.5,27924.5,14,1,0,0
911377020,432,27998.9,28006.3,12,0,2,0
911377020,15279,28116.6,28116.6,12,0,0,0
911377020,16049,28145.8,28153.8,13,1,0,0
911377020,435,28192.0,28192.0,13,0,0,0
911377020,436,28259.6,28265.8,12,0,1,0
911377020,437,28319.2,28327.2,13,1,0,0
911377020,14647,28399.0,28407.0,14,1,0,0
911377020,439,28456.4,28456.4,14,0,0,0
911377020,440,28572.6,28583.6,15,2,1,0
911377020,12754,28639.0,28639.0,15,0,0,0
911377020,442,28709.5,28715.7,14,0,1,0
911377020,443,28813.2,28824.2,15,2,1,0
911283020,397,26422.7,26422.7,3,0,0,0
911283020,17169,26479.8,26479.8,3,0,0,0
911283020,17162,26554.7,26554.7,3,0,0,0
911283020,14959,26659.9,26659.9,3,0,0,0
911283020,402,26713.1,26713.1,3,0,0,0
911283020,403,26737.4,26737.4,3,0,0,0
911283020,17163,26783.8,26783.8,3,0,0,0
911283020,15848,26834.0,26845.0,5,2,0,0
911283020,406,26879.2,26887.2,6,1,0,0
911283020,14500,26939.4,26939.4,6,0,0,0
911283020,15852,27001.0,27001.0,6,0,0,0
911283020,409,27031.5,27037.7,5,0,1,0
911283020,18047,27133.4,27133.4,5,0,0,0
911283020,17841,27208.7,27222.7,8,3,0,0
911283020,412,27272.5,27272.5,8,0,0,0
911283020,413,27315.7,27315.7,8,0,0,0
911283020,14764,27385.0,27393.0,8,1,1,0
911283020,415,27446.5,27446.5,8,0,0,0
911283020,416,27501.6,27507.8,7,0,1,0
911283020,417,27561.6,27561.6,7,0,0,0
911283020,15185,27595.5,27595.5,7,0,0,0
911283020,16110,27632.1,27640.1,8,1,0,0
911283020,420,27695.8,27706.8,9,2,1,0
911283020,421,27728.3,27728.3,9,0,0,0
911283020,16088,27751.3,27759.3,10,1,0,0
911283020,423,27789.6,27797.6,11,1,0,0
911283020,15364,27951.2,27968.2,12,4,3,0
911283020,425,28047.9,28047.9,12,0,0,0
911283020,15384,28077.0,28088.0,14,2,0,0
911283020,427,28133.9,28141.9,15,1,0,0
911283020,428,28201.3,28209.3,15,1,1,0
911283020,429,28253.4,28261.4,16,1,0,0
911283020,430,28312.0,28312.0,16,0,0,0
911283020,431,28357.5,28357.5,16,0,0,0
911283020,4727,28423.3,28429.5,15,0,1,0
911283020,432,28499.3,28510.3,15,2,2,0
911283020,15279,28592.3,28592.3,15,0,0,0
911283020,16049,28627.9,28627.9,15,0,0,0
911283020,435,28678.1,28695.1,19,4,0,0
911283020,436,28756.2,28764.2,19,1,1,0
911283020,437,28840.0,28840.0,19,0,0,0
910985020,391,26406.2,26406.2,2,0,0,0
910985020,14956,26460.2,26474.2,5,3,0,0
910985020,393,26509.6,26509.6,5,0,0,0
910985020,394,26526.6,26526.6,5,0,0,0
910985020,395,26560.4,26560.4,5,0,0,0
910985020,396,26592.3,26592.3,5,0,0,0
910985020,397,26634.5,26634.5,5,0,0,0
910985020,17169,26691.5,26691.5,5,0,0,0
910985020,17162,26756.2,26764.2,6,1,0,0
910985020,14959,26835.0,26843.0,6,1,1,0
910985020,402,26875.6,26883.6,7,1,0,0
910985020,403,26915.0,26915.0,7,0,0,0
910985020,17163,26955.0,26955.0,7,0,0,0
910985020,15848,27005.4,27005.4,7,0,0,0
910985020,406,27043.2,27049.4,6,0,1,0
910985020,14500,27092.8,27092.8,6,0,0,0
910985020,15852,27150.3,27158.3,7,1,0,0
910985020,409,27206.0,27212.2,6,0,1,0
910985020,18047,27291.6,27291.6,6,0,0,0
910985020,17841,27362.7,27362.7,6,0,0,0
910985020,412,27423.5,27423.5,6,0,0,0
910985020,413,27464.8,27464.8,6,0,0,0
910985020,14764,27522.7,27528.9,5,0,1,0
910985020,415,27585.3,27585.3,5,0,0,0
910985020,416,27640.2,27646.4,4,0,1,0
910985020,417,27716.7,27716.7,4,0,0,0
910985020,15185,27749.2,27749.2,4,0,0,0
910985020,16110,27801.4,27801.4,4,0,0,0
910985020,420,27854.4,27862.4,5,1,0,0
910985020,421,27883.3,27891.3,6,1,0,0
910985020,16088,27916.9,27924.9,7,1,0,0
910985020,423,27959.9,27970.9,9,2,0,0
910985020,15364,28087.9,28098.9,9,2,2,0
910985020,425,28193.2,28193.2,9,0,0,0
910985020,15384,28235.3,28243.3,10,1,0,0
910985020,427,28284.5,28292.5,11,1,0,0
910985020,428,28334.8,28341.0,10,0,1,0
910985020,429,28390.2,28390.2,10,0,0,0
910985020,430,28421.5,28421.5,10,0,0,0
910985020,431,28458.9,28458.9,10,0,0,0
910985020,4727,28513.8,28513.8,10,0,0,0
910985020,432,28583.4,28591.4,10,1,1,0
910985020,15279,28684.3,28684.3,10,0,0,0
910985020,16049,28717.8,28725.8,11,1,0,0
910985020,435,28765.4,28765.4,11,0,0,0
910985020,436,28830.7,28830.7,11,0,0,0
911298020,386,26471.6,26471.6,0,0,0,0
911298020,388,26526.0,26526.0,0,0,0,0
911298020,389,26561.9,26561.9,0,0,0,0
911298020,390,26589.2,26597.2,1,1,0,0
911298020,391,26618.9,26618.9,1,0,0,0
911298020,14956,26688.5,26699.5,3,2,0,0
911298020,393,26725.2,26725.2,3,0,0,0
911298020,394,26739.2,26739.2,3,0,0,0
911298020,395,26768.9,26768.9,3,0,0,0
911298020,396,26802.7,26802.7,3,0,0,0
911298020,397,26856.0,26864.0,4,1,0,0
911298020,17169,26907.9,26907.9,4,0,0,0
911298020,17162,26978.2,26978.2,4,0,0,0
911298020,14959,27072.4,27083.4,6,2,0,0
911298020,402,27122.8,27122.8,6,0,0,0
911298020,403,27144.1,27144.1,6,0,0,0
911298020,17163,27181.3,27189.3,7,1,0,0
911298020,15848,27237.3,27237.3,7,0,0,0
911298020,406,27269.3,27277.3,7,1,1,0
911298020,14500,27330.4,27338.4,8,1,0,0
911298020,15852,27403.8,27403.8,8,0,0,0
911298020,409,27434.9,27441.1,7,0,1,0
911298020,18047,27511.6,27511.6,7,0,0,0
911298020,17841,27566.5,27566.5,7,0,0,0
911298020,412,27609.0,27609.0,7,0,0,0
911298020,413,27652.3,27652.3,7,0,0,0
911298020,14764,27706.8,27714.8,7,1,1,0
911298020,415,27765.4,27765.4,7,0,0,0
911298020,416,27801.9,27809.9,7,1,1,0
911298020,417,27878.8,27878.8,7,0,0,0
