 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec,  skip 
911214020 {
14500 26409.8 26409.8 6 0 0 0 0 0
15852 26463.1 26463.1 6 0 0 0 0 0
409 26491.0 26502.2 7 2 1 0 0 0
18047 26574.7 26574.7 7 0 0 0 0 0
17841 26600.7 26611.9 9 2 0 0 0 0
412 26662.0 26662.0 9 0 0 0 0 0
413 26697.0 26697.0 9 0 0 0 0 0
14764 26744.5 26755.7 10 2 1 0 0 0
415 26796.4 26802.6 9 0 1 0 0 0
416 26826.6 26834.7 8 1 2 0 0 0
417 26937.0 26937.0 8 0 0 0 0 0
15185 26971.1 26979.2 9 1 0 0 0 0
16110 27031.1 27031.1 9 0 0 0 0 0
420 27095.7 27103.8 9 1 1 0 0 0
421 27120.1 27128.2 10 1 0 0 0 0
16088 27152.6 27152.6 10 0 0 0 0 0
423 27184.4 27184.4 10 0 0 0 0 0
15364 27311.0 27319.1 9 1 2 0 0 0
425 27384.9 27384.9 9 0 0 0 0 0
15384 27416.4 27416.4 9 0 0 0 0 0
427 27461.5 27469.6 10 1 0 0 0 0
428 27528.2 27536.3 10 1 1 0 0 0
429 27578.4 27578.4 10 0 0 0 0 0
430 27615.3 27615.3 10 0 0 0 0 0
431 27664.7 27664.7 10 0 0 0 0 0
4727 27722.0 27722.0 10 0 0 0 0 0
432 27792.8 27800.9 10 1 1 0 0 0
15279 27896.2 27904.3 11 1 0 0 0 0
16049 27941.6 27941.6 11 0 0 0 0 0
435 27986.5 27997.7 13 2 0 0 0 0
436 28050.2 28056.4 12 0 1 0 0 0
437 28131.3 28139.4 13 1 0 0 0 0
14647 28202.0 28210.1 14 1 0 0 0 0
439 28258.5 28266.6 15 1 0 0 0 0
440 28339.6 28347.7 15 1 1 0 0 0
12754 28410.7 28410.7 15 0 0 0 0 0
442 28470.0 28476.2 14 0 1 0 0 0
443 28566.5 28580.8 15 3 2 0 0 0
445 28806.2 28814.8 13 1 3 0 0 0
     }
- - - - - -
911377020 {
402 26444.2 26452.3 5 1 0 0 0 0
