stop_1,stop_2,mean_sec,std_sec,stop_1_lat,stop_1_lon,stop_2_lat,stop_2_lon
14500,15852,58.3,11.8,41.88056848,-87.7304601,41.88059058,-87.72786002
15852,409,31.3,6.5,41.88059058,-87.72786002,41.88061422,-87.72582347
409,18047,89.6,14.7,41.88061422,-87.72582347,41.88070328,-87.72286077
18047,17841,66.7,17.8,41.88070328,-87.72286077,41.88074353,-87.72045859
17841,412,53.7,7.2,41.88074353,-87.72045859,41.8808072,-87.7159745
412,413,45.0,9.8,41.8808072,-87.7159745,41.88081388,-87.71381964
413,14764,61.1,14.1,41.88081388,-87.71381964,41.88084064,-87.71073049
14764,415,47.1,8.8,41.88084064,-87.71073049,41.880887,-87.708722
415,416,47.6,6.9,41.880887,-87.708722,41.880902,-87.706333
416,417,60.4,14.8,41.880902,-87.706333,41.880952,-87.703147
417,15185,41.9,7.6,41.880952,-87.703147,41.88095403,-87.70088084
15185,16110,48.0,9.4,41.88095403,-87.70088084,41.88099888,-87.69856203
16110,420,51.6,10.0,41.88099888,-87.69856203,41.88100858,-87.69600765
420,421,25.2,4.7,41.88100858,-87.69600765,41.88103245,-87.694048
421,16088,24.0,5.7,41.88103245,-87.694048,41.88103301,-87.69229365
16088,423,32.5,5.3,41.88103301,-87.69229365,41.88106252,-87.68897646
423,15364,146.3,24.3,41.88106252,-87.68897646,41.88109893,-87.68607651
15364,425,74.1,13.8,41.88109893,-87.68607651,41.88112797,-87.68410996
425,15384,40.0,9.5,41.88112797,-87.68410996,41.88117403,-87.68122249
15384,427,35.2,8.4,41.88117403,-87.68122249,41.881232,-87.679293
427,428,42.5,6.8,41.881232,-87.679293,41.881262,-87.67685
428,429,49.2,18.4,41.881262,-87.67685,41.88129674,-87.67424663
429,430,37.6,8.2,41.88129674,-87.67424663,41.8813284,-87.67186305
430,431,62.5,19.6,41.8813284,-87.67186305,41.88137,-87.669513
431,4727,64.1,21.7,41.88137,-87.669513,41.881385,-87.668503
4727,432,88.6,20.1,41.881385,-87.668503,41.88139461,-87.66699977
432,15279,69.6,12.2,41.88139461,-87.66699977,41.88143358,-87.66418871
15279,16049,29.5,7.3,41.88143358,-87.66418871,41.88146881,-87.66201484
16049,435,66.0,13.3,41.88146881,-87.66201484,41.881525,-87.659765
435,436,90.2,18.7,41.881525,-87.659765,41.881545,-87.657333
436,437,77.3,18.6,41.881545,-87.657333,41.881608,-87.654897
437,14647,72.2,20.9,41.881608,-87.654897,41.88165169,-87.65191235
14647,439,43.9,11.1,41.88165169,-87.65191235,41.88167775,-87.64983775
439,440,84.2,15.2,41.88167775,-87.64983775,41.882,-87.64728
440,12754,49.6,10.8,41.882,-87.64728,41.8830708,-87.64669495
12754,442,67.6,18.3,41.8830708,-87.64669495,41.88311,-87.642848
442,443,121.8,33.2,41.88311,-87.642848,41.883084,-87.639976
443,445,212.5,49.3,41.883084,-87.639976,41.883128,-87.635516
445,446,72.8,5.0,41.883128,-87.635516,41.883137,-87.632625
446,18122,86.3,11.3,41.883137,-87.632625,41.88314707,-87.63019604
18122,448,103.0,22.1,41.88314707,-87.63019604,41.88316957,-87.62749695
448,1119,194.6,22.5,41.88316957,-87.62749695,41.88468794,-87.62431755
1119,1120,75.5,11.0,41.88468794,-87.62431755,41.88669974,-87.624384
1120,1121,65.8,6.6,41.88669974,-87.624384,41.888076,-87.624425
1121,3953,66.8,8.4,41.888076,-87.624425,41.887978,-87.621979
3953,3954,46.5,0.2,41.887978,-87.621979,41.887792,-87.620967
3954,8613,201.2,0.0,41.887792,-87.620967,41.884688,-87.620796
14959,402,42.1,7.8,41.88039237,-87.74496781,41.880443,-87.742998
402,403,25.6,5.9,41.880443,-87.742998,41.880475,-87.740705
403,17163,39.1,6.2,41.880475,-87.740705,41.88048501,-87.73768052
17163,15848,54.6,13.9,41.88048501,-87.73768052,41.88050398,-87.7352163
15848,406,41.0,7.2,41.88050398,-87.7352163,41.88053063,-87.7331241
406,14500,54.9,10.3,41.88053063,-87.7331241,41.88056848,-87.7304601
17169,17162,48.3,11.8,41.88029685,-87.75221539,41.88033514,-87.7491367
17162,14959,78.7,11.9,41.88033514,-87.7491367,41.88039237,-87.74496781
390,391,22.9,3.5,41.88010476,-87.76821491,41.88014676,-87.76661691
391,14956,61.0,12.4,41.88014676,-87.76661691,41.88014099,-87.76461188
14956,393,33.4,5.5,41.88014099,-87.76461188,41.88018349,-87.7632177
393,394,18.4,3.7,41.88018349,-87.7632177,41.88020276,-87.76191891
394,395,32.4,4.2,41.88020276,-87.76191891,41.88019981,-87.75996715
395,396,32.9,6.2,41.88019981,-87.75996715,41.88025187,-87.75778965
396,397,48.4,7.9,41.88025187,-87.75778965,41.88027,-87.75526
397,17169,62.7,9.1,41.88027,-87.75526,41.88029685,-87.75221539
386,388,53.1,11.7,41.880313,-87.774043,41.88000915,-87.7714723
388,389,27.4,5.5,41.88000915,-87.7714723,41.88008776,-87.76992191
389,390,25.9,6.9,41.88008776,-87.76992191,41.88010476,-87.76821491
