stop,wait_time_sec,stop_lat,stop_lon,stop_sequence
386,171.4368421052631,41.880313,-87.774043,0
388,174.61874999999964,41.88000915,-87.7714723,1
389,176.4157894736839,41.88008776,-87.76992191,2
390,0.0,41.88010476,-87.76821491,3
391,173.0062499999999,41.88014676,-87.76661691,4
14956,176.43000000000026,41.88014099,-87.76461188,5
393,0.0,41.88018349,-87.7632177,6
394,167.27857142857127,41.88020276,-87.76191891,7
395,161.6249999999991,41.88019981,-87.75996715,8
396,183.94705882352955,41.88025187,-87.75778965,9
397,190.5756756756756,41.88027,-87.75526,10
17169,186.42500000000018,41.88029685,-87.75221539,11
17162,178.64210526315793,41.88033514,-87.7491367,12
14959,217.27941176470566,41.88039237,-87.74496781,13
402,166.89999999999964,41.880443,-87.742998,14
403,198.79999999999927,41.880475,-87.740705,15
17163,165.6499999999995,41.88048501,-87.73768052,16
15848,194.9269230769233,41.88050398,-87.7352163,17
406,184.5804347826088,41.88053063,-87.7331241,18
14500,295.34374999999994,41.88056848,-87.7304601,19
15852,218.9800000000003,41.88059058,-87.72786002,20
409,196.11956521739114,41.88061422,-87.72582347,21
18047,190.63500000000005,41.88070328,-87.72286077,22
17841,187.5178571428572,41.88074353,-87.72045859,23
412,163.75,41.8808072,-87.7159745,24
413,264.59999999999854,41.88081388,-87.71381964,25
14764,183.9199999999999,41.88084064,-87.71073049,26
415,0.0,41.880887,-87.708722,27
416,179.88888888888894,41.880902,-87.706333,28
417,217.95000000000027,41.880952,-87.703147,29
15185,196.42727272727262,41.88095403,-87.70088084,30
16110,191.10833333333358,41.88099888,-87.69856203,31
420,191.69883720930235,41.88100858,-87.69600765,32
421,188.55000000000018,41.88103245,-87.694048,33
16088,0.0,41.88103301,-87.69229365,34
423,192.8444444444443,41.88106252,-87.68897646,35
15364,188.87608695652173,41.88109893,-87.68607651,36
425,0.0,41.88112797,-87.68410996,37
15384,190.9854545454546,41.88117403,-87.68122249,38
427,185.6615384615385,41.881232,-87.679293,39
428,192.0937499999999,41.881262,-87.67685,40
429,187.5,41.88129674,-87.67424663,41
430,192.8607142857141,41.8813284,-87.67186305,42
431,191.64374999999973,41.88137,-87.669513,43
4727,192.20955056179776,41.881385,-87.668503,44
432,194.87416666666675,41.88139461,-87.66699977,45
15279,208.05714285714268,41.88143358,-87.66418871,46
16049,322.0061728395061,41.88146881,-87.66201484,47
435,198.0450549450549,41.881525,-87.659765,48
436,194.08047619047616,41.881545,-87.657333,49
437,200.48303571428568,41.881608,-87.654897,50
14647,190.9543103448275,41.88165169,-87.65191235,51
439,212.05399999999995,41.88167775,-87.64983775,52
440,197.0437499999999,41.882,-87.64728,53
12754,182.92500000000055,41.8830708,-87.64669495,54
442,206.73333333333363,41.88311,-87.642848,55
443,206.2815384615385,41.883084,-87.639976,56
445,0.0,41.883128,-87.635516,57
446,203.37857142857163,41.883137,-87.632625,58
18122,233.51944444444476,41.88314707,-87.63019604,59
448,216.47424242424236,41.88316957,-87.62749695,60
1119,0.0,41.88468794,-87.62431755,61
1120,0.0,41.88669974,-87.624384,62
1121,0.0,41.888076,-87.624425,63
3953,0.0,41.887978,-87.621979,64
3954,251.64000000000016,41.887792,-87.620967,65
8613,0.0,41.884688,-87.620796,66
