stop,wait_time_sec,stop_lat,stop_lon
386,256.3584453812162,41.880313,-87.774043
388,285.36968138647876,41.88000915,-87.7714723
389,256.47476357075163,41.88008776,-87.76992191
390,400.0261602920867,41.88010476,-87.76821491
391,391.9034943975189,41.88014676,-87.76661691
14956,256.38465480264296,41.88014099,-87.76461188
393,156.9788705300807,41.88018349,-87.7632177
394,217.86120209811378,41.88020276,-87.76191891
395,395.6692901550482,41.88019981,-87.75996715
396,355.14263548478084,41.88025187,-87.75778965
397,280.2608813975898,41.88027,-87.75526
17169,303.02967362009207,41.88029685,-87.75221539
17162,215.6576416921139,41.88033514,-87.7491367
14959,246.842901532835,41.88039237,-87.74496781
402,185.53008772270888,41.880443,-87.742998
403,163.69701903697205,41.880475,-87.740705
17163,311.38035902662983,41.88048501,-87.73768052
15848,377.33660940982975,41.88050398,-87.7352163
406,269.99906768194836,41.88053063,-87.7331241
14500,207.16259277708264,41.88056848,-87.7304601
15852,213.22251556044466,41.88059058,-87.72786002
409,315.0624870441939,41.88061422,-87.72582347
18047,341.0314332259216,41.88070328,-87.72286077
17841,354.95185943209304,41.88074353,-87.72045859
412,600.0,41.8808072,-87.7159745
413,196.9872694276837,41.88081388,-87.71381964
14764,233.35070509394427,41.88084064,-87.71073049
415,368.43852953856367,41.880887,-87.708722
416,229.02713071491277,41.880902,-87.706333
417,181.27473294207812,41.880952,-87.703147
15185,324.6561154956928,41.88095403,-87.70088084
16110,308.52620421794063,41.88099888,-87.69856203
420,297.63396420649474,41.88100858,-87.69600765
421,189.01904378100153,41.88103245,-87.694048
16088,251.35920184544426,41.88103301,-87.69229365
423,275.6045336049074,41.88106252,-87.68897646
15364,265.0020803723555,41.88109893,-87.68607651
425,205.91692931686242,41.88112797,-87.68410996
15384,268.4958258658616,41.88117403,-87.68122249
427,313.7667956820134,41.881232,-87.679293
428,297.5971460218442,41.881262,-87.67685
429,150.24278284274746,41.88129674,-87.67424663
430,285.629494602232,41.8813284,-87.67186305
431,203.0162824903701,41.88137,-87.669513
4727,304.6363159947115,41.881385,-87.668503
432,433.21974713418905,41.88139461,-87.66699977
15279,311.1325640776458,41.88143358,-87.66418871
16049,217.790578215656,41.88146881,-87.66201484
435,373.14087382796794,41.881525,-87.659765
436,628.2010564823,41.881545,-87.657333
437,705.6727992105361,41.881608,-87.654897
14647,942.5454315076436,41.88165169,-87.65191235
439,559.7158835433752,41.88167775,-87.64983775
440,256.31615482023295,41.882,-87.64728
12754,814.0181724892475,41.8830708,-87.64669495
442,281.7577260530927,41.88311,-87.642848
443,246.51523529510925,41.883084,-87.639976
445,478.006058367213,41.883128,-87.635516
446,543.9202357519592,41.883137,-87.632625
18122,247.01709733653948,41.88314707,-87.63019604
448,273.7649679288083,41.88316957,-87.62749695
1119,0.0,41.88468794,-87.62431755
1120,0.0,41.88669974,-87.624384
1121,0.0,41.888076,-87.624425
3953,208.29556449426673,41.887978,-87.621979
3954,0.0,41.887792,-87.620967
8613,0.0,41.884688,-87.620796
