trip_id,stop_id,arr_t,dep_t,load_count,ons_count,offs_count,denied_count,hold_sec,skip
910955020,386,7:34:30,7:34:30,0,0,0,0,0,0
910955020,388,7:35:15,7:35:15,0,0,0,0,0,0
910955020,389,7:35:36,7:35:36,0,0,0,0,0,0
910955020,390,7:36:00,7:36:00,0,0,0,0,0,0
910955020,391,7:36:20,7:36:20,0,0,0,0,0,0
910955020,14956,7:37:23,7:37:31,1,1,0,0,0,0
910955020,393,7:38:02,7:38:02,1,0,0,0,0,0
910955020,394,7:38:24,7:38:24,1,0,0,0,0,0
910955020,395,7:38:58,7:38:58,1,0,0,0,0,0
910955020,396,7:39:21,7:39:29,2,1,0,0,0,0
910955020,397,7:40:22,7:40:22,2,0,0,0,0,0
910955020,17169,7:41:36,7:41:36,2,0,0,0,0,0
910955020,17162,7:42:18,7:42:18,2,0,0,0,0,0
910955020,14959,7:43:28,7:43:42,5,3,0,0,0,0
910955020,402,7:44:29,7:44:29,5,0,0,0,0,0
910955020,403,7:44:58,7:44:58,5,0,0,0,0,0
910955020,17163,7:45:34,7:45:42,6,1,0,0,0,0
910955020,15848,7:46:26,7:46:26,6,0,0,0,0,0
910955020,406,7:46:52,7:46:59,4,0,2,0,0,0
910955020,14500,7:48:11,7:48:22,6,2,0,0,0,0
910955020,15852,7:49:15,7:49:15,6,0,0,0,0,0
910955020,409,7:50:06,7:50:14,6,1,1,0,0,0
910955020,18047,7:51:53,7:51:53,6,0,0,0,0,0
910955020,17841,7:53:00,7:53:11,8,2,0,0,0,0
910955020,412,7:54:20,7:54:20,8,0,0,0,0,0
910955020,413,7:54:56,7:54:56,8,0,0,0,0,1
910955020,14764,7:55:53,7:56:00,6,0,2,0,0,0
910955020,415,7:56:54,7:56:54,6,0,0,0,0,0
910955020,416,7:57:45,7:57:51,5,0,1,0,0,0
910955020,417,7:59:08,7:59:08,5,0,0,0,0,0
910955020,15185,7:59:44,7:59:44,5,0,0,0,0,0
910955020,16110,8:00:24,8:00:24,5,0,0,0,0,1
910955020,420,8:01:13,8:01:19,4,0,1,0,0,0
910955020,421,8:01:47,8:01:47,4,0,0,0,0,0
910955020,16088,8:02:09,8:02:09,4,0,0,0,0,0
910955020,423,8:02:44,8:02:44,4,0,0,0,0,0
910955020,15364,8:05:53,8:06:04,3,2,3,0,0,0
910955020,425,8:07:23,8:07:23,3,0,0,0,0,0
910955020,15384,8:07:55,8:07:55,3,0,0,0,0,0
910955020,427,8:08:33,8:08:47,6,3,0,0,0,0
910955020,428,8:09:26,8:09:34,6,1,1,0,0,0
910955020,429,8:10:02,8:10:02,6,0,0,0,0,0
910955020,430,8:10:39,8:10:47,7,1,0,0,0,0
910955020,431,8:11:50,8:11:50,7,0,0,0,0,1
910955020,4727,8:13:01,8:13:09,8,1,0,0,0,0
910955020,432,8:14:55,8:14:55,8,0,0,0,0,0
910955020,15279,8:16:14,8:16:14,8,0,0,0,0,0
910955020,16049,8:16:45,8:16:45,8,0,0,5,0,1
910955020,435,8:17:44,8:17:52,8,1,1,0,0,0
910955020,436,8:19:13,8:19:27,11,3,0,0,0,0
910955020,437,8:20:39,8:21:05,18,7,0,0,0,0
910955020,14647,8:22:14,8:22:31,22,4,0,0,0,0
910955020,439,8:23:12,8:23:12,22,0,0,0,0,0
910955020,440,8:24:32,8:24:52,26,5,1,0,0,0
910955020,12754,8:25:50,8:25:50,26,0,0,0,0,0
910955020,442,8:27:15,8:27:23,26,1,1,0,0,0
910955020,443,8:30:27,8:30:41,29,3,0,0,0,0
910955020,445,8:35:33,8:35:44,24,0,5,0,0,0
910955020,446,8:37:22,8:37:31,21,0,3,0,0,0
910955020,18122,8:39:04,8:39:14,17,0,4,0,0,0
910955020,448,8:41:30,8:41:50,6,2,13,0,0,0
910955020,1119,8:43:45,8:43:45,6,0,0,0,0,0
910955020,1120,8:44:52,8:44:58,5,0,1,0,0,0
910955020,1121,8:46:01,8:46:01,5,0,0,0,0,0
910955020,3953,8:47:22,8:47:22,5,0,0,0,0,0
910955020,3954,8:48:03,8:48:03,5,0,0,0,0,0
910955020,8613,8:50:09,8:50:09,0,0,5,0,0,0
911004030,386,7:40:00,7:40:00,0,0,0,0,0,0
911004030,388,7:40:47,7:40:47,0,0,0,0,0,0
911004030,389,7:41:11,7:41:19,1,1,0,0,0,0
911004030,390,7:41:40,7:41:40,1,0,0,0,0,0
911004030,391,7:42:04,7:42:15,3,2,0,0,0,0
911004030,14956,7:43:10,7:43:10,3,0,0,0,0,0
911004030,393,7:43:41,7:43:41,3,0,0,0,0,0
911004030,394,7:44:02,7:44:02,3,0,0,0,0,0
911004030,395,7:44:40,7:44:48,4,1,0,0,0,0
911004030,396,7:45:25,7:45:25,4,0,0,0,0,0
911004030,397,7:46:11,7:46:11,4,0,0,0,0,0
911004030,17169,7:47:17,7:47:17,4,0,0,0,0,0
911004030,17162,7:48:09,7:48:09,4,0,0,0,0,0
911004030,14959,7:49:20,7:49:27,3,0,1,0,0,0
911004030,402,7:50:01,7:50:01,3,0,0,0,0,0
911004030,403,7:50:32,7:50:32,3,0,0,0,0,0
911004030,17163,7:51:08,7:51:22,6,3,0,0,0,0
911004030,15848,7:52:22,7:52:22,6,0,0,0,0,0
911004030,406,7:52:59,7:53:06,5,0,1,0,0,0
911004030,14500,7:54:00,7:54:00,5,0,0,0,0,0
911004030,15852,7:55:00,7:55:00,5,0,0,0,0,0
911004030,409,7:55:30,7:55:30,5,0,0,0,0,0
911004030,18047,7:56:56,7:56:56,5,0,0,0,0,0
911004030,17841,7:57:44,7:57:55,7,2,0,0,0,0
911004030,412,7:58:48,7:58:48,7,0,0,0,0,0
911004030,413,7:59:30,8:00:10,7,0,0,0,40,0
911004030,14764,8:01:26,8:01:34,8,1,0,0,0,0
911004030,415,8:02:06,8:02:06,8,0,0,0,0,0
911004030,416,8:02:54,8:03:00,7,0,1,0,0,0
911004030,417,8:04:08,8:04:08,7,0,0,0,0,0
911004030,15185,8:04:46,8:04:46,7,0,0,0,0,0
911004030,16110,8:05:24,8:05:24,7,0,0,0,0,0
911004030,420,8:06:14,8:06:22,8,1,0,0,0,0
911004030,421,8:06:44,8:06:44,8,0,0,0,0,0
911004030,16088,8:07:15,8:07:15,8,0,0,0,0,0
911004030,423,8:07:52,8:07:52,8,0,0,0,0,0
911004030,15364,8:10:23,8:10:31,7,1,2,0,0,0
911004030,425,8:11:47,8:12:17,7,0,0,0,30,0
911004030,15384,8:13:02,8:13:16,10,3,0,0,0,0
911004030,427,8:14:07,8:14:24,14,4,0,0,0,0
911004030,428,8:15:08,8:15:16,15,1,0,0,0,0
911004030,429,8:15:42,8:15:42,15,0,0,0,0,0
911004030,430,8:16:18,8:16:26,16,1,0,0,0,0
911004030,431,8:17:40,8:17:40,16,0,0,0,0,0
911004030,4727,8:19:02,8:19:19,20,4,0,0,0,0
911004030,432,8:21:21,8:21:29,20,1,1,0,0,0
911004030,15279,8:22:38,8:22:38,20,0,0,0,0,0
911004030,16049,8:23:05,8:23:05,20,0,0,8,0,1
911004030,435,8:24:22,8:24:33,21,2,1,0,0,0
911004030,436,8:26:01,8:26:21,26,5,0,0,0,0
911004030,437,8:27:30,8:27:30,26,0,0,0,0,0
911004030,14647,8:28:44,8:28:44,26,0,0,0,0,0
911004030,439,8:29:24,8:29:24,26,0,0,0,0,0
911004030,440,8:30:56,8:31:03,24,0,2,0,0,0
911004030,12754,8:32:03,8:32:03,24,0,0,0,0,0
911004030,442,8:34:34,8:34:42,25,1,0,0,0,0
911004030,443,8:36:52,8:37:00,24,1,2,0,0,0
911004030,445,8:40:36,8:40:47,19,0,5,0,0,0
911004030,446,8:41:51,8:42:00,15,0,4,0,0,0
911004030,18122,8:43:56,8:44:03,13,0,2,0,0,0
911004030,448,8:46:26,8:46:42,7,3,9,0,0,0
911004030,1119,8:48:52,8:49:02,3,0,4,0,0,0
911004030,1120,8:50:02,8:50:02,3,0,0,0,0,0
911004030,1121,8:51:01,8:51:01,3,0,0,0,0,0
911004030,3953,8:52:39,8:52:39,3,0,0,0,0,0
911004030,3954,8:53:34,8:53:34,3,0,0,0,0,0
911004030,8613,8:56:12,8:56:12,0,0,3,0,0,0
911457020,386,7:47:18,7:47:18,0,0,0,0,0,0
911457020,388,7:48:05,7:48:13,1,1,0,0,0,0
911457020,389,7:48:39,7:48:39,1,0,0,0,0,0
911457020,390,7:49:06,7:49:06,1,0,0,0,0,0
911457020,391,7:49:21,7:49:21,1,0,0,0,0,0
911457020,14956,7:50:31,7:50:37,0,0,1,0,0,0
911457020,393,7:51:03,7:51:03,0,0,0,0,0,0
911457020,394,7:51:25,7:51:33,1,1,0,0,0,0
911457020,395,7:52:01,7:52:09,2,1,0,0,0,0
911457020,396,7:52:41,7:52:41,2,0,0,0,0,0
911457020,397,7:53:20,7:53:28,3,1,0,0,0,0
911457020,17169,7:54:20,7:54:20,3,0,0,0,0,0
911457020,17162,7:55:12,7:55:12,3,0,0,0,0,0
911457020,14959,7:56:35,7:56:35,3,0,0,0,0,1
911457020,402,7:57:11,7:57:11,3,0,0,0,0,0
911457020,403,7:57:40,7:57:40,3,0,0,0,0,0
911457020,17163,7:58:26,7:58:34,4,1,0,0,0,0
911457020,15848,7:59:31,7:59:31,4,0,0,0,0,0
911457020,406,8:00:00,8:00:08,2,0,2,0,0,0
911457020,14500,8:00:45,8:00:45,2,0,0,0,0,0
911457020,15852,8:01:46,8:01:46,2,0,0,0,0,0
911457020,409,8:02:20,8:02:20,2,0,0,0,0,0
911457020,18047,8:03:57,8:03:57,2,0,0,0,0,0
911457020,17841,8:05:11,8:05:19,3,1,0,0,0,0
911457020,412,8:06:14,8:06:14,3,0,0,0,0,0
911457020,413,8:06:56,8:06:56,3,0,0,0,0,0
911457020,14764,8:07:54,8:08:00,2,0,1,0,0,0
911457020,415,8:08:35,8:08:35,2,0,0,0,0,0
911457020,416,8:09:35,8:09:41,1,0,1,0,0,0
911457020,417,8:10:43,8:10:43,1,0,0,0,0,0
911457020,15185,8:11:28,8:11:28,1,0,0,0,0,0
911457020,16110,8:12:20,8:12:28,2,1,0,0,0,0
911457020,420,8:13:31,8:13:31,2,0,0,0,0,0
911457020,421,8:14:00,8:14:00,2,0,0,0,0,0
911457020,16088,8:14:16,8:14:16,2,0,0,0,0,0
911457020,423,8:14:48,8:14:48,2,0,0,0,0,0
911457020,15364,8:17:44,8:18:01,6,4,0,0,0,0
911457020,425,8:19:03,8:19:03,6,0,0,0,0,1
911457020,15384,8:19:36,8:19:54,10,4,0,0,0,0
911457020,427,8:20:36,8:20:44,11,1,0,0,0,0
911457020,428,8:21:35,8:21:43,11,1,1,0,0,0
911457020,429,8:22:10,8:22:10,11,0,0,0,0,0
911457020,430,8:22:47,8:22:55,12,1,0,0,0,0
911457020,431,8:24:05,8:24:05,12,0,0,0,0,1
911457020,4727,8:25:29,8:25:46,16,4,0,0,0,0
911457020,432,8:27:38,8:27:58,21,5,0,0,0,0
911457020,15279,8:29:05,8:29:12,19,0,2,0,0,0
911457020,16049,8:29:38,8:29:38,19,0,0,15,0,1
911457020,435,8:30:48,8:30:59,21,2,0,0,0,0
911457020,436,8:31:52,8:32:03,23,2,0,0,0,0
911457020,437,8:33:32,8:33:40,24,1,0,0,0,0
911457020,14647,8:34:52,8:35:00,25,1,0,0,0,0
911457020,439,8:36:21,8:36:35,28,3,0,0,0,0
911457020,440,8:37:58,8:38:06,26,0,2,0,0,0
911457020,12754,8:39:23,8:39:23,26,0,0,0,0,0
911457020,442,8:42:10,8:42:10,26,0,0,0,0,0
911457020,443,8:44:58,8:45:15,29,4,1,0,0,0
911457020,445,8:49:26,8:49:40,21,0,8,0,0,0
911457020,446,8:50:55,8:51:08,14,0,7,0,0,0
911457020,18122,8:52:33,8:52:41,14,1,1,0,0,0
911457020,448,8:55:28,8:55:46,3,0,11,0,0,0
911457020,1119,8:57:38,8:57:38,3,0,0,0,0,0
911457020,1120,8:58:52,8:58:52,3,0,0,0,0,0
911457020,1121,8:59:54,8:59:54,3,0,0,0,0,0
911457020,3953,9:01:04,9:01:04,3,0,0,0,0,0
911457020,3954,9:01:29,9:01:29,3,0,0,0,0,0
911457020,8613,9:04:16,9:04:16,0,0,3,0,0,0
910579020,386,7:52:29,7:52:29,0,0,0,0,0,0
