 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_time,  skip  (1/0) 
911214020 {
412 27228.35 27236.45 7 1 0 0 0 0
413 27294.23 27334.23 7 0 0 0 40 0
14764 27383.37 27394.57 8 2 1 0 0 0
415 27456.67 27464.77 9 1 0 0 0 0
416 27519.1 27526.5 7 0 2 0 0 0
417 27595.65 27595.65 7 0 0 0 0 0
15185 27626.7 27626.7 7 0 0 0 0 0
16110 27662.43 27702.43 7 0 0 0 40 0
420 27774.35 27780.55 6 0 1 0 0 0
421 27805.65 27805.65 6 0 0 0 0 0
16088 27829.46 27840.66 8 2 0 0 0 0
423 27874.6 27882.7 9 1 0 0 0 0
15364 28017.39 28025.49 8 1 2 0 0 0
425 28093.7 28101.8 9 1 0 0 0 0
15384 28136.55 28150.85 12 3 0 0 0 0
427 28197.46 28211.76 15 3 0 0 0 0
428 28264.36 28270.56 14 0 1 0 0 0
429 28311.18 28319.28 15 1 0 0 0 0
430 28360.02 28360.02 15 0 0 0 0 0
431 28419.81 28419.81 15 0 0 0 0 0
4727 28467.63 28478.83 16 2 1 0 0 0
432 28536.67 28544.77 15 1 2 0 0 0
15279 28642.04 28650.14 16 1 0 0 0 0
16049 28687.27 28687.27 16 0 0 0 0 0
435 28721.12 28721.12 16 0 0 0 0 0
436 28809.22 28817.32 17 1 0 0 0 0
437 28862.9 28874.1 19 2 0 0 0 0
14647 28961.63 28961.63 19 0 0 0 0 0
439 28999.52 29007.62 20 1 0 0 0 0
440 29103.97 29110.17 19 0 1 0 0 0
12754 29167.66 29175.76 20 1 0 0 0 0
442 29285.01 29291.21 19 0 1 0 0 0
443 29471.98 29486.28 21 3 1 0 0 0
445 29715.78 29724.38 18 0 3 0 0 0
446 29772.34 29782.14 15 1 4 0 0 0
18122 29889.45 29900.65 15 2 2 0 0 0
448 29992.41 30008.21 6 0 9 0 0 0
     }
- - - - - -
910985020 {
14956 26441.73 26449.83 1 1 0 0 0 0
393 26488.95 26488.95 1 0 0 0 0 0
394 26503.37 26503.37 1 0 0 0 0 0
395 26543.59 26543.59 1 0 0 0 0 0
396 26590.38 26590.38 1 0 0 0 0 0
397 26628.1 26628.1 1 0 0 0 0 0
17169 26677.84 26685.94 2 1 0 0 0 0
17162 26736.06 26736.06 2 0 0 0 0 0
14959 26860.68 26868.78 3 1 0 0 0 0
402 26895.24 26895.24 3 0 0 0 0 0
403 26919.16 26959.16 3 0 0 0 40 0
17163 26991.67 26999.77 4 1 0 0 0 0
15848 27079.91 27079.91 4 0 0 0 0 0
406 27108.19 27114.39 3 0 1 0 0 0
14500 27154.39 27194.39 3 0 0 0 40 0
15852 27262.62 27262.62 3 0 0 0 0 0
409 27300.12 27314.42 6 3 0 0 0 0
18047 27419.0 27419.0 6 0 0 0 0 0
17841 27486.58 27494.68 7 1 0 0 0 0
412 27557.98 27557.98 7 0 0 0 0 0
413 27594.7 27594.7 7 0 0 0 0 0
14764 27669.29 27675.49 6 0 1 0 0 0
415 27722.06 27722.06 6 0 0 0 0 0
416 27783.3 27791.4 6 1 1 0 0 0
417 27875.23 27883.33 7 1 0 0 0 0
15185 27915.79 27915.79 7 0 0 0 0 0
16110 27957.98 27957.98 7 0 0 0 0 0
420 28009.03 28015.23 6 0 1 0 0 0
421 28036.5 28036.5 6 0 0 0 0 0
16088 28065.65 28073.75 7 1 0 0 0 0
423 28105.48 28105.48 7 0 0 0 0 0
15364 28227.31 28238.51 7 2 2 0 0 0
425 28287.94 28327.94 7 0 0 0 40 0
15384 28378.39 28386.49 8 1 0 0 0 0
427 28420.3 28434.6 11 3 0 0 0 0
428 28470.07 28478.17 11 1 1 0 0 0
429 28538.42 28538.42 11 0 0 0 0 0
430 28577.47 28577.47 11 0 0 0 0 0
431 28627.34 28627.34 11 0 0 0 0 0
4727 28705.54 28713.64 12 1 0 0 0 0
432 28816.51 28824.61 12 1 1 0 0 0
15279 28907.34 28907.34 12 0 0 0 0 0
16049 28930.88 28938.98 13 1 0 0 0 0
