 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count 
911214020 {
15852 26423.6 26423.6 8 0 0 0
409 26461.2 26469.3 8 1 1 0
18047 26545.2 26545.2 8 0 0 0
17841 26575.5 26583.6 9 1 0 0
412 26632.3 26632.3 9 0 0 0
413 26652.9 26652.9 9 0 0 0
14764 26698.2 26705.6 7 0 2 0
415 26756.3 26756.3 7 0 0 0
416 26793.1 26801.2 7 1 1 0
417 26862.2 26862.2 7 0 0 0
15185 26912.0 26912.0 7 0 0 0
16110 26959.8 26967.9 8 1 0 0
420 27036.1 27042.3 7 0 1 0
421 27061.8 27069.9 8 1 0 0
16088 27091.4 27099.5 9 1 0 0
423 27131.2 27131.2 9 0 0 0
15364 27224.2 27232.3 8 1 2 0
425 27321.3 27321.3 8 0 0 0
15384 27356.1 27367.3 10 2 0 0
427 27420.4 27428.5 11 1 0 0
428 27478.9 27487.0 11 1 1 0
429 27544.9 27544.9 11 0 0 0
430 27594.2 27594.2 11 0 0 0
431 27647.0 27647.0 11 0 0 0
4727 27685.8 27685.8 11 0 0 0
432 27763.4 27771.5 11 1 1 0
15279 27873.9 27873.9 11 0 0 0
16049 27910.3 27918.4 12 1 0 0
435 27952.1 27969.5 16 4 0 0
436 28034.6 28045.8 17 2 1 0
437 28113.1 28121.2 18 1 0 0
14647 28187.0 28187.0 18 0 0 0
439 28225.6 28233.7 19 1 0 0
440 28311.0 28318.4 17 0 2 0
12754 28383.7 28383.7 17 0 0 0
442 28434.3 28440.5 16 0 1 0
443 28543.0 28554.2 16 2 2 0
445 28747.2 28754.6 14 0 2 0
446 28828.2 28836.8 11 0 3 0
     }
- - - - - -
911377020 {
14959 26419.1 26425.3 5 0 1 0
402 26465.8 26465.8 5 0 0 0
403 26486.8 26501.1 8 3 0 0
17163 26544.3 26552.4 9 1 0 0
15848 26601.3 26609.4 10 1 0 0
406 26642.2 26642.2 10 0 0 0
14500 26702.5 26702.5 10 0 0 0
15852 26771.4 26771.4 10 0 0 0
409 26802.0 26813.2 11 2 1 0
18047 26902.7 26910.8 12 1 0 0
17841 26952.6 26963.8 14 2 0 0
412 27017.0 27017.0 14 0 0 0
413 27060.5 27060.5 14 0 0 0
14764 27113.9 27122.0 13 1 2 0
415 27171.8 27171.8 13 0 0 0
416 27227.5 27234.9 11 0 2 0
417 27293.9 27302.0 12 1 0 0
15185 27330.4 27330.4 12 0 0 0
16110 27381.2 27389.3 12 1 1 0
420 27447.3 27461.6 14 3 1 0
421 27481.5 27489.6 15 1 0 0
16088 27515.2 27515.2 15 0 0 0
423 27547.4 27547.4 15 0 0 0
15364 27657.6 27678.1 16 5 4 0
425 27755.1 27763.2 17 1 0 0
15384 27831.7 27846.0 19 3 1 0
427 27901.2 27901.2 19 0 0 0
428 27962.0 27973.2 20 2 1 0
429 28031.2 28031.2 20 0 0 0
430 28072.0 28072.0 20 0 0 0
431 28126.1 28132.3 19 0 1 0
4727 28178.4 28186.5 19 1 1 0
432 28264.7 28279.0 20 3 2 0
15279 28373.9 28373.9 20 0 0 0
16049 28412.8 28427.1 23 3 0 0
435 28467.3 28475.4 23 1 1 0
436 28529.1 28552.7 28 6 1 0
437 28612.5 28612.5 28 0 0 0
14647 28698.5 28698.5 28 0 0 0
439 28747.5 28747.5 28 0 0 0
440 28827.2 28838.4 28 2 2 0
     }
- - - - - -
911283020 {
396 26404.1 26404.1 4 0 0 0
397 26453.0 26464.2 6 2 0 0
17169 26514.2 26522.3 7 1 0 0
17162 26579.4 26587.5 8 1 0 0
14959 26675.1 26686.3 9 2 1 0
402 26719.1 26719.1 9 0 0 0
403 26742.5 26742.5 9 0 0 0
17163 26777.8 26777.8 9 0 0 0
15848 26836.9 26836.9 9 0 0 0
406 26880.8 26880.8 9 0 0 0
14500 26936.5 26944.6 10 1 0 0
15852 27020.7 27020.7 10 0 0 0
409 27058.6 27064.8 9 0 1 0
18047 27158.6 27158.6 9 0 0 0
17841 27222.6 27230.7 10 1 0 0
