stop,wait_time_sec,stop_lat,stop_lon,stop_sequence
386,195.58999999999997,41.880313,-87.774043,0
388,192.4625000000001,41.88000915,-87.7714723,1
389,183.70499999999976,41.88008776,-87.76992191,2
390,0.0,41.88010476,-87.76821491,3
391,184.29166666666666,41.88014676,-87.76661691,4
14956,191.06562500000035,41.88014099,-87.76461188,5
393,196.25,41.88018349,-87.7632177,6
394,186.44999999999982,41.88020276,-87.76191891,7
395,182.63749999999982,41.88019981,-87.75996715,8
396,190.52894736842092,41.88025187,-87.75778965,9
397,189.10156249999983,41.88027,-87.75526,10
17169,205.3000000000011,41.88029685,-87.75221539,11
17162,192.36562499999968,41.88033514,-87.7491367,12
14959,191.7323529411764,41.88039237,-87.74496781,13
402,181.47500000000036,41.880443,-87.742998,14
403,199.02499999999964,41.880475,-87.740705,15
17163,183.99999999999955,41.88048501,-87.73768052,16
15848,199.47499999999945,41.88050398,-87.7352163,17
406,189.55000000000004,41.88053063,-87.7331241,18
14500,200.51428571428525,41.88056848,-87.7304601,19
15852,201.96666666666593,41.88059058,-87.72786002,20
409,195.4933333333333,41.88061422,-87.72582347,21
18047,206.7562499999999,41.88070328,-87.72286077,22
17841,190.50000000000017,41.88074353,-87.72045859,23
412,0.0,41.8808072,-87.7159745,24
413,0.0,41.88081388,-87.71381964,25
14764,180.5875000000001,41.88084064,-87.71073049,26
415,0.0,41.880887,-87.708722,27
416,179.36470588235267,41.880902,-87.706333,28
417,145.29285714285652,41.880952,-87.703147,29
15185,173.19285714285692,41.88095403,-87.70088084,30
16110,185.89444444444456,41.88099888,-87.69856203,31
420,189.35499999999993,41.88100858,-87.69600765,32
421,140.96000000000058,41.88103245,-87.694048,33
16088,0.0,41.88103301,-87.69229365,34
423,204.01666666666702,41.88106252,-87.68897646,35
15364,195.80545454545467,41.88109893,-87.68607651,36
425,0.0,41.88112797,-87.68410996,37
15384,205.68947368421058,41.88117403,-87.68122249,38
427,215.09479166666668,41.881232,-87.679293,39
428,222.4925,41.881262,-87.67685,40
429,162.10000000000036,41.88129674,-87.67424663,41
430,217.74062500000002,41.8813284,-87.67186305,42
431,198.3599999999995,41.88137,-87.669513,43
4727,200.837313432836,41.881385,-87.668503,44
432,205.2322580645158,41.88139461,-87.66699977,45
15279,205.29999999999987,41.88143358,-87.66418871,46
16049,193.50204081632668,41.88146881,-87.66201484,47
435,213.4921875,41.881525,-87.659765,48
436,223.04937500000014,41.881545,-87.657333,49
437,226.53205128205127,41.881608,-87.654897,50
14647,245.87500000000017,41.88165169,-87.65191235,51
439,204.2454545454546,41.88167775,-87.64983775,52
440,248.0454545454547,41.882,-87.64728,53
12754,272.4700000000001,41.8830708,-87.64669495,54
442,258.21071428571423,41.88311,-87.642848,55
443,297.4951612903226,41.883084,-87.639976,56
445,0.0,41.883128,-87.635516,57
446,0.0,41.883137,-87.632625,58
18122,269.4499999999998,41.88314707,-87.63019604,59
448,223.58076923076902,41.88316957,-87.62749695,60
1119,0.0,41.88468794,-87.62431755,61
1120,0.0,41.88669974,-87.624384,62
1121,0.0,41.888076,-87.624425,63
3953,0.0,41.887978,-87.621979,64
3954,0.0,41.887792,-87.620967,65
8613,0.0,41.884688,-87.620796,66
