stop,wait_time_sec,stop_lat,stop_lon,stop_sequence
386,181.40000000000003,41.880313,-87.774043,0
388,206.5,41.88000915,-87.7714723,1
389,194.5,41.88008776,-87.76992191,2
390,0.0,41.88010476,-87.76821491,3
391,182.41000000000022,41.88014676,-87.76661691,4
14956,182.88095238095238,41.88014099,-87.76461188,5
393,0.0,41.88018349,-87.7632177,6
394,192.78333333333285,41.88020276,-87.76191891,7
395,172.53333333333345,41.88019981,-87.75996715,8
396,197.47499999999968,41.88025187,-87.75778965,9
397,199.58461538461555,41.88027,-87.75526,10
17169,199.1999999999989,41.88029685,-87.75221539,11
17162,199.9999999999997,41.88033514,-87.7491367,12
14959,211.56249999999955,41.88039237,-87.74496781,13
402,0.0,41.880443,-87.742998,14
403,0.0,41.880475,-87.740705,15
17163,217.40000000000146,41.88048501,-87.73768052,16
15848,165.53571428571428,41.88050398,-87.7352163,17
406,165.46249999999964,41.88053063,-87.7331241,18
14500,187.92499999999987,41.88056848,-87.7304601,19
15852,151.6999999999989,41.88059058,-87.72786002,20
409,225.49500000000026,41.88061422,-87.72582347,21
18047,240.02500000000055,41.88070328,-87.72286077,22
17841,189.97857142857148,41.88074353,-87.72045859,23
412,196.70000000000073,41.8808072,-87.7159745,24
413,0.0,41.88081388,-87.71381964,25
14764,278.75,41.88084064,-87.71073049,26
415,0.0,41.880887,-87.708722,27
416,131.4999999999991,41.880902,-87.706333,28
417,0.0,41.880952,-87.703147,29
15185,0.0,41.88095403,-87.70088084,30
16110,189.07500000000027,41.88099888,-87.69856203,31
420,179.83999999999978,41.88100858,-87.69600765,32
421,0.0,41.88103245,-87.694048,33
16088,0.0,41.88103301,-87.69229365,34
423,0.0,41.88106252,-87.68897646,35
15364,192.52857142857178,41.88109893,-87.68607651,36
425,0.0,41.88112797,-87.68410996,37
15384,194.15500000000048,41.88117403,-87.68122249,38
427,178.825,41.881232,-87.679293,39
428,161.64999999999964,41.881262,-87.67685,40
429,0.0,41.88129674,-87.67424663,41
430,190.60833333333298,41.8813284,-87.67186305,42
431,175.39999999999964,41.88137,-87.669513,43
4727,190.36363636363586,41.881385,-87.668503,44
432,195.3833333333338,41.88139461,-87.66699977,45
15279,0.0,41.88143358,-87.66418871,46
16049,194.00476190476184,41.88146881,-87.66201484,47
435,205.16071428571442,41.881525,-87.659765,48
436,207.1777777777778,41.881545,-87.657333,49
437,216.7500000000005,41.881608,-87.654897,50
14647,228.38333333333262,41.88165169,-87.65191235,51
439,268.10000000000036,41.88167775,-87.64983775,52
440,282.3000000000011,41.882,-87.64728,53
12754,0.0,41.8830708,-87.64669495,54
442,285.40000000000146,41.88311,-87.642848,55
443,268.2000000000007,41.883084,-87.639976,56
445,0.0,41.883128,-87.635516,57
446,0.0,41.883137,-87.632625,58
18122,0.0,41.88314707,-87.63019604,59
448,0.0,41.88316957,-87.62749695,60
1119,0.0,41.88468794,-87.62431755,61
1120,0.0,41.88669974,-87.624384,62
1121,0.0,41.888076,-87.624425,63
3953,0.0,41.887978,-87.621979,64
3954,0.0,41.887792,-87.620967,65
8613,0.0,41.884688,-87.620796,66
