stop,wait_time_sec,stop_lat,stop_lon
386,202.09136733728772,41.880313,-87.774043
388,272.5810358247324,41.88000915,-87.7714723
389,249.61804604056798,41.88008776,-87.76992191
390,239.8487411958657,41.88010476,-87.76821491
391,215.45193053299988,41.88014676,-87.76661691
14956,252.64102244647333,41.88014099,-87.76461188
393,179.20510285514683,41.88018349,-87.7632177
394,233.93092779379484,41.88020276,-87.76191891
395,219.05436091781522,41.88019981,-87.75996715
396,213.46492322942018,41.88025187,-87.75778965
397,284.1952962639264,41.88027,-87.75526
17169,199.09085360562736,41.88029685,-87.75221539
17162,218.7993685889586,41.88033514,-87.7491367
14959,224.01510478003462,41.88039237,-87.74496781
402,191.63648131863374,41.880443,-87.742998
403,0.0,41.880475,-87.740705
17163,208.41509616518488,41.88048501,-87.73768052
15848,249.48917628451534,41.88050398,-87.7352163
406,246.29374986057883,41.88053063,-87.7331241
14500,248.4770111892773,41.88056848,-87.7304601
15852,256.8333058741424,41.88059058,-87.72786002
409,185.95426376992626,41.88061422,-87.72582347
18047,185.19451222695625,41.88070328,-87.72286077
17841,255.28573792395383,41.88074353,-87.72045859
412,218.86460494599058,41.8808072,-87.7159745
413,173.40948503166874,41.88081388,-87.71381964
14764,233.42076534222178,41.88084064,-87.71073049
415,268.0302539780514,41.880887,-87.708722
416,253.94154999966236,41.880902,-87.706333
417,179.6720236775891,41.880952,-87.703147
15185,242.66286422968574,41.88095403,-87.70088084
16110,209.30891876488522,41.88099888,-87.69856203
420,265.30166554381907,41.88100858,-87.69600765
421,276.87078459491386,41.88103245,-87.694048
16088,176.23413825219177,41.88103301,-87.69229365
423,221.53613689893487,41.88106252,-87.68897646
15364,266.2324681698192,41.88109893,-87.68607651
425,213.65243655178423,41.88112797,-87.68410996
15384,290.9909595435402,41.88117403,-87.68122249
427,335.1838883928964,41.881232,-87.679293
428,360.7568519771959,41.881262,-87.67685
429,232.9631835765631,41.88129674,-87.67424663
430,197.4495113658008,41.8813284,-87.67186305
431,194.01292647992113,41.88137,-87.669513
4727,307.71346087130445,41.881385,-87.668503
432,342.9194295560472,41.88139461,-87.66699977
15279,306.5616538714177,41.88143358,-87.66418871
16049,263.08794516498165,41.88146881,-87.66201484
435,599.8046351636149,41.881525,-87.659765
436,415.93724407616867,41.881545,-87.657333
437,698.8640008950621,41.881608,-87.654897
14647,608.2323172064001,41.88165169,-87.65191235
439,1237.2479413385386,41.88167775,-87.64983775
440,621.5989450914549,41.882,-87.64728
12754,269.7847767358422,41.8830708,-87.64669495
442,252.5312032586471,41.88311,-87.642848
443,198.4176990240862,41.883084,-87.639976
445,234.57740058456466,41.883128,-87.635516
446,0.0,41.883137,-87.632625
18122,223.40824397330198,41.88314707,-87.63019604
448,190.46356049915053,41.88316957,-87.62749695
1119,0.0,41.88468794,-87.62431755
1120,0.0,41.88669974,-87.624384
1121,0.0,41.888076,-87.624425
3953,481.2018650495793,41.887978,-87.621979
3954,0.0,41.887792,-87.620967
8613,0.0,41.884688,-87.620796
