911377020, [0.04477611940298507,  0,  340.18666451014724,  354.0574964490115,  0] ,2,-7.110737222370517, [0.11940298507462686,  0,  348.3115006227672,  327.3299314615324,  0] 
911377020, [0.11940298507462686,  0,  348.3115006227672,  327.3299314615324,  0] ,1,19.420881000256486, [0.19402985074626866,  0,  386.7081212389421,  385.1474330779638,  2] 
911377020, [0.19402985074626866,  0,  386.7081212389421,  385.1474330779638,  2] ,2,-69.68005106840064, [0.2835820895522388,  7,  429.0521071266194,  357.8113678972404,  0] 
911377020, [0.2835820895522388,  7,  429.0521071266194,  357.8113678972404,  0] ,1,33.26222356257858, [0.373134328358209,  9,  436.96233175315865,  398.9838160863583,  0] 
911377020, [0.373134328358209,  9,  436.96233175315865,  398.9838160863583,  0] ,1,-57.53324658489146, [0.4626865671641791,  6,  483.47998943891434,  387.9682271872225,  0] 
911377020, [0.4626865671641791,  6,  483.47998943891434,  387.9682271872225,  0] ,1,53.85014875053457, [0.5522388059701493,  6,  373.6155932361071,  415.27720673726435,  0] 
911377020, [0.5522388059701493,  6,  373.6155932361071,  415.27720673726435,  0] ,3,19.992812014614174, [0.6417910447761194,  10,  369.3219658631351,  390.9907673496782,  0] 
911377020, [0.6417910447761194,  10,  369.3219658631351,  390.9907673496782,  0] ,3,-33.35152696975638, [0.7014925373134329,  13,  342.0007400956383,  397.0210685519378,  0] 
911377020, [0.7014925373134329,  13,  342.0007400956383,  397.0210685519378,  0] ,3,6.74283558755269, [0.835820895522388,  15,  359.88226085550195,  408.15975372424873,  0] 
911283020, [0.04477611940298507,  0,  399.4023609853175,  304.655135463694,  0] ,0,-22.231821914905595, [0.11940298507462686,  2,  403.12065962312045,  286.1416121865914,  0] 
911283020, [0.11940298507462686,  2,  403.12065962312045,  286.1416121865914,  0] ,0,27.05317146579182, [0.19402985074626866,  4,  395.9361322766599,  306.01025630592267,  0] 
911283020, [0.19402985074626866,  4,  395.9361322766599,  306.01025630592267,  0] ,1,53.70626905492463, [0.2835820895522388,  6,  356.4749282306948,  320.25532131488217,  1] 
911283020, [0.2835820895522388,  6,  356.4749282306948,  320.25532131488217,  1] ,1,-69.38166769498639, [0.373134328358209,  8,  431.79158309403647,  326.19030848323746,  0] 
911283020, [0.373134328358209,  8,  431.79158309403647,  326.19030848323746,  0] ,1,-1.4642148309285403, [0.4626865671641791,  9,  428.47814718048903,  321.4126577387615,  0] 
911283020, [0.4626865671641791,  9,  428.47814718048903,  321.4126577387615,  0] ,1,-39.589942816899566, [0.5522388059701493,  6,  463.2074155123737,  316.5519832537466,  0] 
911283020, [0.5522388059701493,  6,  463.2074155123737,  316.5519832537466,  0] ,1,-4.955297004104068, [0.6417910447761194,  10,  439.5181756394559,  287.9074463767247,  1] 
911283020, [0.6417910447761194,  10,  439.5181756394559,  287.9074463767247,  1] ,1,10.918575818708632, [0.7014925373134329,  12,  428.6262827180726,  287.93412927405006,  1] 
911283020, [0.7014925373134329,  12,  428.6262827180726,  287.93412927405006,  1] ,1,97.6601387113842, [0.835820895522388,  12,  384.4225304852516,  427.45454521789,  1] 
910985020, [0.04477611940298507,  1,  334.83995657436026,  329.81517888933377,  0] ,2,-51.15736503500375, [0.11940298507462686,  3,  346.7473982490701,  290.56525552903986,  0] 
910985020, [0.11940298507462686,  3,  346.7473982490701,  290.56525552903986,  0] ,1,42.6512816441209, [0.19402985074626866,  2,  317.3232981362198,  330.85415921212916,  0] 
910985020, [0.19402985074626866,  2,  317.3232981362198,  330.85415921212916,  0] ,3,-14.921542671203497, [0.2835820895522388,  3,  344.486126428812,  316.03372268169915,  1] 
910985020, [0.2835820895522388,  3,  344.486126428812,  316.03372268169915,  1] ,1,2.899019997323194, [0.373134328358209,  5,  347.99731041709674,  322.4439266673071,  0] 
910985020, [0.373134328358209,  5,  347.99731041709674,  322.4439266673071,  0] ,1,-39.946643634193606, [0.4626865671641791,  3,  353.26875895119156,  287.7687315672083,  1] 
910985020, [0.4626865671641791,  3,  353.26875895119156,  287.7687315672083,  1] ,1,5.31760568478785, [0.5522388059701493,  2,  342.344211694126,  282.1617899949306,  0] 
910985020, [0.5522388059701493,  2,  342.344211694126,  282.1617899949306,  0] ,1,48.12606262052577, [0.6417910447761194,  5,  319.3752264607101,  307.3188673820405,  0] 
910985020, [0.6417910447761194,  5,  319.3752264607101,  307.3188673820405,  0] ,1,-34.43488655819601, [0.7014925373134329,  7,  297.5712159633367,  344.06246160020237,  5] 
910985020, [0.7014925373134329,  7,  297.5712159633367,  344.06246160020237,  5] ,5,-157.5706296173339, [0.835820895522388,  25,  483.3643129082593,  279.30243765405976,  0] 
911298020, [0.04477611940298507,  0,  336.298036426022,  322.4076847280594,  0] ,2,0.25157741192379035, [0.11940298507462686,  3,  320.033300025927,  306.3945257398882,  0] 
911298020, [0.11940298507462686,  3,  320.033300025927,  306.3945257398882,  0] ,1,-34.88342197146267, [0.19402985074626866,  4,  336.14044526667203,  287.61824900917054,  1] 
911298020, [0.19402985074626866,  4,  336.14044526667203,  287.61824900917054,  1] ,1,-4.605965273924085, [0.2835820895522388,  5,  330.2509286011664,  277.1227670697408,  3] 
911298020, [0.2835820895522388,  5,  330.2509286011664,  277.1227670697408,  3] ,1,46.08678213685198, [0.373134328358209,  8,  319.09329532285483,  326.1346747174284,  0] 
911298020, [0.373134328358209,  8,  319.09329532285483,  326.1346747174284,  0] ,1,-1.0578375989862252, [0.4626865671641791,  7,  307.95401843531,  316.0532354288698,  0] 
911298020, [0.4626865671641791,  7,  307.95401843531,  316.0532354288698,  0] ,1,-7.373558219165716, [0.5522388059701493,  8,  330.8667002342263,  315.39392502150076,  1] 
911298020, [0.5522388059701493,  8,  330.8667002342263,  315.39392502150076,  1] ,1,-1.6600876458032872, [0.6417910447761194,  7,  307.83867293215735,  290.7058100736285,  2] 
911298020, [0.6417910447761194,  7,  307.83867293215735,  290.7058100736285,  2] ,1,-16.436339776348177, [0.7014925373134329,  10,  332.0907977760362,  298.5215951411592,  3] 
911298020, [0.7014925373134329,  10,  332.0907977760362,  298.5215951411592,  3] ,1,-58.42041631716711, [0.835820895522388,  16,  253.82949220439696,  345.81911115644107,  2] 
910955020, [0.04477611940298507,  0,  309.17712224016213,  363.23056248789726,  0] ,3,35.614870693258126, [0.11940298507462686,  2,  323.9779780927056,  342.4165476471826,  1] 
910955020, [0.11940298507462686,  2,  323.9779780927056,  342.4165476471826,  1] ,3,-107.80577423408249, [0.19402985074626866,  4,  269.71610438202333,  395.9604481705828,  1] 
910955020, [0.19402985074626866,  4,  269.71610438202333,  395.9604481705828,  1] ,5,40.97105222427126, [0.2835820895522388,  5,  302.78404337297616,  388.0573349372644,  0] 
910955020, [0.2835820895522388,  5,  302.78404337297616,  388.0573349372644,  0] ,3,33.820866358342755, [0.373134328358209,  3,  324.2385222969715,  375.69094750291697,  0] 
910955020, [0.373134328358209,  3,  324.2385222969715,  375.69094750291697,  0] ,3,32.651364097429905, [0.4626865671641791,  1,  324.38897106701916,  343.1900321755347,  0] 
910955020, [0.4626865671641791,  1,  324.38897106701916,  343.1900321755347,  0] ,3,-35.57460526943396, [0.5522388059701493,  2,  304.5317675123042,  358.90743389025374,  0] 
910955020, [0.5522388059701493,  2,  304.5317675123042,  358.90743389025374,  0] ,3,-14.187315585611941, [0.6417910447761194,  5,  349.3961487476008,  280.83316678403935,  0] 
910955020, [0.6417910447761194,  5,  349.3961487476008,  280.83316678403935,  0] ,1,-8.124579323855869, [0.7014925373134329,  5,  276.79829600717494,  353.4858572945923,  4] 
910955020, [0.7014925373134329,  5,  276.79829600717494,  353.4858572945923,  4] ,5,-34.876259658136405, [0.835820895522388,  21,  356.14762826270453,  467.7114492082583,  1] 
911004030, [0.04477611940298507,  0,  388.6668864100793,  314.56367607781795,  0] ,0,-15.096026865965541, [0.11940298507462686,  1,  385.80789242270475,  296.60865522447784,  1] 
911004030, [0.11940298507462686,  1,  385.80789242270475,  296.60865522447784,  1] ,1,-19.125700423592207, [0.19402985074626866,  5,  418.7907910424474,  310.46585342062826,  0] 
911004030, [0.19402985074626866,  5,  418.7907910424474,  310.46585342062826,  0] ,1,55.181193417589384, [0.2835820895522388,  4,  378.9058726277726,  325.7621284235429,  1] 
911004030, [0.2835820895522388,  4,  378.9058726277726,  325.7621284235429,  1] ,1,40.383274338699266, [0.373134328358209,  6,  362.9179525127365,  375.678422378267,  0] 
911004030, [0.373134328358209,  6,  362.9179525127365,  375.678422378267,  0] ,3,-49.30918957315589, [0.4626865671641791,  1,  336.0452763810572,  398.11493581974355,  2] 
911004030, [0.4626865671641791,  1,  336.0452763810572,  398.11493581974355,  2] ,3,-24.26065695570651, [0.5522388059701493,  3,  323.49375142927965,  409.8240678236725,  0] 
911004030, [0.5522388059701493,  3,  323.49375142927965,  409.8240678236725,  0] ,3,-0.558041760337801, [0.6417910447761194,  5,  320.6685296504111,  407.55688780514174,  0] 
