 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec,  skip 
911214020 {
15852 26406.4 26406.4 7 0 0 0 0 0
409 26438.9 26445.1 6 0 1 0 0 0
18047 26517.8 26517.8 6 0 0 0 0 0
17841 26549.5 26549.5 6 0 0 0 0 0
412 26612.7 26612.7 6 0 0 0 0 0
413 26647.0 26647.0 6 0 0 0 0 0
14764 26693.7 26701.8 6 1 1 0 0 0
415 26737.0 26737.0 6 0 0 0 0 0
416 26760.5 26771.7 7 2 1 0 0 0
417 26823.6 26823.6 7 0 0 0 0 0
15185 26877.3 26877.3 7 0 0 0 0 0
16110 26925.8 26925.8 7 0 0 0 0 0
420 26985.7 26985.7 7 0 0 0 0 0
421 27012.8 27012.8 7 0 0 0 0 0
16088 27037.7 27037.7 7 0 0 0 0 0
423 27066.6 27066.6 7 0 0 0 0 0
15364 27244.3 27261.7 9 4 2 0 0 0
425 27332.6 27332.6 9 0 0 0 0 0
15384 27374.4 27382.5 10 1 0 0 0 0
427 27410.4 27418.5 11 1 0 0 0 0
428 27466.8 27474.9 11 1 1 0 0 0
429 27518.7 27518.7 11 0 0 0 0 0
430 27560.9 27560.9 11 0 0 0 0 0
431 27611.5 27611.5 11 0 0 0 0 0
4727 27671.0 27679.1 12 1 0 0 0 0
432 27759.8 27767.9 12 1 1 0 0 0
15279 27868.6 27868.6 12 0 0 0 0 0
16049 27904.6 27912.7 13 1 0 0 0 0
435 27958.6 27969.8 15 2 0 0 0 0
436 28025.9 28037.1 16 2 1 0 0 0
437 28109.2 28109.2 16 0 0 0 0 0
14647 28171.9 28171.9 16 0 0 0 0 0
439 28226.7 28234.8 17 1 0 0 0 0
440 28313.7 28319.9 16 0 1 0 0 0
12754 28360.9 28360.9 16 0 0 0 0 0
442 28424.3 28435.5 17 2 1 0 0 0
443 28505.5 28513.6 16 1 2 0 0 0
445 28706.7 28714.8 15 1 2 0 0 0
446 28814.4 28823.0 12 0 3 0 0 0
     }
- - - - - -
911377020 {
17163 26410.3 26410.3 3 0 0 0 0 0
15848 26477.0 26485.1 4 1 0 0 0 0
406 26531.2 26531.2 4 0 0 0 0 0
14500 26575.5 26605.5 4 0 0 0 30 0
15852 26649.3 26649.3 4 0 0 0 0 0
409 26675.1 26683.2 5 1 0 0 0 0
18047 26759.3 26759.3 5 0 0 0 0 0
17841 26790.9 26790.9 5 0 0 0 0 0
412 26832.2 26832.2 5 0 0 0 0 0
413 26861.9 26891.9 5 0 0 0 30 0
14764 26939.5 26947.6 5 1 1 0 0 0
415 26993.4 26993.4 5 0 0 0 0 0
416 27028.0 27034.2 4 0 1 0 0 0
417 27093.6 27101.7 5 1 0 0 0 0
15185 27136.7 27136.7 5 0 0 0 0 0
16110 27184.9 27214.9 5 0 0 0 30 0
420 27270.0 27281.2 6 2 1 0 0 0
421 27301.6 27301.6 6 0 0 0 0 0
16088 27320.9 27320.9 6 0 0 0 0 0
423 27357.7 27357.7 6 0 0 0 0 0
15364 27498.1 27506.2 6 1 1 0 0 0
425 27562.1 27592.1 7 1 0 0 30 0
15384 27630.4 27630.4 7 0 0 0 0 0
427 27664.2 27672.3 8 1 0 0 0 0
428 27715.5 27715.5 8 0 0 0 0 0
429 27761.8 27761.8 8 0 0 0 0 0
430 27815.1 27815.1 8 0 0 0 0 0
431 27865.5 27895.5 8 0 0 0 30 0
4727 27949.6 27957.7 9 1 0 0 0 0
432 28023.5 28029.7 8 0 1 0 0 0
15279 28115.8 28115.8 8 0 0 0 0 0
16049 28149.6 28149.6 8 0 0 0 0 0
435 28192.7 28200.8 9 1 0 0 0 0
436 28271.8 28279.9 10 1 0 0 0 0
437 28347.6 28347.6 10 0 0 0 0 0
14647 28405.2 28405.2 10 0 0 0 0 0
439 28437.0 28437.0 10 0 0 0 0 0
440 28519.9 28526.1 9 0 1 0 0 0
12754 28577.5 28577.5 9 0 0 0 0 0
442 28632.8 28639.0 8 0 1 0 0 0
443 28764.5 28775.7 9 2 1 0 0 0
     }
- - - - - -
911283020 {
17169 26420.3 26420.3 2 0 0 0 0 0
17162 26487.2 26487.2 2 0 0 0 0 0
14959 26576.7 26576.7 2 0 0 0 0 0
402 26617.9 26617.9 2 0 0 0 0 0
403 26644.5 26644.5 2 0 0 0 0 0
17163 26672.8 26680.9 3 1 0 0 0 0
15848 26734.9 26743.0 4 1 0 0 0 0
406 26778.1 26778.1 4 0 0 0 0 0
14500 26822.3 26852.3 5 1 0 0 30 0
15852 26905.5 26905.5 5 0 0 0 0 0
409 26938.6 26946.7 6 1 0 0 0 0
18047 27029.0 27029.0 6 0 0 0 0 0
17841 27100.3 27111.5 8 2 0 0 0 0
412 27168.7 27168.7 8 0 0 0 0 0
413 27204.3 27204.3 8 0 0 0 0 0
14764 27253.8 27260.0 7 0 1 0 0 0
415 27312.0 27312.0 7 0 0 0 0 0
416 27355.8 27367.0 8 2 1 0 0 0
417 27429.2 27437.3 9 1 0 0 0 0
15185 27470.0 27470.0 9 0 0 0 0 0
16110 27508.0 27538.0 9 0 0 0 30 0
420 27584.0 27590.2 8 0 1 0 0 0
421 27606.9 27606.9 8 0 0 0 0 0
16088 27631.2 27639.3 9 1 0 0 0 0
423 27676.4 27676.4 9 0 0 0 0 0
15364 27787.7 27802.0 10 3 2 0 0 0
425 27865.5 27895.5 10 0 0 0 30 0
15384 27947.1 27947.1 10 0 0 0 0 0
427 27995.7 28003.8 11 1 0 0 0 0
428 28059.0 28067.1 11 1 1 0 0 0
429 28110.6 28118.7 12 1 0 0 0 0
430 28154.0 28154.0 12 0 0 0 0 0
431 28204.1 28204.1 12 0 0 0 0 0
4727 28253.2 28261.3 13 1 0 0 0 0
432 28326.8 28344.2 16 4 1 0 0 0
15279 28418.0 28426.1 17 1 0 0 0 0
16049 28460.0 28468.1 18 1 0 0 0 0
435 28505.1 28513.2 18 1 1 0 0 0
436 28570.5 28587.9 21 4 1 0 0 0
437 28650.7 28650.7 21 0 0 0 0 0
14647 28705.1 28722.5 25 4 0 0 0 0
439 28778.8 28778.8 25 0 0 0 0 0
440 28856.8 28868.0 26 2 1 0 0 0
     }
- - - - - -
910985020 {
14956 26426.5 26440.8 8 3 0 0 0 0
393 26468.9 26468.9 8 0 0 0 0 0
394 26489.0 26497.1 9 1 0 0 0 0
395 26533.0 26533.0 9 0 0 0 0 0
396 26562.1 26562.1 9 0 0 0 0 0
397 26616.7 26624.8 9 1 1 0 0 0
17169 26684.6 26684.6 9 0 0 0 0 0
17162 26750.2 26750.2 9 0 0 0 0 0
14959 26828.5 26858.5 8 0 1 0 30 0
402 26892.4 26892.4 8 0 0 0 0 0
403 26918.0 26918.0 8 0 0 0 0 0
17163 26953.3 26961.4 9 1 0 0 0 0
15848 27023.5 27034.7 11 2 0 0 0 0
406 27067.1 27074.5 9 0 2 0 0 0
14500 27135.3 27143.4 9 1 1 0 0 0
15852 27206.2 27206.2 9 0 0 0 0 0
409 27241.0 27247.2 8 0 1 0 0 0
18047 27367.4 27378.6 10 2 0 0 0 0
17841 27429.3 27440.5 12 2 0 0 0 0
412 27495.0 27495.0 12 0 0 0 0 0
413 27545.3 27545.3 12 0 0 0 0 0
14764 27605.3 27613.4 11 1 2 0 0 0
415 27659.0 27659.0 11 0 0 0 0 0
416 27716.6 27724.7 10 1 2 0 0 0
417 27797.9 27806.0 11 1 0 0 0 0
15185 27836.9 27836.9 11 0 0 0 0 0
16110 27876.1 27876.1 11 0 0 0 0 0
420 27927.3 27938.5 12 2 1 0 0 0
421 27956.9 27956.9 12 0 0 0 0 0
16088 27978.6 27996.0 16 4 0 0 0 0
423 28024.2 28024.2 16 0 0 0 0 0
15364 28144.5 28158.8 15 3 4 0 0 0
425 28224.0 28224.0 15 0 0 0 0 0
15384 28265.3 28273.4 15 1 1 0 0 0
427 28311.7 28322.9 17 2 0 0 0 0
428 28375.1 28389.4 19 3 1 0 0 0
429 28429.2 28429.2 19 0 0 0 0 0
430 28469.5 28469.5 19 0 0 0 0 0
431 28517.8 28524.0 18 0 1 0 0 0
4727 28570.2 28578.3 18 1 1 0 0 0
432 28669.1 28677.2 17 1 2 0 0 0
15279 28768.4 28768.4 17 0 0 0 0 0
16049 28792.7 28792.7 17 0 0 0 0 0
435 28837.6 28845.7 18 1 0 0 0 0
     }
- - - - - -
911298020 {
386 26493.7 26493.7 1 1 0 0 0 0
388 26552.0 26560.1 2 1 0 0 0 0
389 26596.6 26596.6 2 0 0 0 0 0
390 26630.3 26630.3 2 0 0 0 0 0
391 26649.9 26649.9 2 0 0 0 0 0
14956 26715.2 26715.2 2 0 0 0 0 0
393 26754.5 26754.5 2 0 0 0 0 0
394 26775.2 26783.3 3 1 0 0 0 0
395 26820.3 26820.3 3 0 0 0 0 0
396 26850.3 26858.4 4 1 0 0 0 0
397 26902.3 26913.5 6 2 0 0 0 0
17169 26970.1 26970.1 6 0 0 0 0 0
17162 27037.6 27037.6 6 0 0 0 0 0
14959 27119.9 27119.9 6 0 0 0 0 0
402 27166.0 27166.0 6 0 0 0 0 0
403 27201.0 27201.0 6 0 0 0 0 0
17163 27232.8 27240.9 7 1 0 0 0 0
15848 27296.1 27296.1 7 0 0 0 0 0
406 27345.7 27351.9 6 0 1 0 0 0
14500 27414.5 27414.5 6 0 0 0 0 0
15852 27467.4 27467.4 6 0 0 0 0 0
409 27503.8 27511.9 6 1 1 0 0 0
18047 27588.2 27588.2 6 0 0 0 0 0
17841 27650.6 27650.6 6 0 0 0 0 0
412 27707.7 27707.7 6 0 0 0 0 0
413 27752.9 27782.9 6 0 0 0 30 0
14764 27854.2 27860.4 5 0 1 0 0 0
415 27900.1 27900.1 5 0 0 0 0 0
416 27955.0 27963.1 5 1 1 0 0 0
417 28033.5 28033.5 5 0 0 0 0 0
15185 28070.7 28070.7 5 0 0 0 0 0
16110 28110.5 28110.5 5 0 0 0 0 0
420 28159.1 28165.3 4 0 1 0 0 0
421 28187.7 28187.7 4 0 0 0 0 0
16088 28208.5 28208.5 4 0 0 0 0 0
423 28244.6 28252.7 5 1 0 0 0 0
15364 28358.3 28369.5 6 2 1 0 0 0
425 28451.7 28481.7 8 2 0 0 30 0
15384 28524.2 28535.4 10 2 0 0 0 0
427 28592.7 28592.7 10 0 0 0 0 0
428 28642.6 28648.8 9 0 1 0 0 0
429 28689.4 28689.4 9 0 0 0 0 0
430 28732.8 28732.8 9 0 0 0 0 0
431 28783.2 28783.2 9 0 0 0 0 0
4727 28827.3 28827.3 9 0 0 0 0 0
     }
- - - - - -
910955020 {
386 26720.0 26720.0 0 0 0 0 0 0
388 26772.0 26783.2 2 2 0 0 0 0
389 26817.4 26817.4 2 0 0 0 0 0
390 26852.0 26852.0 2 0 0 0 0 0
391 26874.2 26874.2 2 0 0 0 0 0
14956 26953.2 26953.2 2 0 0 0 0 0
393 26986.7 26986.7 2 0 0 0 0 0
394 27002.5 27002.5 2 0 0 0 0 0
395 27029.3 27037.4 3 1 0 0 0 0
396 27076.9 27085.0 4 1 0 0 0 0
397 27135.1 27135.1 4 0 0 0 0 0
17169 27193.7 27201.8 5 1 0 0 0 0
17162 27246.3 27246.3 5 0 0 0 0 0
14959 27311.6 27341.6 5 0 0 0 30 0
402 27391.0 27391.0 5 0 0 0 0 0
403 27424.6 27424.6 5 0 0 0 0 0
17163 27464.3 27472.4 6 1 0 0 0 0
15848 27532.4 27532.4 6 0 0 0 0 0
406 27570.1 27576.3 5 0 1 0 0 0
14500 27631.2 27661.2 6 1 0 0 30 0
15852 27713.3 27721.4 7 1 0 0 0 0
409 27756.2 27762.4 6 0 1 0 0 0
18047 27834.0 27834.0 6 0 0 0 0 0
17841 27899.7 27907.8 7 1 0 0 0 0
412 27953.8 27953.8 7 0 0 0 0 0
413 28001.2 28031.2 7 0 0 0 30 0
14764 28084.8 28091.0 6 0 1 0 0 0
415 28141.2 28141.2 6 0 0 0 0 0
416 28196.1 28204.2 6 1 1 0 0 0
417 28280.1 28280.1 6 0 0 0 0 0
15185 28314.6 28314.6 6 0 0 0 0 0
16110 28356.9 28386.9 7 1 0 0 30 0
420 28446.3 28452.5 6 0 1 0 0 0
421 28472.8 28480.9 7 1 0 0 0 0
16088 28503.4 28503.4 7 0 0 0 0 0
423 28538.2 28546.3 8 1 0 0 0 0
15364 28658.3 28669.5 8 2 2 0 0 0
425 28744.3 28774.3 9 1 0 0 30 0
15384 28806.3 28814.4 9 1 1 0 0 0
427 28851.7 28851.7 9 0 0 0 0 0
     }
- - - - - -
911004030 {
386 27048.0 27048.0 1 1 0 0 0 0
388 27082.0 27093.2 3 2 0 0 0 0
389 27126.3 27134.4 4 1 0 0 0 0
390 27156.4 27156.4 4 0 0 0 0 0
391 27177.7 27177.7 4 0 0 0 0 0
14956 27247.1 27261.4 6 3 1 0 0 0
393 27296.9 27296.9 6 0 0 0 0 0
394 27313.8 27321.9 7 1 0 0 0 0
395 27351.1 27362.3 9 2 0 0 0 0
396 27388.8 27388.8 9 0 0 0 0 0
397 27439.8 27451.0 10 2 1 0 0 0
17169 27523.5 27534.7 12 2 0 0 0 0
17162 27594.9 27603.0 13 1 0 0 0 0
14959 27686.4 27692.6 12 0 1 0 0 0
