4 {
1119 27110.68 2 0 1 0
1120 27165.17 1 0 1 0
1121 27219.72 1 0 0 0
3953 27306.81 1 0 0 0
3954 27356.05 1 0 0 0
     }
- - - - - -
5 {
446 27014.41 9 0 2 0
18122 27117.5 8 0 1 0
448 27283.76 4 1 5 0
1119 27418.76 3 0 1 0
1120 27472.17 2 0 1 0
1121 27524.21 2 0 0 0
3953 27584.56 2 0 0 0
3954 27631.17 2 0 0 0
     }
- - - - - -
6 {
443 27110.17 11 2 1 0
445 27308.24 10 0 1 0
446 27426.0 8 0 2 0
18122 27520.14 7 0 1 0
448 27701.75 2 0 5 0
1119 27820.51 2 0 0 0
1120 27882.9 1 0 1 0
1121 27948.66 1 0 0 0
3953 28020.96 1 0 0 0
3954 28060.79 1 0 0 0
     }
- - - - - -
7 {
436 27002.67 25 4 1 0
437 27079.39 25 1 1 0
14647 27164.95 26 1 0 0
439 27241.29 26 1 1 0
440 27361.37 25 1 2 0
12754 27422.42 25 0 0 0
442 27512.61 23 0 2 0
443 27680.21 31 11 3 0
445 27931.54 26 0 5 0
446 28018.24 21 0 5 0
18122 28118.22 17 0 4 0
448 28264.29 6 0 11 0
1119 28423.81 5 0 1 0
1120 28468.38 4 0 1 0
1121 28515.13 3 0 1 0
3953 28589.69 3 0 0 0
3954 28629.92 3 0 0 0
     }
- - - - - -
8 {
432 27039.2 14 1 1 0
15279 27120.91 15 1 0 0
16049 27170.12 16 1 0 0
435 27215.42 16 1 1 0
436 27290.67 19 4 1 0
437 27363.76 18 0 1 0
14647 27441.87 18 0 0 0
439 27524.81 19 1 0 0
440 27621.78 18 1 2 0
12754 27661.56 18 0 0 0
442 27717.87 17 0 1 0
443 27810.9 17 2 2 0
445 27970.03 15 0 2 0
446 28072.23 12 0 3 0
18122 28193.8 10 0 2 0
448 28302.29 4 0 6 0
1119 28479.96 3 0 1 0
1120 28552.26 2 0 1 0
1121 28592.32 2 0 0 0
3953 28645.52 2 0 0 0
3954 28680.04 2 0 0 0
     }
- - - - - -
9 {
425 27025.61 16 0 0 0
15384 27073.16 18 3 1 0
427 27123.13 19 1 0 0
428 27173.44 20 2 1 0
429 27213.85 20 0 0 0
430 27245.36 20 0 0 0
