 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec 
911214020 {
18047 26435.2 26435.2 3 0 0 0 0
17841 26470.0 26470.0 3 0 0 0 0
412 26525.0 26525.0 3 0 0 0 0
413 26556.8 26556.8 3 0 0 0 0
14764 26604.5 26610.7 2 0 1 0 0
415 26665.8 26665.8 2 0 0 0 0
416 26693.0 26693.0 2 0 0 0 0
417 26763.5 26763.5 2 0 0 0 0
15185 26809.1 26809.1 2 0 0 0 0
16110 26864.3 26864.3 2 0 0 0 0
420 26919.1 26927.2 3 1 0 0 0
421 26960.2 26960.2 3 0 0 0 0
16088 26985.4 26985.4 3 0 0 0 0
423 27012.8 27012.8 3 0 0 0 0
15364 27156.7 27164.8 3 1 1 0 0
425 27230.7 27230.7 3 0 0 0 0
15384 27260.8 27260.8 3 0 0 0 0
427 27304.3 27312.4 4 1 0 0 0
428 27368.7 27368.7 4 0 0 0 0
429 27418.2 27426.3 5 1 0 0 0
430 27458.5 27458.5 5 0 0 0 0
431 27509.8 27509.8 5 0 0 0 0
4727 27552.9 27552.9 5 0 0 0 0
432 27637.2 27648.4 6 2 1 0 0
15279 27772.1 27772.1 6 0 0 0 0
16049 27812.4 27812.4 6 0 0 0 0
435 27852.1 27860.2 7 1 0 0 0
436 27923.2 27940.6 11 4 0 0 0
437 28012.3 28012.3 11 0 0 0 0
14647 28096.8 28096.8 11 0 0 0 0
439 28143.0 28143.0 11 0 0 0 0
440 28237.5 28243.7 10 0 1 0 0
12754 28306.7 28306.7 10 0 0 0 0
442 28378.6 28386.7 10 1 1 0 0
443 28473.1 28484.3 11 2 1 0 0
445 28619.9 28628.0 11 1 1 0 0
446 28719.9 28727.3 9 0 2 0 0
18122 28813.6 28824.8 10 2 1 0 0
     }
- - - - - -
911377020 {
17163 26421.3 26429.4 6 1 0 0 0
15848 26486.8 26486.8 6 0 0 0 0
406 26529.1 26537.2 7 1 0 0 0
14500 26605.6 26605.6 7 0 0 0 0
15852 26681.1 26681.1 7 0 0 0 0
409 26706.5 26712.7 6 0 1 0 0
18047 26783.6 26783.6 6 0 0 0 0
17841 26820.4 26828.5 7 1 0 0 0
412 26882.1 26882.1 7 0 0 0 0
413 26913.7 26913.7 7 0 0 0 0
14764 26948.2 26959.4 8 2 1 0 0
415 27003.3 27003.3 8 0 0 0 0
416 27060.6 27066.8 7 0 1 0 0
417 27144.7 27144.7 7 0 0 0 0
15185 27180.3 27180.3 7 0 0 0 0
16110 27232.7 27232.7 7 0 0 0 0
420 27289.3 27297.4 7 1 1 0 0
421 27318.8 27326.9 8 1 0 0 0
16088 27351.5 27351.5 8 0 0 0 0
423 27380.3 27388.4 9 1 0 0 0
15364 27500.7 27515.0 10 3 2 0 0
425 27585.3 27593.4 11 1 0 0 0
15384 27630.8 27638.9 12 1 0 0 0
427 27683.3 27691.4 13 1 0 0 0
428 27733.6 27744.8 14 2 1 0 0
429 27793.6 27801.7 15 1 0 0 0
430 27840.4 27848.5 16 1 0 0 0
431 27888.2 27896.3 17 1 0 0 0
4727 27945.7 27956.9 18 2 1 0 0
432 28041.2 28049.3 17 1 2 0 0
15279 28160.1 28168.2 18 1 0 0 0
16049 28199.1 28199.1 18 0 0 0 0
435 28242.9 28249.1 17 0 1 0 0
436 28332.0 28346.3 19 3 1 0 0
437 28425.7 28433.8 20 1 0 0 0
14647 28518.9 28530.1 22 2 0 0 0
439 28576.8 28584.9 23 1 0 0 0
440 28655.2 28666.4 23 2 2 0 0
