 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec,  skip 
911214020 {
15852 26448.3 26448.3 12 0 0 0 0 0
409 26474.9 26481.1 11 0 1 0 0 0
18047 26546.3 26546.3 11 0 0 0 0 0
17841 26579.9 26579.9 11 0 0 0 0 0
412 26633.4 26633.4 11 0 0 0 0 0
413 26660.0 26660.0 11 0 0 0 0 0
14764 26707.3 26715.4 10 1 2 0 0 0
415 26755.2 26755.2 10 0 0 0 0 0
416 26789.0 26796.4 8 0 2 0 0 0
417 26856.4 26856.4 8 0 0 0 0 0
15185 26908.0 26908.0 8 0 0 0 0 0
16110 26970.8 26970.8 8 0 0 0 0 0
420 27036.6 27042.8 7 0 1 0 0 0
421 27067.4 27075.5 8 1 0 0 0 0
16088 27103.0 27103.0 8 0 0 0 0 0
423 27132.7 27132.7 8 0 0 0 0 0
15364 27233.4 27250.8 10 4 2 0 0 0
425 27322.4 27322.4 10 0 0 0 0 0
15384 27365.3 27365.3 10 0 0 0 0 0
427 27402.3 27410.4 11 1 0 0 0 0
428 27457.4 27465.5 11 1 1 0 0 0
429 27501.4 27509.5 12 1 0 0 0 0
430 27547.0 27547.0 12 0 0 0 0 0
431 27590.3 27590.3 12 0 0 0 0 0
4727 27641.0 27655.3 15 3 0 0 0 0
432 27739.3 27746.7 13 0 2 0 0 0
15279 27829.7 27840.9 15 2 0 0 0 0
16049 27875.3 27883.4 16 1 0 0 0 0
435 27926.1 27934.2 17 1 0 0 0 0
436 28012.4 28029.8 20 4 1 0 0 0
437 28094.3 28094.3 20 0 0 0 0 0
14647 28160.1 28168.2 21 1 0 0 0 0
439 28227.2 28227.2 21 0 0 0 0 0
440 28305.1 28313.2 20 1 2 0 0 0
12754 28371.8 28371.8 20 0 0 0 0 0
442 28431.1 28437.3 19 0 1 0 0 0
443 28563.6 28577.9 20 3 2 0 0 0
445 28810.8 28819.4 17 0 3 0 0 0
     }
- - - - - -
911377020 {
403 26422.5 26422.5 5 0 0 0 0 0
17163 26462.6 26462.6 5 0 0 0 0 0
15848 26505.5 26505.5 5 0 0 0 0 0
406 26562.9 26562.9 5 0 0 0 0 0
14500 26607.3 26637.3 5 0 0 0 30 0
15852 26695.6 26695.6 5 0 0 0 0 0
409 26729.1 26729.1 5 0 0 0 0 0
18047 26795.7 26795.7 5 0 0 0 0 0
17841 26821.9 26821.9 5 0 0 0 0 0
412 26872.5 26872.5 5 0 0 0 0 0
413 26900.4 26930.4 5 0 0 0 30 0
14764 26962.3 26968.5 4 0 1 0 0 0
415 26998.5 26998.5 4 0 0 0 0 0
416 27029.0 27037.1 4 1 1 0 0 0
417 27106.6 27106.6 4 0 0 0 0 0
15185 27145.1 27145.1 4 0 0 0 0 0
16110 27191.6 27231.6 4 0 0 0 40 0
420 27279.6 27293.9 7 3 0 0 0 0
421 27323.4 27323.4 7 0 0 0 0 0
16088 27345.6 27345.6 7 0 0 0 0 0
423 27378.8 27378.8 7 0 0 0 0 0
15364 27511.3 27525.6 8 3 2 0 0 0
425 27585.0 27615.0 9 1 0 0 30 0
15384 27655.9 27673.3 13 4 0 0 0 0
427 27714.3 27722.4 14 1 0 0 0 0
428 27764.2 27770.4 13 0 1 0 0 0
429 27817.0 27817.0 13 0 0 0 0 0
430 27850.1 27850.1 13 0 0 0 0 0
431 27902.4 27932.4 13 0 0 0 30 0
4727 27959.0 27967.1 14 1 0 0 0 0
432 28056.7 28067.9 14 2 2 0 0 0
15279 28163.0 28171.1 15 1 0 0 0 0
16049 28212.6 28220.7 16 1 0 0 0 0
435 28269.2 28280.4 18 2 0 0 0 0
436 28354.3 28365.5 19 2 1 0 0 0
437 28439.1 28450.3 21 2 0 0 0 0
14647 28524.4 28524.4 21 0 0 0 0 0
439 28568.9 28568.9 21 0 0 0 0 0
440 28645.8 28653.2 19 0 2 0 0 0
12754 28699.3 28699.3 19 0 0 0 0 0
442 28755.3 28761.5 18 0 1 0 0 0
     }
- - - - - -
911283020 {
397 26442.1 26448.3 5 0 1 0 0 0
17169 26494.7 26494.7 5 0 0 0 0 0
17162 26552.1 26560.2 6 1 0 0 0 0
14959 26641.6 26647.8 5 0 1 0 0 0
402 26686.9 26686.9 5 0 0 0 0 0
403 26727.3 26735.4 6 1 0 0 0 0
17163 26783.1 26783.1 6 0 0 0 0 0
15848 26840.9 26840.9 6 0 0 0 0 0
406 26873.8 26881.9 7 1 0 0 0 0
14500 26946.3 26946.3 7 0 0 0 0 0
15852 27004.0 27004.0 7 0 0 0 0 0
409 27039.4 27045.6 6 0 1 0 0 0
18047 27126.1 27126.1 6 0 0 0 0 0
17841 27193.9 27193.9 6 0 0 0 0 0
412 27251.5 27251.5 6 0 0 0 0 0
413 27289.1 27289.1 6 0 0 0 0 0
14764 27345.3 27351.5 5 0 1 0 0 0
415 27402.2 27402.2 5 0 0 0 0 0
416 27450.8 27458.9 5 1 1 0 0 0
417 27513.5 27513.5 5 0 0 0 0 0
15185 27547.8 27555.9 6 1 0 0 0 0
16110 27603.9 27612.0 7 1 0 0 0 0
420 27675.7 27683.8 7 1 1 0 0 0
421 27704.7 27712.8 8 1 0 0 0 0
16088 27735.3 27735.3 8 0 0 0 0 0
423 27759.2 27759.2 8 0 0 0 0 0
15364 27932.0 27946.3 9 3 2 0 0 0
425 27990.4 27990.4 9 0 0 2 0 1
15384 28029.3 28040.5 11 2 0 0 0 0
427 28083.6 28097.9 14 3 0 0 0 0
428 28139.1 28145.3 13 0 1 0 0 0
429 28185.8 28185.8 13 0 0 0 0 0
430 28227.7 28227.7 13 0 0 0 0 0
431 28281.6 28281.6 13 0 0 0 0 1
4727 28330.6 28338.7 14 1 0 0 0 0
432 28422.0 28430.1 13 1 2 0 0 0
15279 28528.3 28528.3 13 0 0 0 0 0
16049 28570.8 28570.8 13 0 0 0 0 0
435 28616.7 28627.9 15 2 0 0 0 0
436 28687.9 28705.3 18 4 1 0 0 0
437 28763.6 28774.8 20 2 0 0 0 0
14647 28850.2 28850.2 20 0 0 0 0 0
     }
- - - - - -
910985020 {
391 26422.7 26422.7 1 0 0 0 0 0
14956 26483.1 26491.2 2 1 0 0 0 0
393 26520.8 26520.8 2 0 0 0 0 0
394 26537.7 26537.7 2 0 0 0 0 0
395 26573.9 26603.9 2 0 0 0 30 0
396 26635.1 26635.1 2 0 0 0 0 0
397 26679.4 26687.5 3 1 0 0 0 0
17169 26763.4 26763.4 3 0 0 0 0 0
17162 26817.6 26817.6 3 0 0 0 0 0
14959 26903.7 26911.8 4 1 0 0 0 0
402 26947.5 26955.6 5 1 0 0 0 0
