trip_id,stop_id,arr_t,dep_t,load_count,ons_count,offs_count,denied_count,hold_sec
910955020,386,7:34:38,7:34:38,0,0,0,0,0
910955020,388,7:35:29,7:35:29,0,0,0,0,0
910955020,389,7:35:52,7:35:52,0,0,0,0,0
910955020,390,7:36:12,7:36:12,0,0,0,0,0
910955020,391,7:36:31,7:36:31,0,0,0,0,0
910955020,14956,7:37:40,7:37:48,1,1,0,0,0
910955020,393,7:38:19,7:38:19,1,0,0,0,0
910955020,394,7:38:39,7:38:39,1,0,0,0,0
910955020,395,7:39:10,7:39:10,1,0,0,0,0
910955020,396,7:39:36,7:39:36,1,0,0,0,0
910955020,397,7:40:26,7:40:26,1,0,0,0,0
910955020,17169,7:41:23,7:41:23,1,0,0,0,0
910955020,17162,7:42:11,7:42:11,1,0,0,0,0
910955020,14959,7:43:26,7:44:06,1,0,0,0,40
910955020,402,7:44:52,7:44:52,1,0,0,0,0
910955020,403,7:45:10,7:45:10,1,0,0,0,0
910955020,17163,7:45:43,7:45:43,1,0,0,0,0
910955020,15848,7:46:38,7:46:38,1,0,0,0,0
910955020,406,7:47:29,7:47:35,0,0,1,0,0
910955020,14500,7:48:24,7:49:04,0,0,0,0,40
910955020,15852,7:49:58,7:49:58,0,0,0,0,0
910955020,409,7:50:33,7:50:33,0,0,0,0,0
910955020,18047,7:51:59,7:51:59,0,0,0,0,0
910955020,17841,7:53:00,7:53:00,0,0,0,0,0
910955020,412,7:53:43,7:53:43,0,0,0,0,0
910955020,413,7:54:22,7:55:02,0,0,0,0,40
910955020,14764,7:56:04,7:56:12,1,1,0,0,0
910955020,415,7:57:07,7:57:07,1,0,0,0,0
910955020,416,7:57:54,7:58:02,2,1,0,0,0
910955020,417,7:59:00,7:59:00,2,0,0,0,0
910955020,15185,7:59:41,7:59:41,2,0,0,0,0
910955020,16110,8:00:28,8:01:08,2,0,0,0,40
910955020,420,8:02:02,8:02:13,3,2,1,0,0
910955020,421,8:02:37,8:02:37,3,0,0,0,0
910955020,16088,8:02:54,8:03:02,4,1,0,0,0
910955020,423,8:03:33,8:03:33,4,0,0,0,0
910955020,15364,8:06:18,8:06:26,4,1,1,0,0
910955020,425,8:07:31,8:07:31,4,0,0,0,0
910955020,15384,8:08:05,8:08:13,5,1,0,0,0
910955020,427,8:08:46,8:08:54,6,1,0,0,0
910955020,428,8:09:33,8:09:41,6,1,1,0,0
910955020,429,8:10:10,8:10:10,6,0,0,0,0
910955020,430,8:10:53,8:11:01,7,1,0,0,0
910955020,431,8:12:22,8:12:22,7,0,0,0,0
910955020,4727,8:13:42,8:13:50,8,1,0,0,0
910955020,432,8:15:34,8:15:34,8,0,0,0,0
910955020,15279,8:16:48,8:16:48,8,0,0,0,0
910955020,16049,8:17:11,8:17:51,11,3,0,0,40
910955020,435,8:18:53,8:19:13,14,5,2,0,0
910955020,436,8:20:47,8:21:04,18,4,0,0,0
910955020,437,8:22:09,8:22:23,21,3,0,0,0
910955020,14647,8:24:31,8:24:39,22,1,0,0,0
910955020,439,8:25:34,8:25:42,23,1,0,0,0
910955020,440,8:27:12,8:27:20,24,1,0,0,0
910955020,12754,8:28:00,8:28:11,26,2,0,0,0
910955020,442,8:29:27,8:29:41,29,3,0,0,0
910955020,443,8:31:40,8:31:51,28,2,3,0,0
910955020,445,8:35:51,8:36:01,24,0,4,0,0
910955020,446,8:37:07,8:37:18,19,0,5,0,0
910955020,18122,8:38:39,8:38:48,17,1,3,0,0
910955020,448,8:41:15,8:41:35,6,1,12,0,0
910955020,1119,8:43:38,8:43:38,6,0,0,0,0
910955020,1120,8:44:58,8:45:05,5,0,1,0,0
910955020,1121,8:46:22,8:46:22,5,0,0,0,0
910955020,3953,8:47:28,8:47:34,4,0,1,0,0
910955020,3954,8:48:17,8:48:17,4,0,0,0,0
910955020,8613,8:50:24,8:50:24,0,0,4,0,0
911004030,386,7:41:20,7:41:20,0,0,0,0,0
911004030,388,7:42:17,7:42:17,0,0,0,0,0
911004030,389,7:42:45,7:42:45,0,0,0,0,0
911004030,390,7:43:13,7:43:13,0,0,0,0,0
911004030,391,7:43:34,7:43:34,0,0,0,0,0
911004030,14956,7:44:29,7:44:40,2,2,0,0,0
911004030,393,7:45:12,7:45:12,2,0,0,0,0
911004030,394,7:45:33,7:45:41,3,1,0,0,0
911004030,395,7:46:20,7:46:20,3,0,0,0,0
911004030,396,7:46:50,7:46:58,4,1,0,0,0
911004030,397,7:47:46,7:47:46,4,0,0,0,0
911004030,17169,7:48:46,7:48:46,4,0,0,0,0
911004030,17162,7:49:44,7:49:44,4,0,0,0,0
911004030,14959,7:51:10,7:51:21,6,2,0,0,0
911004030,402,7:52:06,7:52:06,6,0,0,0,0
911004030,403,7:52:30,7:52:30,6,0,0,0,0
911004030,17163,7:53:10,7:53:10,6,0,0,0,0
911004030,15848,7:54:14,7:54:14,6,0,0,0,0
911004030,406,7:54:52,7:55:00,6,1,1,0,0
911004030,14500,7:56:00,7:56:00,6,0,0,0,0
911004030,15852,7:57:19,7:57:19,6,0,0,0,0
911004030,409,7:58:07,7:58:13,5,0,1,0,0
911004030,18047,7:59:58,7:59:58,5,0,0,0,0
911004030,17841,8:01:16,8:01:27,7,2,0,0,0
911004030,412,8:02:21,8:02:21,7,0,0,0,0
911004030,413,8:03:04,8:03:04,7,0,0,0,0
911004030,14764,8:04:17,8:04:23,6,0,1,0,0
911004030,415,8:05:02,8:05:02,6,0,0,0,0
911004030,416,8:05:51,8:05:58,4,0,2,0,0
911004030,417,8:06:57,8:06:57,4,0,0,0,0
911004030,15185,8:07:37,8:07:37,4,0,0,0,0
911004030,16110,8:08:31,8:08:31,4,0,0,0,0
911004030,420,8:09:12,8:09:12,4,0,0,0,0
911004030,421,8:09:35,8:09:35,4,0,0,0,0
911004030,16088,8:09:57,8:09:57,4,0,0,0,0
911004030,423,8:10:24,8:10:24,4,0,0,0,0
911004030,15364,8:13:57,8:14:08,6,2,0,0,0
911004030,425,8:15:26,8:15:26,6,0,0,0,0
911004030,15384,8:16:03,8:16:14,7,2,1,0,0
911004030,427,8:16:52,8:16:52,7,0,0,0,0
911004030,428,8:17:31,8:17:39,8,1,0,0,0
911004030,429,8:18:02,8:18:02,8,0,0,0,0
911004030,430,8:18:38,8:18:46,9,1,0,0,0
911004030,431,8:20:01,8:20:01,9,0,0,0,0
911004030,4727,8:21:17,8:21:28,11,2,0,0,0
911004030,432,8:23:10,8:23:24,13,3,1,0,0
911004030,15279,8:24:37,8:24:37,13,0,0,0,0
911004030,16049,8:25:07,8:25:39,22,9,0,0,0
911004030,435,8:26:47,8:27:07,27,5,0,0,0
911004030,436,8:28:49,8:29:00,29,2,0,0,0
911004030,437,8:30:19,8:30:30,31,2,0,0,0
911004030,14647,8:31:32,8:31:46,34,3,0,0,0
911004030,439,8:32:38,8:32:46,35,1,0,0,0
911004030,440,8:34:42,8:34:56,38,3,0,0,0
911004030,12754,8:36:11,8:36:11,38,0,0,0,0
911004030,442,8:38:31,8:38:39,39,1,0,0,0
911004030,443,8:40:51,8:41:08,39,4,4,0,0
911004030,445,8:45:26,8:45:38,33,0,6,0,0
911004030,446,8:46:57,8:47:06,30,1,4,0,0
911004030,18122,8:48:52,8:49:04,25,1,6,0,0
911004030,448,8:51:49,8:52:15,10,2,17,0,0
911004030,1119,8:54:48,8:54:58,6,0,4,0,0
911004030,1120,8:55:55,8:56:02,4,0,2,0,0
911004030,1121,8:57:06,8:57:06,4,0,0,0,0
911004030,3953,8:58:10,8:58:10,4,0,0,0,0
911004030,3954,8:59:00,8:59:07,3,0,1,0,0
911004030,8613,9:01:21,9:01:21,0,0,4,0,0
911457020,386,7:47:28,7:47:28,0,0,0,0,0
911457020,388,7:48:13,7:48:13,0,0,0,0,0
911457020,389,7:48:34,7:48:34,0,0,0,0,0
911457020,390,7:49:05,7:49:05,0,0,0,0,0
911457020,391,7:49:25,7:49:25,0,0,0,0,0
911457020,14956,7:50:37,7:50:37,0,0,0,0,0
911457020,393,7:51:10,7:51:10,0,0,0,0,0
911457020,394,7:51:30,7:51:30,0,0,0,0,0
911457020,395,7:52:10,7:52:10,0,0,0,0,0
