trip_id,stop_id,arr_t,dep_t,load_count,ons_count,offs_count,denied_count
911214020,446,28830.1,28842.3,28,0,6,0
911214020,18122,28946.7,28969.7,27,6,7,0
911214020,448,29071.7,29100.7,10,3,20,0
911214020,1119,29313.2,29321.8,7,0,3,0
911214020,1120,29387.6,29393.8,6,0,1,0
911214020,1121,29446.4,29446.4,6,0,0,0
911214020,3953,29506.6,29512.8,5,0,1,0
911214020,3954,29542.4,29542.4,5,0,0,0
911214020,8613,29749.1,29749.1,0,0,5,0
911377020,445,28928.2,28934.4,14,0,1,0
911377020,446,29019.4,29029.2,10,0,4,0
911377020,18122,29179.2,29179.2,10,0,0,0
911377020,448,29293.4,29306.8,4,1,7,0
911377020,1119,29481.5,29490.1,1,0,3,0
911377020,1120,29544.9,29544.9,1,0,0,0
911377020,1121,29599.6,29599.6,1,0,0,0
911377020,3953,29675.8,29675.8,1,0,0,0
911377020,3954,29717.4,29717.4,1,0,0,0
911377020,8613,29924.6,29924.6,0,0,1,0
911283020,12754,28848.6,28848.6,3,0,0,0
911283020,442,28925.2,28931.4,2,0,1,0
911283020,443,29122.3,29136.3,5,3,0,0
911283020,445,29398.5,29398.5,5,0,0,0
911283020,446,29476.6,29476.6,5,0,0,0
911283020,18122,29580.1,29586.3,4,0,1,0
911283020,448,29671.5,29681.3,0,0,4,0
911283020,1119,29847.1,29847.1,0,0,0,0
911283020,1120,29916.3,29916.3,0,0,0,0
911283020,1121,29957.0,29957.0,0,0,0,0
911283020,3953,30026.8,30026.8,0,0,0,0
911283020,3954,30065.5,30065.5,0,0,0,0
911283020,8613,30209.3,30209.3,0,0,0,0
910985020,436,28803.1,28811.7,5,0,3,0
910985020,437,28871.5,28879.5,6,1,0,0
910985020,14647,28948.8,28948.8,6,0,0,0
910985020,439,28991.2,28991.2,6,0,0,0
910985020,440,29068.0,29076.0,7,1,0,0
910985020,12754,29119.2,29130.2,9,2,0,0
910985020,442,29202.7,29202.7,9,0,0,0
910985020,443,29347.7,29347.7,9,0,0,0
910985020,445,29557.0,29564.4,7,0,2,0
910985020,446,29636.4,29642.6,6,0,1,0
910985020,18122,29745.5,29745.5,6,0,0,0
