trip_id,stop_id,arr_t,dep_t,load_count,ons_count,offs_count,denied_count
910955020,386,7:34:56,7:34:56,0,0,0,0
910955020,388,7:35:44,7:35:44,0,0,0,0
910955020,389,7:36:11,7:36:11,0,0,0,0
910955020,390,7:36:32,7:36:32,0,0,0,0
910955020,391,7:36:51,7:36:59,1,1,0,0
910955020,14956,7:38:10,7:38:18,2,1,0,0
910955020,393,7:38:50,7:38:50,2,0,0,0
910955020,394,7:39:08,7:39:08,2,0,0,0
910955020,395,7:39:41,7:39:41,2,0,0,0
910955020,396,7:40:08,7:40:08,2,0,0,0
910955020,397,7:40:48,7:41:02,5,3,0,0
910955020,17169,7:42:02,7:42:02,5,0,0,0
910955020,17162,7:42:43,7:42:43,5,0,0,0
910955020,14959,7:43:59,7:43:59,5,0,0,0
910955020,402,7:44:42,7:44:42,5,0,0,0
910955020,403,7:45:06,7:45:06,5,0,0,0
910955020,17163,7:45:42,7:45:42,5,0,0,0
910955020,15848,7:46:54,7:47:00,4,0,1,0
910955020,406,7:47:34,7:47:42,2,0,2,0
910955020,14500,7:48:42,7:48:50,3,1,0,0
910955020,15852,7:49:45,7:49:45,3,0,0,0
910955020,409,7:50:12,7:50:12,3,0,0,0
910955020,18047,7:51:31,7:51:31,3,0,0,0
910955020,17841,7:52:21,7:52:21,3,0,0,0
910955020,412,7:53:15,7:53:15,3,0,0,0
910955020,413,7:53:58,7:53:58,3,0,0,0
910955020,14764,7:54:47,7:54:55,4,1,0,0
910955020,415,7:55:41,7:55:41,4,0,0,0
910955020,416,7:56:34,7:56:42,3,1,2,0
910955020,417,7:57:46,7:57:46,3,0,0,0
910955020,15185,7:58:17,7:58:17,3,0,0,0
910955020,16110,7:59:02,7:59:02,3,0,0,0
910955020,420,7:59:54,7:59:54,3,0,0,0
910955020,421,8:00:15,8:00:15,3,0,0,0
910955020,16088,8:00:36,8:00:44,4,1,0,0
910955020,423,8:01:17,8:01:17,4,0,0,0
910955020,15364,8:04:11,8:04:22,5,2,1,0
910955020,425,8:05:36,8:05:36,5,0,0,0
910955020,15384,8:06:16,8:06:16,5,0,0,0
910955020,427,8:06:59,8:07:07,6,1,0,0
910955020,428,8:07:42,8:07:42,6,0,0,0
910955020,429,8:08:20,8:08:20,6,0,0,0
910955020,430,8:08:59,8:08:59,6,0,0,0
910955020,431,8:10:02,8:10:02,6,0,0,0
910955020,4727,8:11:58,8:12:09,8,2,0,0
910955020,432,8:13:31,8:13:37,7,0,1,0
910955020,15279,8:14:38,8:14:38,7,0,0,0
910955020,16049,8:15:01,8:15:01,7,0,0,0
910955020,435,8:16:05,8:16:13,8,1,0,0
910955020,436,8:17:44,8:17:58,10,3,1,0
910955020,437,8:18:48,8:18:48,10,0,0,0
910955020,14647,8:19:46,8:19:54,11,1,0,0
910955020,439,8:20:41,8:20:41,11,0,0,0
910955020,440,8:21:48,8:21:56,11,1,1,0
910955020,12754,8:22:56,8:22:56,11,0,0,0
910955020,442,8:24:14,8:24:20,10,0,1,0
910955020,443,8:26:49,8:27:03,11,3,2,0
910955020,445,8:31:37,8:31:37,11,0,0,0
910955020,446,8:33:01,8:33:08,9,0,2,0
910955020,18122,8:34:49,8:34:59,6,1,4,0
910955020,448,8:37:11,8:37:22,4,2,4,0
910955020,1119,8:39:28,8:39:36,2,0,2,0
910955020,1120,8:40:40,8:40:47,0,0,2,0
910955020,1121,8:41:42,8:41:42,0,0,0,0
910955020,3953,8:42:42,8:42:42,0,0,0,0
910955020,3954,8:43:21,8:43:21,0,0,0,0
910955020,8613,8:45:42,8:45:42,0,0,0,0
911004030,386,7:40:32,7:40:32,0,0,0,0
911004030,388,7:41:23,7:41:23,0,0,0,0
911004030,389,7:41:45,7:41:53,1,1,0,0
911004030,390,7:42:15,7:42:15,1,0,0,0
911004030,391,7:42:34,7:42:34,1,0,0,0
911004030,14956,7:44:08,7:44:19,3,2,0,0
911004030,393,7:44:54,7:44:54,3,0,0,0
911004030,394,7:45:15,7:45:15,3,0,0,0
911004030,395,7:45:54,7:45:54,3,0,0,0
911004030,396,7:46:26,7:46:26,3,0,0,0
911004030,397,7:47:14,7:47:14,3,0,0,0
911004030,17169,7:48:18,7:48:18,3,0,0,0
911004030,17162,7:49:02,7:49:10,4,1,0,0
911004030,14959,7:50:38,7:50:38,4,0,0,0
911004030,402,7:51:27,7:51:27,4,0,0,0
911004030,403,7:51:50,7:51:50,4,0,0,0
911004030,17163,7:52:25,7:52:33,5,1,0,0
