trip_id,stop_id,arr_t,dep_t,load_count,ons_count,offs_count,denied_count
910955020,386,27305.1,27305.1,1,1,0,0
910955020,388,27346.5,27346.5,1,0,0,0
910955020,389,27366.6,27366.6,1,0,0,0
910955020,390,27386.3,27386.3,1,0,0,0
910955020,391,27404.0,27412.0,2,1,0,0
910955020,14956,27455.8,27455.8,2,0,0,0
910955020,393,27486.4,27486.4,2,0,0,0
910955020,394,27504.8,27512.8,3,1,0,0
910955020,395,27542.2,27542.2,3,0,0,0
910955020,396,27574.4,27574.4,3,0,0,0
910955020,397,27632.4,27632.4,3,0,0,0
910955020,17169,27697.1,27697.1,3,0,0,0
910955020,17162,27746.6,27754.6,4,1,0,0
910955020,14959,27857.1,27857.1,4,0,0,0
910955020,402,27889.5,27889.5,4,0,0,0
910955020,403,27913.6,27913.6,4,0,0,0
910955020,17163,27951.2,27959.2,5,1,0,0
910955020,15848,28006.0,28012.2,4,0,1,0
910955020,406,28053.5,28059.7,3,0,1,0
910955020,14500,28135.8,28143.8,4,1,0,0
910955020,15852,28224.1,28224.1,4,0,0,0
910955020,409,28253.7,28261.1,2,0,2,0
910955020,18047,28349.1,28357.1,3,1,0,0
910955020,17841,28418.9,28418.9,3,0,0,0
910955020,412,28476.2,28476.2,3,0,0,0
910955020,413,28513.4,28513.4,3,0,0,0
910955020,14764,28580.4,28580.4,3,0,0,0
910955020,415,28629.3,28629.3,3,0,0,0
910955020,416,28677.9,28685.9,3,1,1,0
910955020,417,28769.3,28769.3,3,0,0,0
910955020,15185,28803.5,28803.5,3,0,0,0
910955020,16110,28849.5,28849.5,3,0,0,0
910955020,420,28895.5,28901.7,2,0,1,0
910955020,421,28930.6,28930.6,2,0,0,0
910955020,16088,28949.4,28949.4,2,0,0,0
910955020,423,28988.1,28988.1,2,0,0,0
910955020,15364,29151.7,29162.7,2,2,2,0
910955020,425,29227.5,29227.5,2,0,0,0
910955020,15384,29268.0,29279.0,4,2,0,0
910955020,427,29315.8,29323.8,5,1,0,0
910955020,428,29375.9,29383.9,6,1,0,0
910955020,429,29407.8,29407.8,6,0,0,0
910955020,430,29444.4,29444.4,6,0,0,0
910955020,431,29510.1,29518.1,7,1,0,0
910955020,4727,29609.8,29635.8,14,7,0,0
910955020,432,29738.4,29744.6,13,0,1,0
910955020,15279,29827.3,29835.3,14,1,0,0
910955020,16049,29858.1,29878.1,19,5,0,0
910955020,435,29926.2,29940.2,22,3,0,0
910955020,436,30059.9,30079.9,27,5,0,0
910955020,437,30150.3,30158.3,27,1,1,0
910955020,14647,30212.4,30220.4,28,1,0,0
910955020,439,30263.1,30271.1,29,1,0,0
910955020,440,30368.7,30374.9,28,0,1,0
910955020,12754,30427.3,30427.3,28,0,0,0
910955020,442,30499.3,30507.3,28,1,1,0
910955020,443,30623.7,30631.7,27,1,2,0
910955020,445,30845.9,30853.3,25,0,2,0
910955020,446,30924.8,30938.2,18,0,7,0
910955020,18122,31060.2,31068.8,15,0,3,0
910955020,448,31276.0,31294.2,8,4,11,0
910955020,1119,31422.9,31430.3,6,0,2,0
910955020,1120,31519.3,31525.5,5,0,1,0
910955020,1121,31612.1,31612.1,5,0,0,0
910955020,3953,31673.0,31679.2,4,0,1,0
910955020,3954,31724.4,31724.4,4,0,0,0
910955020,8613,31837.5,31837.5,0,0,4,0
911004030,386,27600,27600,0,0,0,0
911004030,388,27647.3,27647.3,0,0,0,0
911004030,389,27673.8,27673.8,0,0,0,0
911004030,390,27697.5,27697.5,0,0,0,0
911004030,391,27718.7,27726.7,1,1,0,0
911004030,14956,27796.0,27807.0,3,2,0,0
911004030,393,27839.8,27839.8,3,0,0,0
911004030,394,27856.9,27867.9,5,2,0,0
911004030,395,27907.6,27907.6,5,0,0,0
911004030,396,27937.0,27937.0,5,0,0,0
911004030,397,27976.6,27976.6,5,0,0,0
911004030,17169,28038.4,28038.4,5,0,0,0
911004030,17162,28078.9,28086.9,6,1,0,0
911004030,14959,28159.5,28167.5,7,1,0,0
911004030,402,28212.8,28212.8,7,0,0,0
911004030,403,28244.8,28244.8,7,0,0,0
911004030,17163,28284.0,28284.0,7,0,0,0
911004030,15848,28343.5,28343.5,7,0,0,0
911004030,406,28378.8,28386.2,5,0,2,0
911004030,14500,28430.0,28438.0,6,1,0,0
911004030,15852,28491.4,28491.4,6,0,0,0
911004030,409,28526.9,28533.1,5,0,1,0
911004030,18047,28612.4,28620.4,6,1,0,0
911004030,17841,28681.4,28681.4,6,0,0,0
911004030,412,28734.1,28734.1,6,0,0,0
911004030,413,28771.0,28771.0,6,0,0,0
911004030,14764,28828.4,28835.8,4,0,2,0
911004030,415,28879.7,28879.7,4,0,0,0
911004030,416,28929.5,28939.3,0,0,4,0
911004030,417,28999.6,28999.6,0,0,0,0
911004030,15185,29052.2,29052.2,0,0,0,0
911004030,16110,29104.5,29104.5,0,0,0,0
911004030,420,29154.4,29154.4,0,0,0,0
911004030,421,29177.8,29177.8,0,0,0,0
911004030,16088,29206.9,29206.9,0,0,0,0
911004030,423,29235.0,29235.0,0,0,0,0
911004030,15364,29377.0,29377.0,0,0,0,0
911004030,425,29441.6,29441.6,0,0,0,0
911004030,15384,29470.0,29478.0,1,1,0,0
911004030,427,29519.8,29527.8,2,1,0,0
911004030,428,29582.6,29582.6,2,0,0,0
911004030,429,29614.4,29614.4,2,0,0,0
911004030,430,29650.3,29650.3,2,0,0,0
911004030,431,29713.6,29721.6,3,1,0,0
911004030,4727,29797.4,29805.4,4,1,0,0
911004030,432,29924.8,29924.8,4,0,0,0
911004030,15279,29977.2,29977.2,4,0,0,0
911004030,16049,29998.8,30015.8,8,4,0,0
911004030,435,30071.9,30079.9,9,1,0,0
911004030,436,30172.5,30172.5,9,0,0,0
911004030,437,30232.6,30232.6,9,0,0,0
911004030,14647,30338.0,30338.0,9,0,0,0
911004030,439,30388.1,30388.1,9,0,0,0
911004030,440,30476.0,30476.0,9,0,0,0
911004030,12754,30521.9,30521.9,9,0,0,0
911004030,442,30606.8,30606.8,9,0,0,0
911004030,443,30762.4,30770.4,9,1,1,0
911004030,445,31073.9,31081.3,7,0,2,0
911004030,446,31171.3,31178.7,5,0,2,0
911004030,18122,31282.3,31282.3,5,0,0,0
911004030,448,31426.7,31437.7,4,2,3,0
911004030,1119,31584.2,31590.4,3,0,1,0
911004030,1120,31662.4,31662.4,3,0,0,0
911004030,1121,31732.3,31732.3,3,0,0,0
911004030,3953,31819.2,31819.2,3,0,0,0
911004030,3954,31855.2,31855.2,3,0,0,0
911004030,8613,31999.7,31999.7,0,0,3,0
911457020,386,27972.1,27972.1,1,1,0,0
911457020,388,28023.5,28023.5,1,0,0,0
911457020,389,28046.7,28054.7,2,1,0,0
911457020,390,28077.1,28077.1,2,0,0,0
911457020,391,28102.9,28102.9,2,0,0,0
911457020,14956,28177.9,28185.9,2,1,1,0
911457020,393,28218.3,28218.3,2,0,0,0
911457020,394,28233.9,28241.9,3,1,0,0
911457020,395,28269.5,28269.5,3,0,0,0
911457020,396,28314.6,28322.6,4,1,0,0
911457020,397,28374.5,28374.5,4,0,0,0
911457020,17169,28432.9,28432.9,4,0,0,0
911457020,17162,28471.6,28471.6,4,0,0,0
911457020,14959,28550.3,28550.3,4,0,0,0
911457020,402,28583.4,28583.4,4,0,0,0
911457020,403,28615.3,28615.3,4,0,0,0
911457020,17163,28648.2,28659.2,6,2,0,0
911457020,15848,28718.8,28718.8,6,0,0,0
911457020,406,28749.0,28749.0,6,0,0,0
911457020,14500,28794.9,28801.1,5,0,1,0
911457020,15852,28849.2,28849.2,5,0,0,0
911457020,409,28874.9,28881.1,4,0,1,0
911457020,18047,28981.6,28981.6,4,0,0,0
911457020,17841,29057.7,29068.7,6,2,0,0
911457020,412,29117.5,29117.5,6,0,0,0
911457020,413,29169.5,29169.5,6,0,0,0
911457020,14764,29216.5,29224.5,7,1,0,0
911457020,415,29255.0,29255.0,7,0,0,0
911457020,416,29301.3,29312.3,7,2,2,0
911457020,417,29384.5,29384.5,7,0,0,0
911457020,15185,29427.0,29435.0,8,1,0,0
911457020,16110,29480.0,29488.0,8,1,1,0
911457020,420,29542.4,29548.6,7,0,1,0
911457020,421,29572.7,29572.7,7,0,0,0
911457020,16088,29593.8,29593.8,7,0,0,0
911457020,423,29624.6,29624.6,7,0,0,0
911457020,15364,29735.6,29743.6,6,1,2,0
911457020,425,29837.4,29837.4,6,0,0,0
911457020,15384,29877.3,29888.3,7,2,1,0
911457020,427,29920.2,29931.2,9,2,0,0
911457020,428,29988.2,29995.6,7,0,2,0
911457020,429,30023.8,30023.8,7,0,0,0
911457020,430,30060.8,30071.8,9,2,0,0
911457020,431,30148.9,30148.9,9,0,0,0
911457020,4727,30237.3,30251.3,12,3,0,0
911457020,432,30322.1,30322.1,12,0,0,0
911457020,15279,30382.1,30382.1,12,0,0,0
911457020,16049,30406.5,30423.5,16,4,0,0
911457020,435,30511.0,30522.0,18,2,0,0
911457020,436,30600.5,30620.5,23,5,0,0
911457020,437,30688.2,30699.2,25,2,0,0
911457020,14647,30782.3,30782.3,25,0,0,0
911457020,439,30842.9,30842.9,25,0,0,0
911457020,440,30930.6,30941.6,26,2,1,0
911457020,12754,30982.6,30982.6,26,0,0,0
911457020,442,31167.7,31178.7,26,2,2,0
911457020,443,31291.3,31314.3,26,6,6,0
911457020,445,31572.6,31582.4,22,0,4,0
911457020,446,31656.2,31666.0,18,0,4,0
911457020,18122,31753.8,31753.8,18,0,0,0
911457020,448,31911.9,31930.1,7,0,11,0
911457020,1119,32042.4,32052.2,3,0,4,0
911457020,1120,32128.0,32128.0,3,0,0,0
911457020,1121,32188.0,32188.0,3,0,0,0
911457020,3953,32262.3,32262.3,3,0,0,0
911457020,3954,32297.8,32297.8,3,0,0,0
911457020,8613,32437.2,32437.2,0,0,3,0
