trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled,schd_trip_id,block_id,schd_sec
6260911900030,05:05:00,05:05:00,386,1,Illinois Center,0,0,911900030,626055898403,18300.0
6260911900030,05:05:36,05:05:36,388,2,Illinois Center,0,753,911900030,626055898403,18336.0
6260911900030,05:06:00,05:06:00,389,3,Illinois Center,0,1194,911900030,626055898403,18360.0
6260911900030,05:06:24,05:06:24,390,4,Illinois Center,0,1661,911900030,626055898403,18384.0
6260911900030,05:06:48,05:06:48,391,5,Illinois Center,0,2105,911900030,626055898403,18408.0
6260911900030,05:07:21,05:07:21,14956,6,Illinois Center,0,2771,911900030,626055898403,18441.0
6260911900030,05:07:33,05:07:33,393,7,Illinois Center,0,3021,911900030,626055898403,18453.0
6260911900030,05:07:54,05:07:54,394,8,Illinois Center,0,3387,911900030,626055898403,18474.0
6260911900030,05:08:24,05:08:24,395,9,Illinois Center,0,3929,911900030,626055898403,18504.0
6260911900030,05:08:54,05:08:54,396,10,Illinois Center,0,4531,911900030,626055898403,18534.0
6260911900030,05:09:30,05:09:30,397,11,Illinois Center,0,5220,911900030,626055898403,18570.0
6260911900030,05:10:09,05:10:09,17169,12,Illinois Center,0,6013,911900030,626055898403,18609.0
6260911900030,05:11:00,05:11:00,17162,13,Illinois Center,0,6938,911900030,626055898403,18660.0
6260911900030,05:12:00,05:12:00,14959,14,Illinois Center,0,8087,911900030,626055898403,18720.0
6260911900030,05:12:38,05:12:38,402,15,Illinois Center,0,8592,911900030,626055898403,18758.0
6260911900030,05:13:25,05:13:25,403,16,Illinois Center,0,9210,911900030,626055898403,18805.0
6260911900030,05:14:25,05:14:25,17163,17,Illinois Center,0,10056,911900030,626055898403,18865.0
6260911900030,05:15:12,05:15:12,15848,18,Illinois Center,0,10739,911900030,626055898403,18912.0
6260911900030,05:15:47,05:15:47,406,19,Illinois Center,0,11251,911900030,626055898403,18947.0
6260911900030,05:16:30,05:16:30,14500,20,Illinois Center,0,11931,911900030,626055898403,18990.0
6260911900030,05:17:21,05:17:21,15852,21,Illinois Center,0,12747,911900030,626055898403,19041.0
6260911900030,05:18:00,05:18:00,409,22,Illinois Center,0,13228,911900030,626055898403,19080.0
6260911900030,05:18:52,05:18:52,18047,23,Illinois Center,0,13978,911900030,626055898403,19132.0
6260911900030,05:19:45,05:19:45,17841,24,Illinois Center,0,14740,911900030,626055898403,19185.0
6260911900030,05:20:35,05:20:35,412,25,Illinois Center,0,15858,911900030,626055898403,19235.0
6260911900030,05:21:08,05:21:08,413,26,Illinois Center,0,16481,911900030,626055898403,19268.0
6260911900030,05:21:56,05:21:56,14764,27,Illinois Center,0,17392,911900030,626055898403,19316.0
6260911285020,05:22:00,05:22:00,386,1,Illinois Center,0,0,911285020,626055897602,19320.0
6260911900030,05:22:26,05:22:26,415,28,Illinois Center,0,17959,911900030,626055898403,19346.0
6260911285020,05:22:36,05:22:36,388,2,Illinois Center,0,753,911285020,626055897602,19356.0
6260911285020,05:23:00,05:23:00,389,3,Illinois Center,0,1194,911285020,626055897602,19380.0
6260911900030,05:23:00,05:23:00,416,29,Illinois Center,0,18626,911900030,626055898403,19380.0
6260911285020,05:23:24,05:23:24,390,4,Illinois Center,0,1661,911285020,626055897602,19404.0
6260911900030,05:23:43,05:23:43,417,30,Illinois Center,0,19510,911900030,626055898403,19423.0
