route_id,service_id,trip_id,direction_id,block_id,shape_id,direction,wheelchair_accessible,schd_trip_id
100,62601,6260903796020,1,626055844802,62600699,East,1,903796020
100,62601,6260903797020,0,626055844802,62600701,West,1,903797020
100,62601,6260903798020,1,626055844802,62600703,East,1,903798020
100,62601,6260903799020,0,626055844802,62600701,West,1,903799020
100,62601,6260903800020,1,626055844802,62600703,East,1,903800020
100,62601,6260903801020,0,626055844802,62600701,West,1,903801020
100,62601,6260903804020,1,626055853702,62600703,East,1,903804020
100,62601,6260903805020,0,626055853702,62600701,West,1,903805020
100,62601,6260903806020,1,626055853702,62600703,East,1,903806020
100,62601,6260903808020,0,626055853702,62600701,West,1,903808020
100,62601,6260903809020,1,626055853702,62600703,East,1,903809020
100,62601,6260903810020,0,626055853702,62600701,West,1,903810020
100,62601,6260903833020,1,626055843502,62600703,East,1,903833020
100,62601,6260903834020,0,626055843502,62600701,West,1,903834020
100,62601,6260903835020,1,626055843502,62600703,East,1,903835020
100,62601,6260903836020,0,626055843502,62600701,West,1,903836020
100,62601,6260903837020,1,626055843502,62600703,East,1,903837020
100,62601,6260903838020,0,626055843502,62600700,West,1,903838020
100,62601,6260903895020,1,626055853102,62600703,East,1,903895020
100,62601,6260903896020,0,626055853102,62600701,West,1,903896020
100,62601,6260903897020,1,626055853102,62600703,East,1,903897020
100,62601,6260903899020,0,626055853102,62600701,West,1,903899020
100,62601,6260903900020,1,626055853102,62600703,East,1,903900020
100,62601,6260903901020,0,626055853102,62600700,West,1,903901020
100,62601,6260905266020,0,626055829502,62600702,West,1,905266020
103,62601,6260902014020,0,626055833602,62600711,West,1,902014020
103,62601,6260902015020,1,626055833602,62605666,East,1,902015020
103,62601,6260902016020,0,626055833602,62600711,West,1,902016020
103,62601,6260902017020,0,626055833602,62600711,West,1,902017020
103,62601,6260902018020,1,626055833602,62600717,East,1,902018020
103,62601,6260902019020,0,626055833602,62600711,West,1,902019020
103,62601,6260902020020,0,626055833602,62600711,West,1,902020020
103,62601,6260902021020,1,626055833602,62600717,East,1,902021020
103,62601,6260902022020,0,626055833602,62600711,West,1,902022020
103,62601,6260902023020,1,626055833602,62600717,East,1,902023020
103,62601,6260902024020,1,626055833602,62600717,East,1,902024020
103,62601,6260902025020,0,626055833502,62600712,West,1,902025020
103,62601,6260902026020,1,626055833602,62600717,East,1,902026020
103,62601,6260902029020,1,626055833502,62600717,East,1,902029020
103,62601,6260902030020,0,626055833502,62600712,West,1,902030020
103,62601,6260902031020,1,626055833502,62600717,East,1,902031020
103,62601,6260902032020,0,626055833502,62600711,West,1,902032020
103,62601,6260902033020,0,626055833502,62600711,West,1,902033020
103,62601,6260902034020,0,626055833502,62600711,West,1,902034020
103,62601,6260902035020,0,626055833502,62600711,West,1,902035020
103,62601,6260902036020,1,626055833502,62600717,East,1,902036020
103,62601,6260902037020,1,626055833502,62600717,East,1,902037020
103,62601,6260902038020,1,626055833502,62605666,East,1,902038020
103,62601,6260902039020,1,626055833502,62605666,East,1,902039020
103,62601,6260902040020,0,626055833502,62600711,West,1,902040020
103,62601,6260902041020,1,626055833502,62600717,East,1,902041020
103,62601,6260902042020,0,626055833502,62600711,West,1,902042020
103,62601,6260902043020,1,626055833502,62605666,East,1,902043020
103,62601,6260902044020,0,626055833502,62600711,West,1,902044020
103,62601,6260902045020,1,626055833502,62600717,East,1,902045020
103,62601,6260902046020,1,626055833502,62600717,East,1,902046020
103,62601,6260902047020,0,626055833502,62600711,West,1,902047020
103,62601,6260902048020,1,626055833502,62600717,East,1,902048020
103,62601,6260902049020,0,626055833502,62600711,West,1,902049020
103,62601,6260902050020,0,626055833502,62600711,West,1,902050020
103,62601,6260902051020,1,626055833502,62600717,East,1,902051020
103,62601,6260902054020,0,626055833502,62600711,West,1,902054020
103,62601,6260902056020,1,626055833502,62600717,East,1,902056020
103,62601,6260902111020,0,626055833002,62600711,West,1,902111020
103,62601,6260902112020,1,626055833002,62600717,East,1,902112020
103,62601,6260902116020,0,626055833002,62600712,West,1,902116020
103,62601,6260902117020,1,626055833002,62600717,East,1,902117020
103,62601,6260902118020,0,626055833002,62600712,West,1,902118020
103,62601,6260902119020,1,626055833002,62600717,East,1,902119020
103,62601,6260902120020,0,626055833002,62600711,West,1,902120020
103,62601,6260902121020,1,626055833002,62600717,East,1,902121020
103,62601,6260902122020,0,626055833002,62600711,West,1,902122020
103,62601,6260902123020,1,626055833002,62600717,East,1,902123020
103,62601,6260902124020,1,626055833002,62605666,East,1,902124020
103,62601,6260902125020,0,626055833002,62600711,West,1,902125020
103,62601,6260902126020,1,626055833002,62605666,East,1,902126020
103,62601,6260902128020,0,626055833002,62600711,West,1,902128020
103,62601,6260902129020,0,626055833002,62600711,West,1,902129020
103,62601,6260902130020,1,626055833002,62605666,East,1,902130020
103,62601,6260902131020,0,626055833002,62600711,West,1,902131020
103,62601,6260902132020,0,626055833002,62600711,West,1,902132020
103,62601,6260902133020,1,626055833002,62600717,East,1,902133020
103,62601,6260902134020,0,626055833002,62600711,West,1,902134020
103,62601,6260902135020,1,626055833002,62600717,East,1,902135020
103,62601,6260902136020,1,626055833002,62600717,East,1,902136020
103,62601,6260902249020,1,626055835402,62600717,East,1,902249020
103,62601,6260902252020,0,626055835402,62600712,West,1,902252020
103,62601,6260902253020,0,626055835402,62600712,West,1,902253020
103,62601,6260902254020,1,626055835402,62600717,East,1,902254020
103,62601,6260902255020,0,626055835402,62600711,West,1,902255020
103,62601,6260902256020,1,626055835402,62600717,East,1,902256020
103,62601,6260902257020,0,626055835402,62600711,West,1,902257020
103,62601,6260902258020,1,626055849002,62605666,East,1,902258020
103,62601,6260902259020,1,626055835402,62605666,East,1,902259020
