 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec 
18047 27342.0 27350.1 6 1 0 0 0
17841 27415.8 27415.8 6 0 0 0 0
412 27472.2 27472.2 6 0 0 0 0
413 27513.4 27553.4 6 0 0 0 40
14764 27607.1 27613.3 5 0 1 0 0
415 27660.9 27660.9 5 0 0 0 0
416 27717.0 27723.2 4 0 1 0 0
417 27779.1 27779.1 4 0 0 0 0
15185 27820.1 27820.1 4 0 0 0 0
16110 27857.9 27897.9 4 0 0 0 40
420 27947.4 27947.4 4 0 0 0 0
421 27971.3 27979.4 5 1 0 0 0
16088 28002.0 28010.1 6 1 0 0 0
423 28039.9 28039.9 6 0 0 0 0
15364 28178.3 28184.5 5 0 1 0 0
425 28258.0 28298.0 5 0 0 0 40
15384 28332.2 28340.3 6 1 0 0 0
427 28390.8 28390.8 6 0 0 0 0
428 28435.6 28435.6 6 0 0 0 0
429 28485.4 28485.4 6 0 0 0 0
430 28524.6 28524.6 6 0 0 0 0
431 28574.2 28599.9 6 0 0 0 25.689221054693917
4727 28649.1 28649.1 6 0 0 0 0
432 28731.7 28737.9 5 0 1 0 0
15279 28791.0 28799.1 6 1 0 0 0
16049 28828.7 28836.8 7 1 0 0 0
     }
- - - - - -
911298020 {
386 26475.3 26475.3 1 1 0 0 0
388 26530.0 26538.1 2 1 0 0 0
389 26574.7 26574.7 2 0 0 0 0
390 26599.8 26599.8 2 0 0 0 0
391 26618.1 26626.2 3 1 0 0 0
14956 26698.5 26706.6 4 1 0 0 0
393 26744.3 26744.3 4 0 0 0 0
394 26759.9 26759.9 4 0 0 0 0
395 26793.2 26793.2 4 0 0 0 0
396 26823.1 26823.1 4 0 0 0 0
397 26862.3 26862.3 4 0 0 0 0
17169 26916.4 26916.4 4 0 0 0 0
17162 26997.0 26997.0 4 0 0 0 0
14959 27072.6 27112.6 4 0 0 0 40
402 27152.4 27152.4 4 0 0 0 0
403 27179.5 27179.5 4 0 0 0 0
17163 27207.3 27207.3 4 0 0 0 0
15848 27262.0 27262.0 4 0 0 0 0
406 27305.1 27311.3 3 0 1 0 0
14500 27368.7 27408.7 3 0 0 0 40
15852 27455.9 27455.9 3 0 0 0 0
409 27493.2 27493.2 3 0 0 0 0
18047 27601.7 27609.8 4 1 0 0 0
17841 27672.4 27680.5 5 1 0 0 0
412 27732.4 27732.4 5 0 0 0 0
413 27773.3 27806.2 5 0 0 0 32.927443857639446
14764 27864.8 27872.9 5 1 1 0 0
415 27932.8 27932.8 5 0 0 0 0
416 27989.0 28000.2 6 2 1 0 0
417 28057.9 28057.9 6 0 0 0 0
15185 28093.3 28093.3 6 0 0 0 0
16110 28146.1 28154.2 7 1 0 0 0
420 28207.0 28213.2 6 0 1 0 0
421 28230.3 28230.3 6 0 0 0 0
16088 28255.4 28263.5 7 1 0 0 0
423 28290.1 28290.1 7 0 0 0 0
15364 28397.3 28404.7 5 0 2 0 0
425 28457.4 28497.4 5 0 0 0 40
15384 28532.7 28532.7 5 0 0 0 0
427 28575.3 28575.3 5 0 0 0 0
428 28623.0 28623.0 5 0 0 0 0
429 28661.4 28661.4 5 0 0 0 0
430 28702.0 28702.0 5 0 0 0 0
431 28755.0 28795.0 5 0 0 0 40
4727 28851.9 28863.1 7 2 0 0 0
     }
- - - - - -
910955020 {
386 26700 26700 1 1 0 0 0
388 26745.3 26745.3 1 0 0 0 0
389 26779.5 26779.5 1 0 0 0 0
390 26814.4 26854.4 1 0 0 0 40
391 26882.7 26893.9 3 2 0 0 0
14956 26953.5 26953.5 3 0 0 0 0
393 26989.1 26989.1 3 0 0 0 0
394 27007.9 27016.0 4 1 0 0 0
395 27058.0 27058.0 4 0 0 0 0
396 27095.7 27095.7 4 0 0 0 0
397 27150.0 27150.0 4 0 0 0 0
17169 27211.3 27211.3 4 0 0 0 0
17162 27260.6 27260.6 4 0 0 0 0
14959 27346.6 27370.6 5 1 0 0 23.996052016802423
402 27404.8 27404.8 5 0 0 0 0
403 27432.8 27432.8 5 0 0 0 0
17163 27467.9 27467.9 5 0 0 0 0
15848 27533.1 27533.1 5 0 0 0 0
406 27566.9 27573.1 4 0 1 0 0
14500 27640.0 27662.8 4 0 0 0 22.84193768003388
15852 27730.6 27730.6 4 0 0 0 0
409 27761.6 27775.9 7 3 0 0 0
18047 27860.2 27868.3 8 1 0 0 0
17841 27933.4 27933.4 8 0 0 0 0
412 27989.1 27989.1 8 0 0 0 0
413 28030.4 28044.5 8 0 0 0 14.189220695079712
14764 28106.2 28114.3 8 1 1 0 0
415 28168.3 28168.3 8 0 0 0 0
416 28215.2 28221.4 7 0 1 0 0
417 28285.6 28285.6 7 0 0 0 0
15185 28332.4 28332.4 7 0 0 0 0
16110 28372.2 28405.1 7 0 0 0 32.92496942256548
420 28467.0 28475.1 7 1 1 0 0
421 28491.6 28491.6 7 0 0 0 0
16088 28510.5 28518.6 8 1 0 0 0
423 28554.5 28562.6 9 1 0 0 0
15364 28705.1 28716.3 9 2 2 0 0
425 28777.8 28785.9 10 1 0 0 0
15384 28832.3 28838.5 9 0 1 0 0
     }
- - - - - -
911004030 {
386 27040.1 27040.1 1 1 0 0 0
388 27079.3 27087.4 2 1 0 0 0
389 27121.1 27121.1 2 0 0 0 0
390 27142.2 27142.2 2 0 0 0 0
391 27160.7 27168.8 3 1 0 0 0
14956 27228.6 27236.7 4 1 0 0 0
393 27272.4 27272.4 4 0 0 0 0
394 27292.7 27303.9 6 2 0 0 0
395 27339.1 27339.1 6 0 0 0 0
396 27370.7 27370.7 6 0 0 0 0
397 27428.2 27428.2 6 0 0 0 0
17169 27484.3 27484.3 6 0 0 0 0
17162 27522.8 27522.8 6 0 0 0 0
14959 27606.3 27643.2 6 0 0 0 36.98533155324185
402 27670.3 27678.4 7 1 0 0 0
403 27697.8 27697.8 7 0 0 0 0
17163 27731.1 27731.1 7 0 0 0 0
15848 27783.5 27783.5 7 0 0 0 0
406 27817.2 27823.4 6 0 1 0 0
14500 27880.5 27920.5 7 1 0 0 40
15852 27983.3 27983.3 7 0 0 0 0
409 28012.2 28018.4 6 0 1 0 0
18047 28110.3 28110.3 6 0 0 0 0
17841 28160.5 28160.5 6 0 0 0 0
412 28210.8 28210.8 6 0 0 0 0
413 28253.3 28293.3 6 0 0 0 40
14764 28366.7 28374.8 6 1 1 0 0
415 28422.7 28422.7 6 0 0 0 0
416 28464.0 28470.2 5 0 1 0 0
417 28533.8 28533.8 5 0 0 0 0
15185 28565.8 28565.8 5 0 0 0 0
16110 28612.2 28652.2 5 0 0 0 40
420 28706.4 28712.6 4 0 1 0 0
421 28739.4 28747.5 5 1 0 0 0
16088 28778.9 28778.9 5 0 0 0 0
423 28815.3 28815.3 5 0 0 0 0
     }
- - - - - -
911457020 {
386 27274.5 27274.5 0 0 0 0 0
388 27334.0 27342.1 1 1 0 0 0
389 27373.7 27373.7 1 0 0 0 0
390 27403.3 27403.3 1 0 0 0 0
391 27426.7 27426.7 1 0 0 0 0
14956 27499.6 27520.1 6 5 0 0 0
393 27549.8 27549.8 6 0 0 0 0
394 27569.2 27577.3 7 1 0 0 0
395 27608.8 27608.8 7 0 0 0 0
396 27635.6 27635.6 7 0 0 0 0
397 27685.6 27685.6 7 0 0 0 0
17169 27745.6 27745.6 7 0 0 0 0
17162 27800.7 27800.7 7 0 0 0 0
14959 27863.6 27903.6 8 1 0 0 40
402 27945.7 27945.7 8 0 0 0 0
403 27969.0 27969.0 8 0 0 0 0
17163 28006.2 28006.2 8 0 0 0 0
15848 28049.9 28049.9 8 0 0 0 0
406 28080.2 28088.3 8 1 1 0 0
14500 28153.2 28193.2 8 0 0 0 40
15852 28246.7 28246.7 8 0 0 0 0
409 28287.0 28293.2 7 0 1 0 0
18047 28416.6 28416.6 7 0 0 0 0
17841 28482.2 28482.2 7 0 0 0 0
412 28540.5 28540.5 7 0 0 0 0
413 28583.2 28605.3 7 0 0 0 22.12617077048708
14764 28653.2 28659.4 6 0 1 0 0
415 28709.7 28709.7 6 0 0 0 0
416 28758.7 28764.9 5 0 1 0 0
417 28832.2 28832.2 5 0 0 0 0
     }
- - - - - -
910579020 {
386 27575.7 27575.7 1 1 0 0 0
388 27624.1 27632.2 2 1 0 0 0
389 27662.1 27670.2 3 1 0 0 0
390 27695.0 27695.0 3 0 0 0 0
391 27711.4 27711.4 3 0 0 0 0
14956 27784.9 27784.9 3 0 0 0 0
393 27812.9 27812.9 3 0 0 0 0
394 27831.5 27839.6 4 1 0 0 0
395 27890.1 27898.2 5 1 0 0 0
396 27930.3 27930.3 5 0 0 0 0
397 27969.1 27969.1 5 0 0 0 0
17169 28059.8 28067.9 6 1 0 0 0
17162 28130.4 28130.4 6 0 0 0 0
14959 28224.8 28232.9 7 1 0 0 0
402 28292.2 28292.2 7 0 0 0 0
403 28317.1 28317.1 7 0 0 0 0
17163 28358.9 28358.9 7 0 0 0 0
15848 28416.2 28427.4 9 2 0 0 0
406 28474.9 28483.0 9 1 1 0 0
14500 28541.2 28549.3 9 1 1 0 0
15852 28613.6 28621.7 10 1 0 0 0
409 28657.2 28668.4 11 2 1 0 0
18047 28752.5 28752.5 11 0 0 0 0
17841 28819.2 28827.3 12 1 0 0 0
     }
- - - - - -
911242020 {
386 27780 27780 1 1 0 0 0
388 27830.9 27830.9 1 0 0 0 0
389 27858.3 27858.3 1 0 0 0 0
390 27879.4 27919.4 1 0 0 0 40
391 27936.9 27945.0 2 1 0 0 0
14956 28028.9 28028.9 2 0 0 0 0
393 28064.0 28064.0 2 0 0 0 0
394 28084.2 28084.2 2 0 0 0 0
395 28113.8 28130.0 2 0 0 0 16.172352351568406
396 28160.2 28168.3 3 1 0 0 0
397 28215.0 28215.0 3 0 0 0 0
17169 28281.7 28281.7 3 0 0 0 0
17162 28337.3 28337.3 3 0 0 0 0
14959 28427.8 28452.3 3 0 0 0 24.499914866188192
402 28496.4 28504.5 4 1 0 0 0
403 28535.1 28535.1 4 0 0 0 0
17163 28565.9 28565.9 4 0 0 0 0
15848 28625.6 28625.6 4 0 0 0 0
406 28662.1 28670.2 4 1 1 0 0
14500 28725.0 28762.3 4 0 0 0 37.28642096399926
15852 28832.6 28832.6 4 0 0 0 0
409 28857.6 28865.7 4 1 1 0 0
     }
- - - - - -
910043020 {
386 28081.3 28081.3 0 0 0 0 0
388 28125.1 28125.1 0 0 0 0 0
389 28150.6 28150.6 0 0 0 0 0
