 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec,  skip 
911214020 {
409 26425.5 26431.7 11 0 1 0 0 0
18047 26528.4 26528.4 11 0 0 0 0 0
17841 26572.9 26572.9 11 0 0 0 0 0
412 26652.3 26652.3 11 0 0 0 0 0
413 26679.8 26687.9 12 1 0 0 0 0
14764 26741.6 26749.0 10 0 2 0 0 0
415 26794.3 26802.4 11 1 0 0 0 0
416 26846.1 26853.5 9 0 2 0 0 0
417 26904.3 26904.3 9 0 0 0 0 0
15185 26951.1 26951.1 9 0 0 0 0 0
16110 26992.7 26992.7 9 0 0 0 0 0
420 27044.3 27050.5 8 0 1 0 0 0
421 27074.2 27074.2 8 0 0 0 0 0
16088 27093.4 27093.4 8 0 0 0 0 0
423 27131.0 27131.0 8 0 0 0 0 0
15364 27270.2 27278.3 7 1 2 0 0 0
425 27354.3 27362.4 8 1 0 0 0 0
15384 27409.2 27409.2 8 0 0 0 0 0
427 27459.1 27459.1 8 0 0 0 0 0
428 27517.6 27525.7 9 1 0 0 0 0
429 27579.0 27579.0 9 0 0 0 0 0
430 27629.9 27629.9 9 0 0 0 0 0
431 27677.6 27677.6 9 0 0 0 0 0
4727 27717.2 27717.2 9 0 0 0 0 0
432 27783.6 27789.8 8 0 1 0 0 0
15279 27870.3 27878.4 9 1 0 0 0 0
16049 27911.8 27911.8 9 0 0 0 0 0
435 27948.7 27956.8 10 1 0 0 0 0
436 28020.6 28038.0 14 4 0 0 0 0
437 28096.6 28107.8 16 2 0 0 0 0
14647 28184.0 28192.1 17 1 0 0 0 0
439 28243.7 28251.8 18 1 0 0 0 0
440 28335.3 28342.7 16 0 2 0 0 0
12754 28404.1 28412.2 17 1 0 0 0 0
442 28497.0 28503.2 16 0 1 0 0 0
443 28597.1 28605.2 15 1 2 0 0 0
445 28766.8 28774.2 13 0 2 0 0 0
446 28851.9 28860.5 10 0 3 0 0 0
     }
- - - - - -
911377020 {
402 26400.1 26400.1 6 0 0 0 0 0
403 26426.4 26426.4 6 0 0 0 0 0
17163 26459.4 26459.4 6 0 0 0 0 0
15848 26525.5 26533.6 7 1 0 0 0 0
406 26569.9 26578.0 8 1 0 0 0 0
14500 26640.1 26640.1 8 0 0 3 0 1
15852 26697.8 26697.8 8 0 0 0 0 0
409 26734.5 26740.7 7 0 1 0 0 0
18047 26803.7 26803.7 7 0 0 0 0 0
17841 26832.7 26843.9 9 2 0 0 0 0
412 26888.8 26888.8 9 0 0 0 0 0
413 26917.0 26917.0 9 0 0 0 0 1
14764 26961.6 26969.0 7 0 2 0 0 0
415 27010.2 27010.2 7 0 0 0 0 0
416 27069.4 27075.6 6 0 1 0 0 0
417 27146.5 27146.5 6 0 0 0 0 0
15185 27179.6 27179.6 6 0 0 0 0 0
16110 27219.5 27219.5 6 0 0 0 0 1
420 27258.7 27264.9 5 0 1 0 0 0
421 27287.4 27287.4 5 0 0 0 0 0
16088 27316.2 27316.2 5 0 0 0 0 0
423 27352.2 27352.2 5 0 0 0 0 0
15364 27528.0 27539.2 6 2 1 0 0 0
425 27604.2 27604.2 6 0 0 0 0 1
15384 27642.0 27650.1 7 1 0 0 0 0
427 27692.2 27692.2 7 0 0 0 0 0
428 27733.8 27733.8 7 0 0 0 0 0
429 27777.7 27777.7 7 0 0 0 0 0
430 27812.0 27820.1 8 1 0 0 0 0
431 27866.9 27866.9 8 0 0 0 0 1
4727 27917.4 27917.4 8 0 0 0 0 0
432 27988.2 27994.4 7 0 1 0 0 0
15279 28091.5 28091.5 7 0 0 0 0 0
16049 28118.7 28118.7 7 0 0 0 0 0
435 28157.0 28157.0 7 0 0 0 0 0
436 28211.3 28211.3 7 0 0 0 0 0
437 28280.0 28280.0 7 0 0 0 0 0
14647 28352.2 28352.2 7 0 0 0 0 0
439 28399.4 28407.5 8 1 0 0 0 0
440 28509.2 28520.4 9 2 1 0 0 0
12754 28571.5 28571.5 9 0 0 0 0 0
442 28644.1 28650.3 8 0 1 0 0 0
443 28767.6 28778.8 9 2 1 0 0 0
     }
- - - - - -
911283020 {
397 26427.7 26427.7 5 0 0 0 0 0
17169 26471.1 26471.1 5 0 0 0 0 0
17162 26522.9 26531.0 6 1 0 0 0 0
14959 26612.9 26619.1 5 0 1 1 0 1
402 26650.5 26650.5 5 0 0 0 0 0
403 26678.7 26678.7 5 0 0 0 0 0
17163 26713.8 26713.8 5 0 0 0 0 0
15848 26757.8 26769.0 7 2 0 0 0 0
406 26805.8 26805.8 7 0 0 0 0 0
14500 26868.5 26868.5 7 0 0 3 0 1
15852 26932.8 26932.8 7 0 0 0 0 0
409 26958.6 26964.8 6 0 1 0 0 0
18047 27050.0 27058.1 7 1 0 0 0 0
17841 27124.2 27132.3 8 1 0 0 0 0
412 27178.5 27186.6 9 1 0 0 0 0
413 27229.6 27229.6 9 0 0 0 0 1
14764 27283.1 27290.5 7 0 2 0 0 0
