 stop_id,  arr_t,  dep_t,  bus_load,  pick_count,  drop_count,  denied_count,  hold_sec 
911214020 {
409 26427.0 26435.1 10 1 1 0 0
18047 26512.8 26512.8 10 0 0 0 0
17841 26554.3 26554.3 10 0 0 0 0
412 26610.6 26610.6 10 0 0 0 0
413 26643.1 26643.1 10 0 0 0 0
14764 26691.0 26699.1 9 1 2 0 0
415 26742.9 26742.9 9 0 0 0 0
416 26775.3 26783.4 8 1 2 0 0
417 26839.4 26839.4 8 0 0 0 0
15185 26885.1 26885.1 8 0 0 0 0
16110 26933.9 26933.9 8 0 0 0 0
420 26993.0 27004.2 10 2 0 0 0
421 27025.7 27025.7 10 0 0 0 0
16088 27045.2 27045.2 10 0 0 0 0
423 27076.3 27076.3 10 0 0 0 0
15364 27184.0 27192.1 9 1 2 0 0
425 27247.9 27247.9 9 0 0 0 0
15384 27292.2 27292.2 9 0 0 0 0
427 27336.7 27344.8 10 1 0 0 0
428 27393.0 27407.3 12 3 1 0 0
429 27459.5 27459.5 12 0 0 0 0
430 27491.7 27491.7 12 0 0 0 0
431 27532.1 27532.1 12 0 0 0 0
4727 27576.8 27576.8 12 0 0 0 0
432 27646.2 27654.3 12 1 1 0 0
15279 27731.0 27739.1 13 1 0 0 0
16049 27775.1 27783.2 14 1 0 0 0
435 27824.1 27832.2 14 1 1 0 0
436 27899.7 27905.9 13 0 1 0 0
437 27973.4 27981.5 14 1 0 0 0
14647 28049.2 28049.2 14 0 0 0 0
439 28096.8 28096.8 14 0 0 0 0
440 28181.2 28189.3 14 1 1 0 0
12754 28238.2 28238.2 14 0 0 0 0
442 28313.3 28321.4 14 1 1 0 0
443 28415.9 28433.3 16 4 2 0 0
445 28580.9 28588.3 14 0 2 0 0
446 28666.4 28675.0 11 0 3 0 0
18122 28747.7 28755.1 9 0 2 0 0
     }
- - - - - -
911377020 {
14959 26413.1 26421.2 7 1 1 0 0
402 26456.9 26465.0 8 1 0 0 0
403 26494.3 26494.3 8 0 0 0 0
17163 26525.9 26525.9 8 0 0 0 0
15848 26567.2 26567.2 8 0 0 0 0
406 26613.1 26613.1 8 0 0 0 0
14500 26652.5 26666.8 11 3 0 0 0
15852 26733.3 26733.3 11 0 0 0 0
409 26771.2 26777.4 10 0 1 0 0
18047 26841.3 26841.3 10 0 0 0 0
17841 26883.7 26891.8 11 1 0 0 0
412 26956.4 26956.4 11 0 0 0 0
413 26981.4 26981.4 11 0 0 0 0
14764 27030.5 27038.6 10 1 2 0 0
415 27114.2 27114.2 10 0 0 0 0
416 27177.3 27194.7 12 4 2 0 0
417 27262.5 27262.5 12 0 0 0 0
15185 27303.7 27303.7 12 0 0 0 0
16110 27355.5 27355.5 12 0 0 0 0
420 27403.7 27418.0 14 3 1 0 0
421 27443.5 27454.7 16 2 0 0 0
16088 27481.4 27481.4 16 0 0 0 0
423 27510.7 27518.8 17 1 0 0 0
15364 27650.8 27671.3 18 5 4 0 0
425 27726.8 27726.8 18 0 0 0 0
15384 27768.2 27782.5 20 3 1 0 0
427 27823.4 27823.4 20 0 0 0 0
428 27869.2 27877.3 20 1 1 0 0
429 27915.2 27915.2 20 0 0 0 0
430 27959.2 27959.2 20 0 0 0 0
431 28012.1 28012.1 20 0 0 0 0
4727 28062.2 28073.4 21 2 1 0 0
432 28164.2 28172.3 20 1 2 0 0
15279 28255.6 28263.7 21 1 0 0 0
16049 28290.1 28304.4 24 3 0 0 0
435 28342.2 28359.6 28 4 0 0 0
436 28432.9 28444.1 29 2 1 0 0
437 28526.3 28537.5 31 2 0 0 0
14647 28600.3 28608.4 31 1 1 0 0
439 28657.2 28657.2 31 0 0 0 0
440 28754.4 28765.6 31 2 2 0 0
12754 28816.5 28816.5 31 0 0 0 0
     }
- - - - - -
911283020 {
17169 26412.4 26412.4 4 0 0 0 0
17162 26489.7 26489.7 4 0 0 0 0
14959 26565.9 26565.9 4 0 0 0 0
402 26594.2 26594.2 4 0 0 0 0
403 26623.0 26663.0 4 0 0 0 40
17163 26701.2 26701.2 4 0 0 0 0
15848 26746.7 26746.7 4 0 0 0 0
406 26791.8 26799.9 5 1 0 0 0
14500 26841.1 26881.1 5 0 0 0 40
15852 26935.3 26935.3 5 0 0 0 0
409 26971.4 26985.7 8 3 0 0 0
18047 27051.1 27051.1 8 0 0 0 0
17841 27112.5 27112.5 8 0 0 0 0
412 27167.0 27167.0 8 0 0 0 0
413 27217.1 27257.1 8 0 0 0 40
14764 27316.2 27330.5 10 3 1 0 0
415 27386.8 27386.8 10 0 0 0 0
416 27436.8 27444.9 9 1 2 0 0
417 27495.9 27504.0 10 1 0 0 0
15185 27537.0 27537.0 10 0 0 0 0
16110 27582.0 27622.0 10 0 0 0 40
420 27670.0 27678.1 10 1 1 0 0
421 27697.5 27697.5 10 0 0 0 0
16088 27716.5 27724.6 11 1 0 0 0
423 27763.9 27763.9 11 0 0 0 0
15364 27922.6 27933.8 10 2 3 0 0
425 27996.4 28000.8 10 0 0 0 4.435855580144562
15384 28044.0 28052.1 11 1 0 0 0
427 28089.4 28089.4 11 0 0 0 0
428 28124.9 28131.1 10 0 1 0 0
429 28186.5 28186.5 10 0 0 0 0
430 28238.9 28238.9 10 0 0 0 0
431 28320.6 28328.7 11 1 0 0 0
4727 28370.9 28370.9 11 0 0 0 0
432 28472.2 28480.3 11 1 1 0 0
15279 28564.8 28564.8 11 0 0 0 0
16049 28609.0 28609.0 11 0 0 0 0
435 28648.9 28663.2 14 3 0 0 0
436 28734.0 28740.2 13 0 1 0 0
437 28809.2 28809.2 13 0 0 0 0
     }
- - - - - -
910985020 {
390 26411.3 26411.3 3 0 0 0 0
391 26428.2 26428.2 3 0 0 0 0
14956 26487.5 26501.8 6 3 0 0 0
