scenario,strategy,nr_cancel,capacity,blocks_cancel
1,NC,0,53,[]
2,NC,2,53,"[1591, 1625]"
3,NC,4,53,"[1594, 1634, 1595, 1858]"
4,EDS,0,53,[]
5,EDS,2,53,"[1591, 1625]"
6,EDS,4,53,"[1594, 1634, 1595, 1858]"
7,HDS,0,53,[]
8,HDS,2,53,"[1591, 1625]"
9,HDS,4,53,"[1594, 1634, 1595, 1858]"
10,HDS+MRH,0,53,[]
11,HDS+MRH,2,53,"[1591, 1625]"
12,HDS+MRH,4,53,"[1594, 1634, 1595, 1858]"
13,HDS+TX,0,53,[]
14,HDS+TX,2,53,"[1591, 1625]"
15,HDS+TX,4,53,"[1594, 1634, 1595, 1858]"
