scenario,strategy,p_cancel,capacity,blocks_cancel
1,NC,0.0,53,[]
2,NC,0.15,53,"[1592, 1637]"
3,NC,0.3,53,"[1595, 1593, 1634, 1629, 1624]"
4,EDS,0.0,53,[]
5,EDS,0.15,53,"[1592, 1637]"
6,EDS,0.3,53,"[1595, 1593, 1634, 1629, 1624]"
7,HDS,0.0,53,[]
8,HDS,0.15,53,"[1592, 1637]"
9,HDS,0.3,53,"[1595, 1593, 1634, 1629, 1624]"
10,RL,0.0,53,[]
11,RL,0.15,53,"[1592, 1637]"
12,RL,0.3,53,"[1595, 1593, 1634, 1629, 1624]"
