AM,mid,PM
0.74,0.71,0.64
0.7,0.66,0.67
0.63,0.63,0.63
0.75,0.7,0.62
0.77,0.65,0.67
0.66,0.6,0.63
0.71,0.7,0.63
0.7,0.63,0.68
0.69,0.62,0.68
0.74,0.69,0.67
0.75,0.64,0.68
0.68,0.62,0.69
