AM,mid,PM
4.41,4.89,4.59
5.05,6.14,5.9
7.7,8.16,9.71
4.4,4.89,4.71
5.04,5.87,6.01
7.32,7.48,9.06
4.28,4.87,4.62
4.86,5.74,5.61
6.71,6.96,7.78
4.65,4.98,4.9
5.09,5.68,5.41
6.83,6.88,7.74
