AM,mid,PM
0.76,0.67,0.62
0.73,0.66,0.62
0.78,0.78,0.76
0.69,0.69,0.61
0.72,0.64,0.66
0.77,0.77,0.72
0.71,0.69,0.64
0.7,0.65,0.62
0.68,0.75,0.77
0.77,0.69,0.67
0.75,0.64,0.61
0.73,0.75,0.74
