scenario,strategy,p_cancel,capacity,blocks_cancel
1,NC,0.0,53,[]
2,NC,0.15,53,"[1625, 1637]"
3,NC,0.3,53,"[1628, 1626, 1637, 1591, 1595]"
4,EDS,0.0,53,[]
5,EDS,0.15,53,"[1625, 1637]"
6,EDS,0.3,53,"[1628, 1626, 1637, 1591, 1595]"
7,HDS,0.0,53,[]
8,HDS,0.15,53,"[1625, 1637]"
9,HDS,0.3,53,"[1628, 1626, 1637, 1591, 1595]"
10,RL,0.0,53,[]
11,RL,0.15,53,"[1625, 1637]"
12,RL,0.3,53,"[1628, 1626, 1637, 1591, 1595]"
