boarding_stop,alighting_stop,arrival_time,times_denied,boarding_time,trip_id,alighting_time
14102,3731,19170.3134344031,0,19200.0,47219020,19385.6141130355
17475,3746,18319.702932759516,0,19016.0,6279020,19440.52103615983
3739,3746,18041.339584878257,0,19105.872010142368,6279020,19440.52103615983
3739,3746,18512.153748124885,0,19105.872010142368,6279020,19440.52103615983
3744,3746,18189.84440770818,0,19234.110225373177,6279020,19440.52103615983
3737,18607,19168.527374198697,0,19591.190613563318,47219020,19631.552461156007
14102,3743,18822.3889439346,0,19200.0,47219020,19821.509083470104
14102,3746,18961.94670529612,0,19200.0,47219020,20010.793478263728
3726,3733,20283.213208651097,0,20405.859137379048,43439020,20588.64583849172
14102,3739,19507.793305558076,0,20340.0,43439020,20753.594749637792
18106,3745,19986.33531081237,0,20853.306148104333,43439020,21054.555017627357
14102,3746,20275.950963042298,0,20340.0,43439020,21152.40651639221
18106,3746,19791.90247734804,0,20853.306148104333,43439020,21152.40651639221
18106,3746,20314.350105120204,0,20853.306148104333,43439020,21152.40651639221
18106,3746,20562.771120744306,0,20853.306148104333,43439020,21152.40651639221
18106,3746,20855.99403828675,0,20866.526294158393,43439020,21152.40651639221
3741,3746,20490.7847418328,0,20894.526294158393,43439020,21152.40651639221
3741,3746,20689.114639317253,0,20894.526294158393,43439020,21152.40651639221
3742,3746,20216.083729710434,0,20935.01696271351,43439020,21152.40651639221
3743,3746,20538.519508129477,0,20973.497498509645,43439020,21152.40651639221
3743,3746,20664.221445239313,0,20973.497498509645,43439020,21152.40651639221
3744,3746,20586.295960053623,0,21015.094167517214,43439020,21152.40651639221
3750,18580,20195.0336234162,0,20317.836704840753,47219020,21216.76784142217
3743,17606,20670.267649811813,0,20973.497498509645,43439020,21657.258997214452
14582,4941,21645.72091048621,0,21688.1,41321020,21867.63316470244
4941,4943,21646.977613786552,0,21867.63316470244,41321020,21946.305613493972
4941,4943,21807.044159463134,0,21867.63316470244,41321020,21946.305613493972
14102,3741,20985.502630257433,0,21420.0,10141020,22074.82728384137
3733,3742,21283.307459471616,0,21727.5038578956,10141020,22126.05094263846
4941,3787,21753.482353432668,0,21867.63316470244,41321020,22149.060113803393
4941,3788,21680.600429554906,0,21867.63316470244,41321020,22192.00654509448
4941,3788,21787.284713518995,0,21867.63316470244,41321020,22192.00654509448
4943,17603,21633.855671635636,0,21946.305613493972,41321020,22242.458200694822
14102,3746,21096.90398986995,0,21420.0,10141020,22332.063353733764
18106,3746,20933.498350287122,0,22029.047878516274,10141020,22332.063353733764
18106,3746,21220.210568882787,0,22029.047878516274,10141020,22332.063353733764
18106,3746,21300.641654949064,0,22029.047878516274,10141020,22332.063353733764
3741,3746,21458.246756102682,0,22074.82728384137,10141020,22332.063353733764
3741,3746,21920.730511583643,0,22074.82728384137,10141020,22332.063353733764
3742,3746,21582.606127434363,0,22126.05094263846,10141020,22332.063353733764
3743,3746,20991.59767675929,0,22171.94540737979,10141020,22332.063353733764
3744,3746,21190.314748611614,0,22216.580618271226,10141020,22332.063353733764
18580,2363,21432.351239951266,0,22002.748550084907,43439020,22467.563795195954
17246,3803,22185.85905568493,0,22361.682393098647,41321020,22621.139155404875
3746,3773,20077.26267678864,0,21152.40651639221,43439020,22630.948538879962
3746,3773,20461.254001819074,0,21152.40651639221,43439020,22630.948538879962
3746,3773,20524.700602294455,0,21152.40651639221,43439020,22630.948538879962
3776,4941,21714.94588699366,0,22239.666666666668,19931020,22635.03127621165
3801,3804,21689.3881544252,0,22538.912610807773,41321020,22661.997930286892
3801,3804,21943.32326508217,0,22538.912610807773,41321020,22661.997930286892
3802,3804,21762.38001943058,0,22581.394338832204,41321020,22661.997930286892
3802,3804,22128.18700494229,0,22581.394338832204,41321020,22661.997930286892
3804,3805,22388.370394889705,0,22661.997930286892,41321020,22730.574361512277
4941,4945,22014.98296341728,0,22635.03127621165,19931020,22733.057679896374
14102,3756,20869.57051523622,0,21420.0,10141020,22746.484772432854
3747,3756,21991.979320431692,0,22382.54039871298,10141020,22746.484772432854
3749,3756,22243.25337389714,0,22508.859728565665,10141020,22746.484772432854
3804,18107,22352.25394880018,0,22661.997930286892,41321020,22807.217538919478
3742,3745,22609.25999736451,0,22671.24421227608,25072020,22851.274866836546
3808,3809,21647.53726225143,0,22885.45976857417,41321020,22926.935317041116
3808,3809,22345.63520841157,0,22885.45976857417,41321020,22926.935317041116
3808,3809,22376.477773685336,0,22885.45976857417,41321020,22926.935317041116
3808,3809,22723.518681374044,0,22885.45976857417,41321020,22926.935317041116
