boarding_stop,alighting_stop,arrival_time,times_denied,route_id,boarding_time,trip_id,alighting_time
14102,3745,18272.246473524905,0,81,18510.0,6279020,19473.01071857471
3743,3745,18386.172203646034,0,81,19369.16743139032,6279020,19473.01071857471
3744,3746,19416.043227187198,0,81,19432.57410927112,6279020,19528.67940109775
3745,3746,19459.92289997079,0,81,19473.01071857471,6279020,19528.67940109775
14102,3725,18877.638623881834,0,81,19773.638754567233,19619020,19808.01525192402
14102,3731,18611.24809040109,0,81,19773.638754567233,19619020,20400.66360518345
14102,3731,19054.963684639213,0,81,19773.638754567233,19619020,20400.66360518345
14102,3746,19596.966985104602,0,81,19773.638754567233,19619020,20994.80822614238
3728,3746,19922.300703421493,0,81,20332.180048689344,19619020,20994.80822614238
18106,3746,20246.750673522485,0,81,20685.177096189003,19619020,20994.80822614238
18106,3746,20509.780438935464,0,81,20685.177096189003,19619020,20994.80822614238
3742,3746,20634.300117530074,0,81,20762.607645440974,19619020,20994.80822614238
3742,3746,20689.88605263306,0,81,20762.607645440974,19619020,20994.80822614238
3743,3746,20194.339235849216,0,81,20805.908953674392,19619020,20994.80822614238
3743,3746,20669.357005430356,0,81,20805.908953674392,19619020,20994.80822614238
3744,3746,20236.117190908033,0,81,20872.271261316073,19619020,20994.80822614238
14102,3746,20107.499206920646,0,81,20333.50762596201,43439020,21152.384829833
3744,3746,20918.78227595351,0,81,21031.939909796183,43439020,21152.384829833
18580,3773,19832.096273391548,0,81,20527.070447037193,6279020,21207.599817722014
3773,3775,21052.537672122984,0,81,21480.0,41321020,21532.34192117452
18106,3746,20998.621197949444,0,81,21367.750008368734,44567020,21546.850407650043
3741,3746,21203.780690071202,0,81,21404.001318403105,44567020,21546.850407650043
3741,3746,21398.389645586165,0,81,21404.001318403105,44567020,21546.850407650043
18106,3756,21039.50561317065,0,81,21367.750008368734,44567020,21830.42909529783
3726,18580,19912.2211850956,0,81,20294.832782811536,19619020,21883.978538420317
3746,18580,20724.318294102624,0,81,20994.80822614238,19619020,21883.978538420317
3764,18580,20608.36905938559,0,81,21590.665672244475,19619020,21883.978538420317
14102,3762,20308.625812035847,0,81,20333.50762596201,43439020,21900.253537929373
4941,4945,21721.968411312348,0,81,21881.417840745366,41321020,22007.92006256083
18580,5418,21120.351638669566,0,81,21883.978538420317,19619020,22013.921683872522
4941,17247,21665.5788561964,0,81,21881.417840745366,41321020,22155.8602766169
17249,4908,21706.649879190416,0,81,21732.60145639297,43439020,22182.75572347834
18106,4912,21168.42089679813,0,81,21367.750008368734,44567020,22255.848524810666
14102,3746,21330.014268921223,0,81,21345.18767078179,10141020,22263.543528039037
3741,3746,21627.81553331748,0,81,22008.15035591747,10141020,22263.543528039037
3741,3746,21963.601381059365,0,81,22008.15035591747,10141020,22263.543528039037
3742,3746,21548.05814626665,0,81,22049.5310258597,10141020,22263.543528039037
4941,17604,21610.411693134723,0,81,21881.417840745366,41321020,22282.814567934285
14102,18580,20070.595844997148,0,81,20333.50762596201,43439020,22307.309142446233
3732,18580,21059.439421850428,0,81,21134.437375467634,44567020,22308.106420438657
18607,18580,20963.129015540348,0,81,21305.48029691559,44567020,22308.106420438657
3741,18580,21149.459282743464,0,81,21404.001318403105,44567020,22308.106420438657
