pax,bin_30mins,boarding_stop,alighting_stop,direction,route_id
0.18536585365853658,10,14102,3725,East,81
0.0944655453065654,17,14102,3725,East,81
0.054050405040504054,19,14102,3725,East,81
0.12080315997366689,20,14102,3725,East,81
0.057778432527990586,25,14102,3725,East,81
0.053808593749999994,29,14102,3725,East,81
0.2670750382848392,30,14102,3725,East,81
0.37411076091850504,32,14102,3725,East,81
0.39999999999999997,33,14102,3725,East,81
0.05818596691386194,34,14102,3725,East,81
0.9665592803929254,10,14102,3731,East,81
0.10596533172589306,11,14102,3731,East,81
0.08369630646112083,14,14102,3731,East,81
0.06101989854216098,19,14102,3731,East,81
0.04013565078216893,20,14102,3731,East,81
0.013956148367887859,21,14102,3731,East,81
0.09072607550142532,22,14102,3731,East,81
0.07259463759636957,23,14102,3731,East,81
0.21057866397929556,24,14102,3731,East,81
0.06829380965989182,25,14102,3731,East,81
0.18548248592210154,26,14102,3731,East,81
0.2185247838555244,27,14102,3731,East,81
0.24888678487007992,28,14102,3731,East,81
0.17996442498472734,29,14102,3731,East,81
0.19059669956932812,30,14102,3731,East,81
0.3556469831480563,31,14102,3731,East,81
0.6613401999366979,32,14102,3731,East,81
0.4219046066363056,33,14102,3731,East,81
0.22350355620627435,34,14102,3731,East,81
0.6207237885457666,35,14102,3731,East,81
0.085763551794166,36,14102,3731,East,81
0.6622642355098939,37,14102,3731,East,81
0.36857721839387086,38,14102,3731,East,81
0.1705389660458098,39,14102,3731,East,81
0.04355800246762452,40,14102,3731,East,81
0.04260349530243023,41,14102,3731,East,81
0.04060346622447349,10,3725,3731,East,81
0.00568176667376224,11,3725,3731,East,81
0.008691426229003917,14,3725,3731,East,81
0.021183544286734995,19,3725,3731,East,81
0.0015046122171301132,20,3725,3731,East,81
0.0010962092691973672,21,3725,3731,East,81
0.0010868812622467148,22,3725,3731,East,81
0.0045786357775852654,23,3725,3731,East,81
0.0013784023923531508,24,3725,3731,East,81
0.009974873527738156,25,3725,3731,East,81
0.0009336883876243659,26,3725,3731,East,81
0.0007545126935009472,27,3725,3731,East,81
0.018264246032105386,28,3725,3731,East,81
0.014245999982564986,29,3725,3731,East,81
0.001288926577361857,30,3725,3731,East,81
0.014212219286120206,31,3725,3731,East,81
0.0339652441150434,32,3725,3731,East,81
0.013390398087092465,33,3725,3731,East,81
0.0005224715153429492,34,3725,3731,East,81
0.001403229244596263,35,3725,3731,East,81
0.0002166240193230495,36,3725,3731,East,81
0.0014371490846830936,37,3725,3731,East,81
0.00028935421384618975,38,3725,3731,East,81
0.0018524794056569648,39,3725,3731,East,81
0.0002050799398272249,41,3725,3731,East,81
0.10503237533382048,10,3726,3731,East,81
0.0251622245644112,11,3726,3731,East,81
0.033200668334619904,14,3726,3731,East,81
0.018686862871672785,19,3726,3731,East,81
0.013410979825689328,20,3726,3731,East,81
0.08687559573859503,21,3726,3731,East,81
0.004644723519735863,22,3726,3731,East,81
0.0371396690836648,23,3726,3731,East,81
0.006377065074935078,24,3726,3731,East,81
0.017221330694782218,25,3726,3731,East,81
0.009881184279678608,26,3726,3731,East,81
0.07644792218404771,27,3726,3731,East,81
0.1246893377322684,28,3726,3731,East,81
0.10083111354106136,29,3726,3731,East,81
0.0063904977864705625,30,3726,3731,East,81
0.1681537387744827,31,3726,3731,East,81
0.1359646044085749,32,3726,3731,East,81
0.012170174357357405,33,3726,3731,East,81
0.0057667837742175244,34,3726,3731,East,81
0.006270592231585296,35,3726,3731,East,81
0.015378958972963153,36,3726,3731,East,81
0.00993851225104827,37,3726,3731,East,81
0.0010381237749682978,38,3726,3731,East,81
0.005496253250736899,39,3726,3731,East,81
0.004690767386000748,40,3726,3731,East,81
0.0012212755040111902,41,3726,3731,East,81
0.009092316380195751,11,3728,3731,East,81
0.016586498587190725,14,3728,3731,East,81
0.004731197823374029,19,3728,3731,East,81
0.002014277718542279,20,3728,3731,East,81
0.0007976491268939568,22,3728,3731,East,81
0.003567598048841499,23,3728,3731,East,81
0.003403765984607611,24,3728,3731,East,81
0.007303437731038363,25,3728,3731,East,81
0.002017170769843863,26,3728,3731,East,81
0.00106571497466341,27,3728,3731,East,81
0.020727107171571536,28,3728,3731,East,81
0.01086530464102916,29,3728,3731,East,81
0.0010818607694590549,30,3728,3731,East,81
0.05970582015213823,31,3728,3731,East,81
0.01502579339602605,32,3728,3731,East,81
0.0010730158297374932,33,3728,3731,East,81
0.0011436738625560784,34,3728,3731,East,81
0.0017446465450396704,35,3728,3731,East,81
0.0009084297976748743,36,3728,3731,East,81
0.0048945314337799474,37,3728,3731,East,81
0.0003036619117737543,38,3728,3731,East,81
0.0006875048526398522,39,3728,3731,East,81
0.0012347080846456737,40,3728,3731,East,81
0.007553985417018904,14,3730,3731,East,81
0.0014380239260556112,19,3730,3731,East,81
0.002944607146094047,20,3730,3731,East,81
0.0015752313376955365,21,3730,3731,East,81
0.0008436221489985276,22,3730,3731,East,81
0.0032190137283085655,23,3730,3731,East,81
0.0038835174827665385,24,3730,3731,East,81
0.01276341344253061,25,3730,3731,East,81
0.004630394342216841,26,3730,3731,East,81
0.002071833226793675,27,3730,3731,East,81
0.012799678859497678,28,3730,3731,East,81
0.007219070167523077,29,3730,3731,East,81
0.0008192334901509073,30,3730,3731,East,81
0.025568514904971553,31,3730,3731,East,81
0.008814468814526553,32,3730,3731,East,81
0.0014618050895069668,33,3730,3731,East,81
0.0016881126814493612,34,3730,3731,East,81
0.001911446655740671,35,3730,3731,East,81
0.0006363276421583615,36,3730,3731,East,81
0.008702176175742354,37,3730,3731,East,81
0.0004119563812379733,38,3730,3731,East,81
0.009625386415657956,39,3730,3731,East,81
0.0013615924842642587,40,3730,3731,East,81
0.001030460765438258,14,3729,3731,East,81
0.001041282631009701,19,3729,3731,East,81
0.0003914522972087525,20,3729,3731,East,81
0.00023549214489683128,22,3729,3731,East,81
0.0013707359779429448,26,3729,3731,East,81
0.0019283996304485767,27,3729,3731,East,81
