1 {
17841 27870.93 17
412 27935.65 16
413 27991.26 16
14764 28055.54 12
415 28080.22 12
416 28113.4 10
417 28179.17 10
15185 28230.62 10
16110 28285.26 10
420 28354.87 8
421 28373.15 8
16088 28391.56 8
423 28428.76 8
15364 28598.91 9
425 28681.82 8
15384 28731.41 9
427 28797.75 13
428 28863.12 12
429 28923.6 12
430 28958.71 12
431 29009.07 13
4727 29062.06 13
432 29198.11 13
15279 29263.37 14
16049 29296.87 20
435 29345.01 20
436 29399.27 21
437 29461.41 22
14647 29525.73 23
439 29573.38 23
440 29650.65 27
12754 29728.91 27
442 29802.98 26
443 29912.02 27
445 30177.11 23
446 30226.77 20
18122 30306.46 19
448 30445.49 9
1119 30571.37 5
1120 30611.78 4
1121 30651.6 4
3953 30683.01 4
3954 30730.37 4
8613 30890.26 0
     }
- - - - - -
6 {
386 26718.05 0
388 26814.86 2
389 26836.97 3
390 26880.82 4
391 26904.98 4
14956 26960.84 3
393 26995.01 3
394 27021.67 3
395 27060.06 3
396 27118.77 4
397 27167.47 5
17169 27249.34 5
17162 27331.53 6
14959 27414.22 6
402 27475.5 6
403 27510.68 6
17163 27560.8 6
15848 27608.86 5
406 27677.48 4
14500 27705.89 4
15852 27764.65 4
409 27812.0 5
18047 27883.41 5
17841 27977.89 6
412 28022.48 6
413 28095.33 6
14764 28143.96 5
415 28180.33 5
416 28228.96 4
417 28289.32 4
15185 28360.11 4
16110 28413.48 4
420 28454.76 3
421 28487.39 3
16088 28511.12 3
423 28582.21 3
15364 28695.74 4
425 28771.78 3
15384 28832.84 4
427 28894.55 4
428 28966.42 5
429 29012.39 5
430 29044.38 5
431 29091.92 5
4727 29143.3 5
432 29270.02 5
15279 29321.04 5
16049 29339.97 5
435 29413.25 5
436 29513.63 6
437 29617.69 8
14647 29697.72 9
439 29785.47 9
440 29926.25 12
12754 29994.73 13
442 30131.34 14
443 30306.67 20
445 30614.46 18
446 30699.81 14
18122 30771.62 13
448 30883.71 6
1119 31025.0 5
1120 31115.83 4
1121 31192.65 4
3953 31306.35 4
3954 31367.13 4
8613 31528.96 0
     }
- - - - - -
7 {
386 27108.74 1
388 27195.8 1
389 27219.6 1
390 27254.01 2
391 27282.71 3
14956 27364.73 7
393 27395.19 7
394 27428.41 8
395 27482.21 8
396 27530.32 8
397 27584.93 9
17169 27667.75 13
17162 27735.92 13
14959 27812.68 13
402 27839.89 13
403 27879.61 13
17163 27933.3 15
15848 27986.76 15
406 28014.67 14
14500 28059.14 13
15852 28111.55 13
409 28165.35 13
18047 28206.05 13
17841 28259.76 14
412 28309.7 14
413 28342.29 14
14764 28392.13 12
415 28421.97 12
416 28470.01 10
417 28584.86 10
15185 28612.85 10
16110 28655.81 8
420 28693.91 5
421 28719.64 5
16088 28750.17 5
423 28802.92 5
15364 28916.08 5
425 28983.69 5
15384 29022.39 6
427 29093.42 6
428 29188.63 7
429 29231.63 7
430 29279.36 8
431 29337.04 8
4727 29401.8 10
432 29508.08 10
15279 29585.45 10
16049 29621.78 12
435 29725.65 15
436 29790.2 16
437 29840.2 16
14647 29936.13 18
439 30022.11 20
440 30111.64 19
12754 30179.13 19
442 30308.23 17
443 30484.64 22
445 30724.23 20
446 30811.05 15
18122 30901.59 13
448 31060.16 5
1119 31270.26 2
1120 31338.46 2
1121 31417.3 3
3953 31472.89 3
3954 31502.77 3
8613 31632.28 0
     }
- - - - - -
8 {
386 27364.58 0
388 27490.82 0
389 27536.41 0
390 27578.25 0
391 27607.42 1
14956 27670.99 1
393 27705.79 2
394 27728.1 2
395 27779.08 2
396 27840.72 2
397 27891.48 2
17169 27960.17 2
17162 28044.83 2
14959 28161.05 3
402 28196.72 4
403 28235.11 4
17163 28291.66 6
15848 28346.33 7
406 28377.69 6
14500 28447.06 5
15852 28519.03 5
409 28586.6 6
18047 28670.71 6
17841 28731.61 6
412 28780.94 6
413 28818.7 6
14764 28921.89 7
415 28993.99 7
416 29028.88 6
417 29081.08 6
15185 29133.17 6
16110 29195.51 6
420 29266.42 5
421 29292.06 5
16088 29319.85 5
423 29359.07 5
15364 29531.35 4
425 29595.4 4
15384 29636.85 4
427 29695.36 4
428 29748.08 4
429 29777.26 4
430 29836.63 6
431 29888.11 6
4727 29945.32 9
432 30004.62 10
15279 30111.89 9
16049 30147.66 14
435 30228.87 19
436 30295.62 20
437 30371.49 21
14647 30436.23 24
439 30495.09 25
440 30576.17 27
12754 30683.12 27
442 30795.22 27
443 31030.9 25
445 31332.59 23
446 31390.97 19
18122 31511.18 17
448 31635.38 6
1119 31747.97 4
1120 31822.08 3
1121 31875.16 3
3953 31944.16 3
3954 31968.15 3
8613 32140.03 0
     }
- - - - - -
9 {
386 27668.94 0
388 27782.99 0
389 27805.52 0
390 27824.4 0
391 27844.51 0
14956 27927.76 1
393 27963.58 1
394 27990.57 4
395 28033.8 4
396 28056.76 4
397 28104.47 4
17169 28173.11 4
17162 28244.68 4
14959 28312.31 4
402 28346.74 4
403 28387.82 4
17163 28423.34 4
15848 28458.37 4
406 28496.43 3
14500 28542.66 3
15852 28607.36 3
409 28642.69 2
18047 28720.22 2
17841 28801.87 2
412 28861.55 2
413 28893.13 2
14764 28942.72 2
415 29004.5 2
416 29058.34 2
417 29136.32 2
15185 29181.09 2
16110 29236.2 2
420 29299.25 2
421 29317.03 2
16088 29341.77 2
423 29386.36 2
15364 29485.18 5
425 29595.83 5
15384 29634.7 7
427 29677.73 8
428 29738.45 12
429 29807.04 12
430 29841.47 12
431 29929.11 11
4727 29991.87 11
432 30097.98 11
15279 30193.53 10
16049 30243.47 10
435 30279.79 10
436 30339.1 10
437 30427.64 11
14647 30494.8 11
439 30530.51 11
440 30583.67 10
12754 30685.3 10
442 30818.2 9
443 30949.55 13
445 31204.32 12
446 31270.61 10
18122 31376.5 9
448 31507.51 3
1119 31712.82 2
1120 31754.75 2
1121 31814.77 2
3953 31884.01 2
3954 31919.96 2
8613 32140.78 0
     }
- - - - - -
10 {
386 27972.98 0
388 28036.66 0
389 28061.77 0
390 28087.12 0
391 28115.65 0
14956 28196.25 1
393 28241.1 1
394 28268.01 2
395 28316.81 3
396 28350.87 4
397 28408.35 4
17169 28463.08 6
17162 28519.25 5
14959 28590.92 4
402 28625.47 4
403 28641.65 4
17163 28679.07 4
15848 28742.79 4
406 28793.94 4
14500 28835.14 5
15852 28877.4 6
409 28921.02 5
18047 29019.68 5
17841 29113.44 7
412 29204.36 7
413 29262.38 7
14764 29343.15 8
415 29378.15 8
416 29422.73 6
417 29529.96 6
15185 29574.95 6
16110 29616.11 6
420 29646.05 5
421 29684.16 5
16088 29703.85 5
423 29748.17 5
15364 29895.11 5
425 30009.73 5
15384 30064.06 5
427 30126.86 10
428 30188.47 11
429 30235.95 11
430 30269.15 12
431 30322.53 13
4727 30426.62 21
432 30491.59 21
15279 30557.05 22
16049 30594.76 24
435 30653.2 25
436 30814.55 27
437 30874.5 27
14647 30971.65 27
439 31016.23 28
440 31108.4 29
12754 31154.15 29
442 31246.31 27
443 31412.16 25
445 31770.36 25
446 31868.76 21
18122 31960.6 18
448 32054.88 10
1119 32206.63 8
1120 32313.35 7
1121 32371.05 5
3953 32470.71 5
3954 32488.68 5
8613 32670.33 0
     }
- - - - - -
11 {
386 28227.74 0
388 28300.39 2
389 28336.84 2
390 28358.75 2
391 28375.97 2
14956 28423.09 4
393 28474.4 4
394 28497.54 4
395 28538.0 5
396 28589.03 5
397 28679.8 6
17169 28735.45 8
17162 28780.3 10
14959 28923.88 10
402 28965.09 10
403 28993.33 10
17163 29034.27 12
15848 29072.42 12
406 29115.33 11
14500 29160.67 10
15852 29218.88 10
409 29253.87 8
18047 29363.56 8
17841 29453.39 7
412 29491.05 7
413 29520.62 7
14764 29582.35 6
415 29658.36 6
416 29715.66 6
417 29759.14 7
15185 29808.07 9
16110 29841.91 9
420 29881.46 9
421 29907.96 9
16088 29928.37 9
423 29957.05 9
15364 30071.87 8
425 30131.02 8
15384 30168.75 8
427 30221.07 8
428 30301.97 7
429 30356.99 7
430 30426.84 7
431 30501.6 8
4727 30604.61 10
432 30692.51 11
15279 30768.65 12
16049 30810.97 12
435 30887.58 13
436 30998.49 12
437 31068.25 13
14647 31135.68 15
439 31211.12 16
440 31284.89 15
12754 31339.66 15
442 31469.8 14
443 31604.43 13
445 31826.74 12
446 31914.65 10
18122 32076.16 8
448 32218.5 4
1119 32328.31 3
1120 32381.09 3
1121 32462.21 2
3953 32522.87 2
3954 32573.39 2
8613 32688.08 0
     }
- - - - - -
12 {
386 28506.63 5
388 28612.14 6
389 28646.2 6
390 28676.19 6
391 28706.18 7
14956 28787.96 7
393 28818.29 7
394 28847.44 9
395 28884.62 9
396 28939.78 9
397 28977.46 8
17169 29077.03 8
17162 29120.76 8
14959 29182.07 7
402 29228.34 6
403 29252.47 6
17163 29326.48 6
15848 29385.75 7
406 29418.28 9
14500 29467.52 10
15852 29540.92 10
409 29589.61 9
18047 29649.91 9
17841 29721.72 10
412 29803.02 10
413 29844.21 10
14764 29927.84 9
415 29989.63 9
416 30045.45 7
417 30150.77 7
15185 30190.4 7
16110 30247.4 6
420 30311.83 9
421 30352.05 9
16088 30374.67 9
423 30413.34 9
15364 30520.34 8
425 30594.93 8
15384 30658.68 13
427 30716.67 18
428 30785.21 19
429 30844.7 19
430 30902.87 20
431 30956.78 20
4727 31008.39 20
432 31132.52 20
15279 31231.93 20
16049 31259.78 18
435 31307.64 20
436 31362.0 24
437 31432.14 25
14647 31530.44 23
439 31560.11 23
440 31703.83 21
12754 31766.24 21
442 31873.93 20
443 31986.15 20
445 32237.23 17
446 32346.46 15
18122 32441.19 15
448 32543.82 7
1119 32710.09 5
1120 32752.15 5
1121 32809.39 4
3953 32897.78 3
3954 32932.21 3
8613 33157.31 0
     }
- - - - - -
13 {
386 28800.0 0
388 28917.42 0
389 28944.34 0
390 28978.32 1
391 29001.59 1
14956 29078.66 3
393 29122.37 3
394 29150.36 4
395 29198.15 4
396 29224.1 4
397 29273.63 4
17169 29338.76 4
17162 29372.48 4
14959 29488.61 3
402 29522.95 3
403 29557.97 3
17163 29609.48 3
15848 29650.32 6
406 29694.01 6
14500 29762.51 6
15852 29847.96 6
409 29902.67 5
18047 30006.0 5
17841 30087.15 5
412 30150.85 5
413 30176.49 5
14764 30230.43 6
415 30262.91 6
416 30297.06 6
417 30346.65 6
15185 30408.61 6
16110 30455.54 6
420 30576.13 8
421 30599.54 8
16088 30621.38 8
423 30648.93 8
15364 30824.68 9
425 30929.75 9
15384 30979.61 9
427 31047.46 8
428 31107.73 8
429 31147.7 8
430 31183.59 8
431 31296.76 8
4727 31352.1 7
432 31501.64 9
15279 31570.47 9
16049 31591.99 9
435 31636.62 9
436 31689.11 9
437 31748.35 9
14647 31811.09 9
439 31844.65 9
440 31969.56 12
12754 32014.93 12
442 32101.38 12
443 32303.08 12
445 32477.05 9
446 32588.2 7
18122 32714.67 7
448 32835.39 4
1119 32970.66 3
1120 33033.03 2
1121 33095.22 2
3953 33164.68 2
3954 33200.03 2
8613 33401.83 0
     }
- - - - - -
14 {
386 29100.0 0
388 29222.13 0
389 29251.38 3
390 29271.39 3
391 29295.61 3
14956 29362.12 5
393 29444.04 5
394 29470.2 5
395 29510.78 7
396 29548.34 8
397 29624.91 9
17169 29709.53 8
17162 29799.46 8
14959 29923.2 10
402 29967.2 10
403 30006.21 10
17163 30067.76 11
15848 30122.85 11
406 30180.94 10
