boarding_stop,alighting_stop,arrival_time,times_denied,boarding_time,trip_id,alighting_time
3773,3775,21331.71661936677,0,21480.0,41321020,21539.116068805848
3773,3776,22069.256597176834,0,22080.0,19931020,22148.74258400298
3773,3788,20919.6589209124,0,21480.0,41321020,22224.30420760791
3776,4941,22129.62665205225,0,22148.74258400298,19931020,22340.442648110835
3776,4941,22135.62344711982,0,22148.74258400298,19931020,22340.442648110835
14582,4941,22164.110475454105,0,22206.912710045453,19931020,22340.442648110835
15461,4941,22144.828093733882,0,22233.145135247614,19931020,22340.442648110835
18393,4941,21959.516337549303,0,22275.209452340023,19931020,22340.442648110835
18393,4941,22019.821764584678,0,22275.209452340023,19931020,22340.442648110835
18393,4941,22137.19164916426,0,22275.209452340023,19931020,22340.442648110835
4945,17604,21302.364255863267,0,21917.91430721986,41321020,22352.56406098849
3788,17246,22099.57618928626,0,22224.30420760791,41321020,22430.317685933143
17603,17246,21681.161421349494,0,22263.996129348674,41321020,22430.317685933143
17603,17246,21811.737842087885,0,22263.996129348674,41321020,22430.317685933143
3773,3794,20038.396281955505,0,21480.0,41321020,22460.15057348667
3773,3794,20700.473218825282,0,21480.0,41321020,22460.15057348667
17247,3794,20092.958434559725,0,22133.85405651193,41321020,22460.15057348667
17247,3794,20618.25860686905,0,22133.85405651193,41321020,22460.15057348667
17247,3794,21609.232762225187,0,22133.85405651193,41321020,22460.15057348667
17247,3794,22018.70738765552,0,22133.85405651193,41321020,22460.15057348667
3787,3794,20427.465166496055,0,22187.897409868747,41321020,22460.15057348667
3788,3794,20655.35782364439,0,22224.30420760791,41321020,22460.15057348667
3788,3794,20783.949355091794,0,22224.30420760791,41321020,22460.15057348667
3788,3794,20868.109931048137,0,22224.30420760791,41321020,22460.15057348667
17603,3794,20227.261607057426,0,22263.996129348674,41321020,22460.15057348667
17603,3794,21207.70965463621,0,22263.996129348674,41321020,22460.15057348667
17603,3794,21694.29537632873,0,22263.996129348674,41321020,22460.15057348667
17603,3794,21779.550868691305,0,22263.996129348674,41321020,22460.15057348667
17603,3794,21980.918723737497,0,22263.996129348674,41321020,22460.15057348667
17604,3794,21131.475041564878,0,22352.56406098849,41321020,22460.15057348667
3791,3794,20005.13523342857,0,22372.592564135288,41321020,22460.15057348667
3791,3794,20464.258730796988,0,22372.592564135288,41321020,22460.15057348667
3791,3794,20864.57700473048,0,22372.592564135288,41321020,22460.15057348667
3791,3794,21361.084082072834,0,22372.592564135288,41321020,22460.15057348667
3792,3794,20021.935421322305,0,22404.260088855975,41321020,22460.15057348667
3773,17603,22081.16487409644,0,22098.74258400298,19931020,22679.782010999814
4941,3803,21605.586248057632,0,21825.709192932874,41321020,22787.994429144277
