trip_id,stop_id,arr_t,dep_t,pax_load,ons,offs,denied,hold_time,skipped,replication
911933020,431,8:26:42,8:26:48,8,0,1,0,0,0,3
911933020,4727,8:27:58,8:27:58,8,0,0,0,0,0,3
911933020,432,8:29:13,8:29:13,8,0,0,0,0,0,3
911933020,15279,8:30:28,8:30:37,9,2,1,0,0,0,3
911933020,16049,8:31:05,8:31:05,9,0,0,0,0,0,3
911933020,435,8:32:12,8:32:21,11,2,0,0,0,0,3
911933020,436,8:33:05,8:33:11,11,1,1,0,0,0,3
911933020,437,8:33:58,8:33:58,11,0,0,0,0,0,3
911933020,14647,8:35:05,8:35:14,13,2,0,0,0,0,3
911933020,439,8:35:51,8:35:58,13,1,1,0,0,0,3
911933020,440,8:38:10,8:38:18,15,2,0,0,0,0,3
911933020,12754,8:39:03,8:39:10,16,1,0,0,0,0,3
911933020,442,8:40:18,8:40:25,15,1,2,0,0,0,3
911933020,443,8:42:31,8:42:36,14,0,1,0,0,0,3
911933020,445,8:47:02,8:47:11,11,0,3,0,0,0,3
911933020,446,8:48:24,8:48:31,9,0,2,0,0,0,3
911933020,18122,8:50:12,8:50:23,3,0,6,0,0,0,3
911933020,448,8:52:22,8:52:30,0,0,3,0,0,0,3
911933020,1119,8:55:00,8:55:00,0,0,0,0,0,0,3
911933020,1120,8:55:42,8:55:42,0,0,0,0,0,0,3
911933020,1121,8:57:19,8:57:19,0,0,0,0,0,0,3
911933020,3953,8:59:21,8:59:21,0,0,0,0,0,0,3
911933020,3954,8:59:43,8:59:43,0,0,0,0,0,0,3
911933020,8613,9:01:17,9:01:17,0,0,0,0,0,0,3
911386020,386,7:56:30,7:56:33,1,1,0,0,0,0,3
911386020,388,7:57:54,7:57:54,1,0,0,0,0,0,3
911386020,389,7:58:25,7:58:31,2,1,0,0,0,0,3
911386020,390,7:58:55,7:58:55,2,0,0,0,0,0,3
911386020,391,7:59:17,7:59:17,2,0,0,0,0,0,3
911386020,14956,8:00:11,8:00:22,5,3,0,0,0,0,3
911386020,393,8:00:43,8:00:43,5,0,0,0,0,0,3
911386020,394,8:01:00,8:01:12,8,3,0,0,0,0,3
911386020,395,8:01:42,8:01:49,8,1,1,0,0,0,3
911386020,396,8:02:22,8:02:22,8,0,0,0,0,0,3
911386020,397,8:02:54,8:03:05,10,3,1,0,0,0,3
911386020,17169,8:03:32,8:03:39,10,1,1,0,0,0,3
911386020,17162,8:04:20,8:04:20,10,0,0,0,0,0,3
911386020,14959,8:05:28,8:05:36,11,1,0,0,0,0,3
911386020,402,8:06:04,8:06:04,11,0,0,0,0,0,3
911386020,403,8:06:26,8:06:26,11,0,0,0,0,0,3
911386020,17163,8:07:25,8:07:31,11,1,1,0,0,0,3
911386020,15848,8:08:28,8:08:38,13,2,0,0,0,0,3
911386020,406,8:09:12,8:09:19,12,0,1,0,0,0,3
911386020,14500,8:10:05,8:10:05,12,0,0,0,0,0,3
911386020,15852,8:11:09,8:11:09,12,0,0,0,0,0,3
911386020,409,8:11:42,8:11:55,16,4,0,0,0,0,3
911386020,18047,8:13:23,8:13:23,16,0,0,0,0,0,3
911386020,17841,8:14:23,8:14:32,17,2,1,0,0,0,3
911386020,412,8:15:24,8:15:30,18,1,0,0,0,0,3
911386020,413,8:16:05,8:16:05,18,0,0,0,0,0,3
911386020,14764,8:16:50,8:16:58,17,1,2,0,0,0,3
911386020,415,8:17:25,8:17:25,17,0,0,0,0,0,3
911386020,416,8:18:02,8:18:12,14,1,4,0,0,0,3
911386020,417,8:18:50,8:18:50,14,0,0,0,0,0,3
911386020,15185,8:19:43,8:19:49,13,0,1,0,0,0,3
911386020,16110,8:20:33,8:20:39,12,0,1,0,0,0,3
911386020,420,8:21:27,8:21:38,14,3,1,0,0,0,3
911386020,421,8:22:00,8:22:00,14,0,0,0,0,0,3
911386020,16088,8:22:08,8:22:08,14,0,0,0,0,0,3
911386020,423,8:22:26,8:22:31,13,0,1,0,0,0,3
911386020,15364,8:24:14,8:24:21,11,0,2,0,0,0,3
911386020,425,8:25:42,8:25:42,11,0,0,0,0,0,3
911386020,15384,8:26:17,8:26:23,10,0,1,0,0,0,3
911386020,427,8:26:52,8:26:59,10,1,1,0,0,0,3
911386020,428,8:27:41,8:27:49,9,1,2,0,0,0,3
911386020,429,8:28:26,8:28:26,9,0,0,0,0,0,3
911386020,430,8:28:48,8:28:48,9,0,0,0,0,0,3
911386020,431,8:29:43,8:29:43,9,0,0,0,0,0,3
911386020,4727,8:30:24,8:30:24,9,0,0,0,0,0,3
911386020,432,8:31:44,8:31:44,9,0,0,0,0,0,3
911386020,15279,8:32:24,8:32:24,9,0,0,0,0,0,3
