stop,wait_time_sec,stop_lat,stop_lon
386,161.16914348128745,41.880313,-87.774043
388,147.01167606945043,41.88000915,-87.7714723
389,164.3987655636843,41.88008776,-87.76992191
390,160.36798498515327,41.88010476,-87.76821491
391,152.53366890908364,41.88014676,-87.76661691
14956,167.21718790531813,41.88014099,-87.76461188
393,164.3496360677198,41.88018349,-87.7632177
394,151.50540889746063,41.88020276,-87.76191891
395,156.67956002897492,41.88019981,-87.75996715
396,166.78355658318245,41.88025187,-87.75778965
397,164.25058765910242,41.88027,-87.75526
17169,165.4301017668622,41.88029685,-87.75221539
17162,178.77110525014567,41.88033514,-87.7491367
14959,136.72215873621124,41.88039237,-87.74496781
402,166.31670569598538,41.880443,-87.742998
403,176.11995269727504,41.880475,-87.740705
17163,220.00293202276384,41.88048501,-87.73768052
15848,155.5399781343937,41.88050398,-87.7352163
406,150.01056320272139,41.88053063,-87.7331241
14500,170.14637769629263,41.88056848,-87.7304601
15852,229.5278974354892,41.88059058,-87.72786002
409,129.34887640469728,41.88061422,-87.72582347
18047,182.66836834377304,41.88070328,-87.72286077
17841,179.43221856394007,41.88074353,-87.72045859
412,256.09139035944645,41.8808072,-87.7159745
413,102.10873950659152,41.88081388,-87.71381964
14764,160.78972419219573,41.88084064,-87.71073049
415,230.62194585075,41.880887,-87.708722
416,143.09125766616683,41.880902,-87.706333
417,208.76313603672108,41.880952,-87.703147
15185,243.63357719805407,41.88095403,-87.70088084
16110,191.88108166405098,41.88099888,-87.69856203
420,199.24629901029058,41.88100858,-87.69600765
421,105.90297554834933,41.88103245,-87.694048
16088,149.1418410945665,41.88103301,-87.69229365
423,167.70622889867155,41.88106252,-87.68897646
15364,164.4326640640365,41.88109893,-87.68607651
425,225.9643406890848,41.88112797,-87.68410996
15384,133.87845731957003,41.88117403,-87.68122249
427,149.7239529742582,41.881232,-87.679293
428,180.22958045838345,41.881262,-87.67685
429,148.864924150878,41.88129674,-87.67424663
430,168.6446421686663,41.8813284,-87.67186305
431,182.27221434464445,41.88137,-87.669513
4727,179.9630732860312,41.881385,-87.668503
432,172.3314215434218,41.88139461,-87.66699977
15279,173.39725111427288,41.88143358,-87.66418871
16049,169.76157552432488,41.88146881,-87.66201484
435,201.7823380292772,41.881525,-87.659765
436,158.48475961015498,41.881545,-87.657333
437,188.77286806072516,41.881608,-87.654897
14647,198.17937670288833,41.88165169,-87.65191235
439,201.94388850760788,41.88167775,-87.64983775
440,211.4945925683277,41.882,-87.64728
12754,206.72001431195875,41.8830708,-87.64669495
442,224.72685672499378,41.88311,-87.642848
443,224.52689753924986,41.883084,-87.639976
445,175.7938004542735,41.883128,-87.635516
446,171.88568197684071,41.883137,-87.632625
18122,208.99511545372462,41.88314707,-87.63019604
448,207.36117928708566,41.88316957,-87.62749695
1119,222.62388137751987,41.88468794,-87.62431755
1120,0.0,41.88669974,-87.624384
1121,0.0,41.888076,-87.624425
3953,0.0,41.887978,-87.621979
3954,0.0,41.887792,-87.620967
8613,0.0,41.884688,-87.620796
