stop,wait_time_sec,stop_lat,stop_lon
386,156.2856990584885,41.880313,-87.774043
388,164.9486365178268,41.88000915,-87.7714723
389,125.4517093845703,41.88008776,-87.76992191
390,178.69049761752785,41.88010476,-87.76821491
391,165.28813804137644,41.88014676,-87.76661691
14956,143.63168517012525,41.88014099,-87.76461188
393,164.44867460708554,41.88018349,-87.7632177
394,177.39068360111673,41.88020276,-87.76191891
395,159.5627961663484,41.88019981,-87.75996715
396,155.30090094068285,41.88025187,-87.75778965
397,161.3118594721165,41.88027,-87.75526
17169,183.73191453408654,41.88029685,-87.75221539
17162,158.90229601036148,41.88033514,-87.7491367
14959,149.81469579617305,41.88039237,-87.74496781
402,146.7489672407014,41.880443,-87.742998
403,193.46322849488084,41.880475,-87.740705
17163,190.85427090585563,41.88048501,-87.73768052
15848,165.55413789540793,41.88050398,-87.7352163
406,162.78664832156352,41.88053063,-87.7331241
14500,171.74120347822506,41.88056848,-87.7304601
15852,187.83624958044788,41.88059058,-87.72786002
409,155.09869328334025,41.88061422,-87.72582347
18047,171.19179617064785,41.88070328,-87.72286077
17841,173.63952571131344,41.88074353,-87.72045859
412,209.1466256462354,41.8808072,-87.7159745
413,150.0,41.88081388,-87.71381964
14764,177.18759571970259,41.88084064,-87.71073049
415,209.56399262784302,41.880887,-87.708722
416,183.37344547162107,41.880902,-87.706333
417,190.04911183378354,41.880952,-87.703147
15185,192.46860438183995,41.88095403,-87.70088084
16110,154.40022303904618,41.88099888,-87.69856203
420,206.21416933446753,41.88100858,-87.69600765
421,254.8527679005083,41.88103245,-87.694048
16088,197.1950137586282,41.88103301,-87.69229365
423,211.7917719249561,41.88106252,-87.68897646
15364,188.87372118479442,41.88109893,-87.68607651
425,237.69398380435268,41.88112797,-87.68410996
15384,208.44625040538946,41.88117403,-87.68122249
427,221.25149145313063,41.881232,-87.679293
428,155.14265475473863,41.881262,-87.67685
429,280.8058880001836,41.88129674,-87.67424663
430,272.1586094353967,41.8813284,-87.67186305
431,195.26505614931307,41.88137,-87.669513
4727,221.91513167141662,41.881385,-87.668503
432,213.29960330957712,41.88139461,-87.66699977
15279,155.9271640021408,41.88143358,-87.66418871
16049,246.48597351612807,41.88146881,-87.66201484
435,219.69340089976262,41.881525,-87.659765
436,239.57907344196403,41.881545,-87.657333
437,230.94868097493267,41.881608,-87.654897
14647,239.47559700336012,41.88165169,-87.65191235
439,280.3664645601668,41.88167775,-87.64983775
440,227.87515534621508,41.882,-87.64728
12754,243.57422857302794,41.8830708,-87.64669495
442,218.31471832669786,41.88311,-87.642848
443,224.5639969199101,41.883084,-87.639976
445,147.44909161105534,41.883128,-87.635516
446,274.5828607309513,41.883137,-87.632625
18122,170.7859106855524,41.88314707,-87.63019604
448,224.39502779571433,41.88316957,-87.62749695
1119,0.0,41.88468794,-87.62431755
1120,0.0,41.88669974,-87.624384
1121,359.82165466717197,41.888076,-87.624425
3953,0.0,41.887978,-87.621979
3954,382.59531717056416,41.887792,-87.620967
8613,0.0,41.884688,-87.620796
