step,score,eps
76,-262.5205793057195,0.5993250000000006
152,-282.3130870499792,0.5981850000000015
228,-261.04629779132864,0.5970450000000025
304,-276.2362860508497,0.5959050000000035
380,-257.2009240605308,0.5947650000000044
456,-260.74294098256445,0.5936250000000054
532,-268.9728282555054,0.5924850000000064
608,-247.26278891814505,0.5913450000000073
684,-276.3667165517509,0.5902050000000083
760,-267.9422577374351,0.5890650000000093
836,-288.0153514899921,0.5879250000000102
912,-263.7519928139841,0.5867850000000112
988,-265.58122072084814,0.5856450000000122
1064,-294.3023961432794,0.5845050000000132
1140,-271.52309091282706,0.5833650000000141
1216,-278.0720355859242,0.5822250000000151
1292,-258.91369070680406,0.5810850000000161
1368,-281.52315711357613,0.579945000000017
1444,-265.15772370224215,0.578805000000018
1520,-257.6614434072189,0.577665000000019
1596,-254.56292860512605,0.5765250000000199
1672,-271.3969217281331,0.5753850000000209
1748,-249.10570213228473,0.5742450000000219
1824,-256.28972667488495,0.5731050000000228
1900,-264.1708476793364,0.5719650000000238
1976,-276.48441807721724,0.5708250000000248
2052,-261.47706687154084,0.5696850000000258
2128,-225.45006910610036,0.5685450000000267
2204,-259.3345768092685,0.5674050000000277
2280,-265.3106853133414,0.5662650000000287
2356,-252.20641076975494,0.5651250000000296
2432,-237.57110161533078,0.5639850000000306
2508,-259.22725725946395,0.5628450000000316
2584,-259.10601092785436,0.5617050000000325
2660,-241.58883706070026,0.5605650000000335
2736,-270.2512132054416,0.5594250000000345
2812,-263.89567379092415,0.5582850000000354
2888,-253.7823916595595,0.5571450000000364
2964,-261.4765095203015,0.5560050000000374
3040,-258.5770793284086,0.5548650000000384
3116,-268.7165248479358,0.5537250000000393
3192,-244.96885696808116,0.5525850000000403
3268,-268.9179612545399,0.5514450000000413
3344,-245.69126220417573,0.5503050000000422
3420,-252.98668954121018,0.5491650000000432
3496,-240.72711228261744,0.5480250000000442
3572,-263.5252094905991,0.5468850000000451
3648,-251.13575839324142,0.5457450000000461
3724,-260.88457627406535,0.5446050000000471
3800,-263.9392885544354,0.543465000000048
3876,-265.65745821467226,0.542325000000049
3952,-279.90070840645313,0.54118500000005
4028,-260.8569284417761,0.540045000000051
4104,-251.29207823737636,0.5389050000000519
4180,-263.9904569868674,0.5377650000000529
4256,-272.179069028798,0.5366250000000539
4332,-270.10021586370397,0.5354850000000548
4408,-311.7990380772457,0.5343450000000558
4484,-267.97673055114984,0.5332050000000568
4560,-265.59567102821774,0.5320650000000577
4636,-284.0751521981968,0.5309250000000587
4712,-272.2466754419353,0.5297850000000597
4788,-279.707015795137,0.5286450000000606
4864,-270.9390443042797,0.5275050000000616
4940,-302.41473134774765,0.5263650000000626
5016,-264.8997208698486,0.5252250000000636
5092,-246.72909988493663,0.5240850000000645
5168,-250.93751018419832,0.5229450000000655
5244,-261.9994951768209,0.5218050000000665
5320,-276.6988579800624,0.5206650000000674
5396,-262.8130138017428,0.5195250000000684
5472,-266.221936577311,0.5183850000000694
5548,-272.51654591665755,0.5172450000000703
5624,-254.4511968432596,0.5161050000000713
5700,-254.84044306497958,0.5149650000000723
5776,-273.722063292948,0.5138250000000733
