version,tripno,blockno,patternid,route,veh_type,direction,timepointid,runid,schd_time,monday,tuesday,wednesday,thursday,friday,saturday,sunday
651,3950020,2734,16550,81,STANDARD,3.0,WilMd,F101,16290,1,1,1,1,1,0,0
651,508010,3877,16551,81,STANDARD,4.0,WilMd,F101,14640,0,0,0,0,0,0,1
651,508010,3877,16551,81,STANDARD,4.0,WilBwy,F101,14940,0,0,0,0,0,0,1
651,508010,3877,16551,81,STANDARD,4.0,LawWes,F101,15480,0,0,0,0,0,0,1
651,508010,3877,16551,81,STANDARD,4.0,LawKim,F101,15780,0,0,0,0,0,0,1
651,508010,3877,16551,81,STANDARD,4.0,LawPul,F101,16020,0,0,0,0,0,0,1
651,508010,3877,16551,81,STANDARD,4.0,LawCic,F101,16260,0,0,0,0,0,0,1
651,508010,3877,16551,81,STANDARD,4.0,JpkBlu,F101,16440,0,0,0,0,0,0,1
651,1218020,2763,16550,81,STANDARD,3.0,JpkBlu,F105,15210,1,1,1,1,1,0,0
651,1218020,2763,16550,81,STANDARD,3.0,LawCic,F105,15420,1,1,1,1,1,0,0
651,1218020,2763,16550,81,STANDARD,3.0,LawPul,F105,15720,1,1,1,1,1,0,0
651,1218020,2763,16550,81,STANDARD,3.0,LawKim,F105,16020,1,1,1,1,1,0,0
651,1218020,2763,16550,81,STANDARD,3.0,LawWes,F105,16470,1,1,1,1,1,0,0
651,1218020,2763,16550,81,STANDARD,3.0,WilBwy,F105,17100,1,1,1,1,1,0,0
651,1218020,2763,16550,81,STANDARD,3.0,WilMd,F105,17430,1,1,1,1,1,0,0
651,43638020,2774,16551,81,STANDARD,4.0,WilMd,F140,15300,1,1,1,1,1,0,0
651,43638020,2774,16551,81,STANDARD,4.0,WilBwy,F140,15660,1,1,1,1,1,0,0
651,43638020,2774,16551,81,STANDARD,4.0,LawWes,F140,16200,1,1,1,1,1,0,0
651,43638020,2774,16551,81,STANDARD,4.0,LawKim,F140,16560,1,1,1,1,1,0,0
651,43638020,2774,16551,81,STANDARD,4.0,LawPul,F140,16860,1,1,1,1,1,0,0
651,43638020,2774,16551,81,STANDARD,4.0,LawCic,F140,17160,1,1,1,1,1,0,0
651,43638020,2774,16551,81,STANDARD,4.0,JpkBlu,F140,17340,1,1,1,1,1,0,0
651,9253070,593,16550,81,STANDARD,3.0,JpkBlu,F101,16110,0,0,0,0,0,1,0
651,9253070,593,16550,81,STANDARD,3.0,LawCic,F101,16290,0,0,0,0,0,1,0
651,9253070,593,16550,81,STANDARD,3.0,LawPul,F101,16530,0,0,0,0,0,1,0
651,9253070,593,16550,81,STANDARD,3.0,LawKim,F101,16710,0,0,0,0,0,1,0
651,9253070,593,16550,81,STANDARD,3.0,LawWes,F101,17010,0,0,0,0,0,1,0
651,9253070,593,16550,81,STANDARD,3.0,WilBwy,F101,17430,0,0,0,0,0,1,0
651,9253070,593,16550,81,STANDARD,3.0,WilMd,F101,17640,0,0,0,0,0,1,0
651,23952020,2767,16550,81,STANDARD,3.0,JpkBlu,F108,16140,1,1,1,1,1,0,0
651,23952020,2767,16550,81,STANDARD,3.0,LawCic,F108,16350,1,1,1,1,1,0,0
651,23952020,2767,16550,81,STANDARD,3.0,LawPul,F108,16680,1,1,1,1,1,0,0
651,23952020,2767,16550,81,STANDARD,3.0,LawKim,F108,17010,1,1,1,1,1,0,0
651,23952020,2767,16550,81,STANDARD,3.0,LawWes,F108,17490,1,1,1,1,1,0,0
651,23952020,2767,16550,81,STANDARD,3.0,WilBwy,F108,18150,1,1,1,1,1,0,0
651,23952020,2767,16550,81,STANDARD,3.0,WilMd,F108,18480,1,1,1,1,1,0,0
651,36358020,2734,16551,81,STANDARD,4.0,WilMd,F101,16560,1,1,1,1,1,0,0
651,36358020,2734,16551,81,STANDARD,4.0,WilBwy,F101,16920,1,1,1,1,1,0,0
651,36358020,2734,16551,81,STANDARD,4.0,LawWes,F101,17460,1,1,1,1,1,0,0
651,36358020,2734,16551,81,STANDARD,4.0,LawKim,F101,17820,1,1,1,1,1,0,0
651,36358020,2734,16551,81,STANDARD,4.0,LawPul,F101,18120,1,1,1,1,1,0,0
651,36358020,2734,16551,81,STANDARD,4.0,LawCic,F101,18420,1,1,1,1,1,0,0
651,36358020,2734,16551,81,STANDARD,4.0,JpkBlu,F101,18600,1,1,1,1,1,0,0
651,34635020,2775,16550,81,STANDARD,3.0,JpkBlu,F102,16950,1,1,1,1,1,0,0
651,34635020,2775,16550,81,STANDARD,3.0,LawCic,F102,17190,1,1,1,1,1,0,0
651,34635020,2775,16550,81,STANDARD,3.0,LawPul,F102,17520,1,1,1,1,1,0,0
651,34635020,2775,16550,81,STANDARD,3.0,LawKim,F102,17850,1,1,1,1,1,0,0
651,34635020,2775,16550,81,STANDARD,3.0,LawWes,F102,18360,1,1,1,1,1,0,0
651,34635020,2775,16550,81,STANDARD,3.0,WilBwy,F102,19050,1,1,1,1,1,0,0
651,34635020,2775,16550,81,STANDARD,3.0,WilMd,F102,19410,1,1,1,1,1,0,0
651,11250010,3877,16550,81,STANDARD,3.0,JpkBlu,F101,17400,0,0,0,0,0,0,1
651,11250010,3877,16550,81,STANDARD,3.0,LawCic,F101,17580,0,0,0,0,0,0,1
651,11250010,3877,16550,81,STANDARD,3.0,LawPul,F101,17820,0,0,0,0,0,0,1
651,11250010,3877,16550,81,STANDARD,3.0,LawKim,F101,18000,0,0,0,0,0,0,1
651,11250010,3877,16550,81,STANDARD,3.0,LawWes,F101,18360,0,0,0,0,0,0,1
651,11250010,3877,16550,81,STANDARD,3.0,WilBwy,F101,18780,0,0,0,0,0,0,1
651,11250010,3877,16550,81,STANDARD,3.0,WilMd,F101,19050,0,0,0,0,0,0,1
651,34574020,2763,16551,81,STANDARD,4.0,WilMd,F105,17700,1,1,1,1,1,0,0
651,34574020,2763,16551,81,STANDARD,4.0,WilBwy,F105,18060,1,1,1,1,1,0,0
651,34574020,2763,16551,81,STANDARD,4.0,LawWes,F105,18600,1,1,1,1,1,0,0
651,34574020,2763,16551,81,STANDARD,4.0,LawKim,F105,18960,1,1,1,1,1,0,0
651,34574020,2763,16551,81,STANDARD,4.0,LawPul,F105,19260,1,1,1,1,1,0,0
651,34574020,2763,16551,81,STANDARD,4.0,LawCic,F105,19560,1,1,1,1,1,0,0
651,34574020,2763,16551,81,STANDARD,4.0,JpkBlu,F105,19740,1,1,1,1,1,0,0
651,39611020,2772,16550,81,STANDARD,3.0,JpkBlu,F103,17760,1,1,1,1,1,0,0
651,39611020,2772,16550,81,STANDARD,3.0,LawCic,F103,18000,1,1,1,1,1,0,0
651,39611020,2772,16550,81,STANDARD,3.0,LawPul,F103,18360,1,1,1,1,1,0,0
651,39611020,2772,16550,81,STANDARD,3.0,LawKim,F103,18720,1,1,1,1,1,0,0
651,39611020,2772,16550,81,STANDARD,3.0,LawWes,F103,19260,1,1,1,1,1,0,0
651,39611020,2772,16550,81,STANDARD,3.0,WilBwy,F103,19980,1,1,1,1,1,0,0
651,39611020,2772,16550,81,STANDARD,3.0,WilMd,F103,20370,1,1,1,1,1,0,0
651,45533070,593,16551,81,STANDARD,4.0,WilMd,F101,18000,0,0,0,0,0,1,0
651,45533070,593,16551,81,STANDARD,4.0,WilBwy,F101,18300,0,0,0,0,0,1,0
651,45533070,593,16551,81,STANDARD,4.0,LawWes,F101,18840,0,0,0,0,0,1,0
651,45533070,593,16551,81,STANDARD,4.0,LawKim,F101,19200,0,0,0,0,0,1,0
651,45533070,593,16551,81,STANDARD,4.0,LawPul,F101,19440,0,0,0,0,0,1,0
651,45533070,593,16551,81,STANDARD,4.0,LawCic,F101,19680,0,0,0,0,0,1,0
651,45533070,593,16551,81,STANDARD,4.0,JpkBlu,F101,19860,0,0,0,0,0,1,0
651,19099070,590,16550,81,STANDARD,3.0,JpkBlu,F103,18420,0,0,0,0,0,1,0
651,19099070,590,16550,81,STANDARD,3.0,LawCic,F103,18600,0,0,0,0,0,1,0
651,19099070,590,16550,81,STANDARD,3.0,LawPul,F103,18900,0,0,0,0,0,1,0
651,19099070,590,16550,81,STANDARD,3.0,LawKim,F103,19140,0,0,0,0,0,1,0
651,19099070,590,16550,81,STANDARD,3.0,LawWes,F103,19500,0,0,0,0,0,1,0
651,19099070,590,16550,81,STANDARD,3.0,WilBwy,F103,20010,0,0,0,0,0,1,0
651,19099070,590,16550,81,STANDARD,3.0,WilMd,F103,20280,0,0,0,0,0,1,0
651,6279020,2769,16550,81,STANDARD,3.0,JpkBlu,F109,18510,1,1,1,1,1,0,0
651,6279020,2769,16550,81,STANDARD,3.0,LawCic,F109,18750,1,1,1,1,1,0,0
651,6279020,2769,16550,81,STANDARD,3.0,LawPul,F109,19110,1,1,1,1,1,0,0
651,6279020,2769,16550,81,STANDARD,3.0,LawKim,F109,19470,1,1,1,1,1,0,0
651,6279020,2769,16550,81,STANDARD,3.0,LawWes,F109,20010,1,1,1,1,1,0,0
651,6279020,2769,16550,81,STANDARD,3.0,WilBwy,F109,20730,1,1,1,1,1,0,0
651,6279020,2769,16550,81,STANDARD,3.0,WilMd,F109,21120,1,1,1,1,1,0,0
651,4887020,2767,16551,81,STANDARD,4.0,WilMd,F108,18720,1,1,1,1,1,0,0
651,4887020,2767,16551,81,STANDARD,4.0,WilBwy,F108,19080,1,1,1,1,1,0,0
651,4887020,2767,16551,81,STANDARD,4.0,LawWes,F108,19620,1,1,1,1,1,0,0
651,4887020,2767,16551,81,STANDARD,4.0,LawKim,F108,19980,1,1,1,1,1,0,0
651,4887020,2767,16551,81,STANDARD,4.0,LawPul,F108,20280,1,1,1,1,1,0,0
651,4887020,2767,16551,81,STANDARD,4.0,LawCic,F108,20580,1,1,1,1,1,0,0
651,4887020,2767,16551,81,STANDARD,4.0,JpkBlu,F108,20760,1,1,1,1,1,0,0
651,33457010,3883,16550,81,STANDARD,3.0,JpkBlu,F103,18900,0,0,0,0,0,0,1
651,33457010,3883,16550,81,STANDARD,3.0,LawCic,F103,19080,0,0,0,0,0,0,1
651,33457010,3883,16550,81,STANDARD,3.0,LawPul,F103,19350,0,0,0,0,0,0,1
651,33457010,3883,16550,81,STANDARD,3.0,LawKim,F103,19560,0,0,0,0,0,0,1
651,33457010,3883,16550,81,STANDARD,3.0,LawWes,F103,19920,0,0,0,0,0,0,1
651,33457010,3883,16550,81,STANDARD,3.0,WilBwy,F103,20370,0,0,0,0,0,0,1
651,33457010,3883,16550,81,STANDARD,3.0,WilMd,F103,20640,0,0,0,0,0,0,1
651,47219020,2734,16550,81,STANDARD,3.0,JpkBlu,F101,19200,1,1,1,1,1,0,0
651,47219020,2734,16550,81,STANDARD,3.0,LawCic,F101,19440,1,1,1,1,1,0,0
651,47219020,2734,16550,81,STANDARD,3.0,LawPul,F101,19800,1,1,1,1,1,0,0
651,47219020,2734,16550,81,STANDARD,3.0,LawKim,F101,20160,1,1,1,1,1,0,0
651,47219020,2734,16550,81,STANDARD,3.0,LawWes,F101,20700,1,1,1,1,1,0,0
651,47219020,2734,16550,81,STANDARD,3.0,WilBwy,F101,21420,1,1,1,1,1,0,0
651,47219020,2734,16550,81,STANDARD,3.0,WilMd,F101,21810,1,1,1,1,1,0,0
651,48431070,594,16550,81,STANDARD,3.0,JpkBlu,F104,19500,0,0,0,0,0,1,0
651,48431070,594,16550,81,STANDARD,3.0,LawCic,F104,19680,0,0,0,0,0,1,0
651,48431070,594,16550,81,STANDARD,3.0,LawPul,F104,19980,0,0,0,0,0,1,0
651,48431070,594,16550,81,STANDARD,3.0,LawKim,F104,20220,0,0,0,0,0,1,0
651,48431070,594,16550,81,STANDARD,3.0,LawWes,F104,20580,0,0,0,0,0,1,0
651,48431070,594,16550,81,STANDARD,3.0,WilBwy,F104,21090,0,0,0,0,0,1,0
651,48431070,594,16550,81,STANDARD,3.0,WilMd,F104,21360,0,0,0,0,0,1,0
651,38682020,2775,16551,81,STANDARD,4.0,WilMd,F102,19740,1,1,1,1,1,0,0
651,38682020,2775,16551,81,STANDARD,4.0,WilBwy,F102,20100,1,1,1,1,1,0,0
651,38682020,2775,16551,81,STANDARD,4.0,LawWes,F102,20640,1,1,1,1,1,0,0
651,38682020,2775,16551,81,STANDARD,4.0,LawKim,F102,21000,1,1,1,1,1,0,0
651,38682020,2775,16551,81,STANDARD,4.0,LawPul,F102,21300,1,1,1,1,1,0,0
651,38682020,2775,16551,81,STANDARD,4.0,LawCic,F102,21600,1,1,1,1,1,0,0
651,38682020,2775,16551,81,STANDARD,4.0,JpkBlu,F102,21780,1,1,1,1,1,0,0
651,19619020,2773,16550,81,STANDARD,3.0,JpkBlu,F106,19800,1,1,1,1,1,0,0
651,19619020,2773,16550,81,STANDARD,3.0,LawCic,F106,20040,1,1,1,1,1,0,0
651,19619020,2773,16550,81,STANDARD,3.0,LawPul,F106,20400,1,1,1,1,1,0,0
651,19619020,2773,16550,81,STANDARD,3.0,LawKim,F106,20760,1,1,1,1,1,0,0
651,19619020,2773,16550,81,STANDARD,3.0,LawWes,F106,21300,1,1,1,1,1,0,0
651,19619020,2773,16550,81,STANDARD,3.0,WilBwy,F106,22020,1,1,1,1,1,0,0
651,19619020,2773,16550,81,STANDARD,3.0,WilMd,F106,22410,1,1,1,1,1,0,0
651,1632010,3877,16551,81,STANDARD,4.0,WilMd,F101,19920,0,0,0,0,0,0,1
651,1632010,3877,16551,81,STANDARD,4.0,WilBwy,F101,20190,0,0,0,0,0,0,1
651,1632010,3877,16551,81,STANDARD,4.0,LawWes,F101,20670,0,0,0,0,0,0,1
651,1632010,3877,16551,81,STANDARD,4.0,LawKim,F101,21030,0,0,0,0,0,0,1
651,1632010,3877,16551,81,STANDARD,4.0,LawPul,F101,21330,0,0,0,0,0,0,1
651,1632010,3877,16551,81,STANDARD,4.0,LawCic,F101,21570,0,0,0,0,0,0,1
651,1632010,3877,16551,81,STANDARD,4.0,JpkBlu,F101,21750,0,0,0,0,0,0,1
651,42013010,3884,16550,81,STANDARD,3.0,JpkBlu,F902,20220,0,0,0,0,0,0,1
651,42013010,3884,16550,81,STANDARD,3.0,LawCic,F902,20400,0,0,0,0,0,0,1
651,42013010,3884,16550,81,STANDARD,3.0,LawPul,F902,20670,0,0,0,0,0,0,1
651,42013010,3884,16550,81,STANDARD,3.0,LawKim,F902,20910,0,0,0,0,0,0,1
651,42013010,3884,16550,81,STANDARD,3.0,LawWes,F902,21270,0,0,0,0,0,0,1
651,42013010,3884,16550,81,STANDARD,3.0,WilBwy,F902,21780,0,0,0,0,0,0,1
651,42013010,3884,16550,81,STANDARD,3.0,WilMd,F902,22020,0,0,0,0,0,0,1
651,43439020,2763,16550,81,STANDARD,3.0,JpkBlu,F105,20340,1,1,1,1,1,0,0
651,43439020,2763,16550,81,STANDARD,3.0,LawCic,F105,20580,1,1,1,1,1,0,0
651,43439020,2763,16550,81,STANDARD,3.0,LawPul,F105,20940,1,1,1,1,1,0,0
651,43439020,2763,16550,81,STANDARD,3.0,LawKim,F105,21300,1,1,1,1,1,0,0
651,43439020,2763,16550,81,STANDARD,3.0,LawWes,F105,21840,1,1,1,1,1,0,0
651,43439020,2763,16550,81,STANDARD,3.0,WilBwy,F105,22560,1,1,1,1,1,0,0
651,43439020,2763,16550,81,STANDARD,3.0,WilMd,F105,22950,1,1,1,1,1,0,0
651,9988070,593,16550,81,STANDARD,3.0,JpkBlu,F101,20580,0,0,0,0,0,1,0
651,9988070,593,16550,81,STANDARD,3.0,LawCic,F101,20760,0,0,0,0,0,1,0
651,9988070,593,16550,81,STANDARD,3.0,LawPul,F101,21060,0,0,0,0,0,1,0
651,9988070,593,16550,81,STANDARD,3.0,LawKim,F101,21300,0,0,0,0,0,1,0
651,9988070,593,16550,81,STANDARD,3.0,LawWes,F101,21660,0,0,0,0,0,1,0
