scenario,strategy,p_cancel,capacity,blocks_cancel
1,NC,0.0,53,[]
2,NC,0.15,53,"[1635, 1624]"
3,NC,0.3,53,"[1628, 1594, 1631, 1632, 1629]"
4,EDS,0.0,53,[]
5,EDS,0.15,53,"[1635, 1624]"
6,EDS,0.3,53,"[1628, 1594, 1631, 1632, 1629]"
7,HDS,0.0,53,[]
8,HDS,0.15,53,"[1635, 1624]"
9,HDS,0.3,53,"[1628, 1594, 1631, 1632, 1629]"
10,HDS+MRH,0.0,53,[]
11,HDS+MRH,0.15,53,"[1635, 1624]"
12,HDS+MRH,0.3,53,"[1628, 1594, 1631, 1632, 1629]"
