trip_id,date,ons,offs,proportion,schd_dep,peak_load
911414030,2019-09-05,56,40,1,8:19:00,34
911414030,2019-09-06,19,21,1,8:19:00,32
910506020,2019-09-03,41,32,1,8:27:30,17
910506020,2019-09-04,39,41,1,8:27:30,16
910506020,2019-09-05,92,87,1,8:27:30,66
910506020,2019-09-06,86,87,1,8:27:30,43
911267020,2019-09-04,76,74,1,8:36:00,34
911880020,2019-09-03,75,71,1,8:45:30,60
911880020,2019-09-04,98,85,1,8:45:30,41
911880020,2019-09-05,52,49,1,8:45:30,30
911880020,2019-09-06,89,88,1,8:45:30,36
911370020,2019-09-03,26,23,1,8:55:00,20
911370020,2019-09-04,40,24,2,8:55:00,21
911370020,2019-09-05,76,68,1,8:55:46,60
911370020,2019-09-06,52,50,1,8:55:00,42
911905030,2019-09-03,69,72,1,9:05:00,38
911905030,2019-09-04,90,76,1,9:05:00,62
911905030,2019-09-05,59,45,1,9:05:00,71
911905030,2019-09-06,49,27,2,9:05:00,86
911217020,2019-09-03,50,41,1,9:15:00,65
911217020,2019-09-04,45,43,1,9:15:00,43
911217020,2019-09-05,42,23,2,9:15:00,57
911217020,2019-09-06,70,49,1,9:15:00,55
911290020,2019-09-03,93,89,1,9:25:00,44
911290020,2019-09-04,18,24,1,9:25:00,25
911290020,2019-09-05,154,121,1,9:25:00,75
911290020,2019-09-06,0,14,0,9:25:00,0
911303020,2019-09-03,28,9,3,9:35:00,27
911303020,2019-09-04,79,67,1,9:35:00,52
911303020,2019-09-05,35,45,1,9:35:00,21
911303020,2019-09-06,49,45,1,9:35:00,38
911455020,2019-09-03,38,30,1,9:45:00,16
911455020,2019-09-04,53,25,2,9:45:00,99
911455020,2019-09-05,23,25,1,9:45:00,14
911455020,2019-09-06,58,57,1,9:45:00,29
911244020,2019-09-03,35,25,1,9:55:00,25
911244020,2019-09-04,57,40,1,9:55:00,36
911244020,2019-09-05,107,97,1,9:55:00,44
911244020,2019-09-06,73,74,1,9:55:00,33
911931020,2019-09-03,0,36,0,10:05:00,0
911931020,2019-09-04,54,52,1,10:05:00,39
911931020,2019-09-05,38,39,1,10:05:00,23
911931020,2019-09-06,36,26,1,10:05:00,15
911322020,2019-09-03,86,82,1,10:15:00,63
911322020,2019-09-04,73,61,1,10:15:00,36
911322020,2019-09-05,16,25,1,10:15:00,10
911322020,2019-09-06,76,26,3,10:15:00,270
911956020,2019-09-03,53,49,1,10:25:00,39
911956020,2019-09-04,69,68,1,10:25:00,46
911956020,2019-09-05,36,30,1,10:25:00,41
911956020,2019-09-06,71,73,1,10:25:00,23
