block_id,trip_id,direction,schd_sec,schd_time,day1,day2,day3,day4,rep1,rep2,rep3,rep4
897302,911318020,in,29160.0,8:06:00,8:11:48,8:06:20,8:07:57,8:05:12,8:06:50,8:06:50,8:06:50,8:06:50
897302,911318020,in,32880.0,9:08:00,9:25:18,,9:27:29,9:23:31,9:17:19,9:19:39,9:19:44,9:17:49
897302,911321020,out_long,33390.0,9:16:30,9:25:27,,9:27:46,9:23:43,9:17:27,9:19:39,9:19:44,9:17:56
897302,911321020,out_long,36390.0,10:06:30,10:22:26,10:15:19,10:21:12,10:13:30,,,,
897402,911300020,out_short,25530.0,7:05:30,7:04:43,,7:05:27,7:03:15,7:05:30,7:05:30,7:05:30,7:06:11
897402,911300020,out_short,26250.0,7:17:30,7:17:21,,7:18:24,7:18:57,7:18:03,7:18:53,7:18:26,7:20:00
897402,911298020,in,26460.0,7:21:00,7:25:53,,7:21:21,7:20:22,7:21:09,7:21:08,7:21:20,7:21:07
897402,911298020,in,30180.0,8:23:00,8:37:41,8:34:13,8:35:53,8:32:51,8:28:32,8:28:36,8:30:51,8:36:44
897402,911302020,out_long,30810.0,8:33:30,8:37:53,8:34:35,8:36:04,8:33:35,8:33:30,8:33:30,8:33:30,8:36:53
897402,911302020,out_long,33810.0,9:23:30,9:31:48,9:36:25,9:39:22,9:33:12,,,,
897402,911303020,in,34500.0,9:35:00,9:36:53,9:36:43,9:44:17,9:34:21,,,,
897402,911303020,in,37620.0,10:27:00,,10:38:23,10:46:15,10:33:43,,,,
897502,911376020,out_short,24810.0,6:53:30,,6:53:26,6:54:35,6:52:31,6:53:30,6:53:30,6:53:50,6:53:30
897502,911376020,out_short,25530.0,7:05:30,,7:07:58,7:08:31,7:06:22,7:08:02,7:08:27,7:07:50,7:04:23
897502,911377020,in,25710.0,7:08:30,,7:09:32,7:09:16,7:08:04,7:08:53,7:08:38,7:09:20,7:08:42
897502,911377020,in,29430.0,8:10:30,,8:17:06,8:25:28,8:21:15,8:13:47,8:07:08,8:07:16,8:08:46
897502,911378020,out_long,30060.0,8:21:00,,8:20:56,8:25:37,8:22:13,8:21:00,8:21:00,8:21:00,8:21:00
897502,911378020,out_long,32220.0,8:57:00,,,,,9:23:24,,,9:20:06
897602,911284020,out_short,18450.0,5:07:30,5:08:33,5:08:17,5:07:59,5:07:27,5:07:30,5:07:30,5:08:02,5:07:30
897602,911284020,out_short,19140.0,5:19:00,5:20:28,5:18:45,5:18:59,5:20:12,5:18:23,5:19:27,5:20:12,5:19:25
897602,911285020,in,19320.0,5:22:00,5:22:42,5:23:38,5:23:06,5:21:38,5:22:10,5:22:08,5:22:07,5:22:03
897602,911285020,in,22140.0,6:09:00,6:17:25,6:18:16,6:17:26,6:17:48,6:10:27,6:09:15,6:08:26,6:21:24
897602,911286020,out_long,22620.0,6:17:00,6:17:38,6:18:43,6:17:44,6:18:01,6:17:00,6:17:00,6:17:00,6:21:24
897602,911286020,out_long,25380.0,7:03:00,7:05:27,7:09:51,7:08:33,7:06:30,7:05:41,7:03:30,7:06:45,7:10:04
897602,911283020,in,25980.0,7:13:00,7:19:25,7:16:51,7:15:23,7:12:46,7:13:06,7:13:06,7:13:20,7:13:07
897602,911283020,in,29700.0,8:15:00,8:30:34,8:25:14,8:26:14,8:25:37,8:17:22,8:10:10,8:13:24,8:24:07
897602,911289020,out_long,30330.0,8:25:30,8:30:44,8:25:26,8:26:26,8:27:17,8:25:30,8:25:30,8:25:30,8:25:30
897602,911289020,out_long,33330.0,9:15:30,,9:22:14,9:30:19,9:27:17,,,,
897602,911290020,in,33900.0,9:25:00,9:32:01,9:25:16,9:31:34,9:27:56,,,,
897602,911290020,in,37020.0,10:17:00,10:32:09,10:18:52,10:38:57,10:21:18,,,,
898403,911900030,in,18300.0,5:05:00,5:02:58,5:03:03,5:03:46,5:01:50,5:05:00,5:05:02,5:05:04,5:05:07
898403,911900030,in,21120.0,5:52:00,5:59:40,5:59:35,5:59:38,5:59:24,5:54:30,5:55:20,5:55:33,5:52:25
898403,911902030,out_long,21600.0,6:00:00,5:59:48,5:59:47,5:59:47,5:59:35,6:00:00,6:00:00,6:00:00,6:00:00
898403,911902030,out_long,24360.0,6:46:00,6:45:10,6:46:50,6:48:40,6:46:39,6:48:08,6:47:43,6:45:32,6:51:10
898403,911903030,in,24840.0,6:54:00,,6:53:56,6:54:40,6:54:05,6:54:08,6:54:23,6:54:08,6:54:00
898403,911903030,in,28380.0,7:53:00,,7:57:28,7:57:24,7:58:22,7:57:48,7:58:17,7:58:30,7:53:13
898403,911904030,out_long,28860.0,8:01:00,,8:00:55,8:00:46,8:01:32,8:01:00,8:01:00,8:01:00,8:01:00
898403,911904030,out_long,31860.0,8:51:00,8:54:41,9:07:03,8:56:08,8:56:44,9:06:47,9:01:28,8:59:15,9:10:32
898403,911905030,in,32700.0,9:05:00,9:05:09,9:07:33,9:02:58,9:05:50,9:07:05,9:05:50,9:05:50,9:10:52
898403,911905030,in,35820.0,9:57:00,10:04:13,10:17:25,10:00:44,9:56:57,,,,
898502,911877020,out_short,23220.0,6:27:00,,6:31:35,6:28:02,6:26:44,6:27:37,6:27:49,6:27:00,6:28:04
898502,911877020,out_short,23940.0,6:39:00,,,6:41:13,6:37:26,6:41:13,6:41:31,6:39:16,6:41:29
898502,911878020,in,24120.0,6:42:00,6:46:46,6:49:01,6:42:40,6:43:10,6:42:06,6:42:50,6:42:02,6:42:08
898502,911878020,in,27330.0,7:35:30,7:54:15,7:47:06,7:48:39,7:36:53,7:42:06,7:38:52,7:44:04,7:43:37
898502,911879020,out_long,27780.0,7:43:00,7:54:24,7:47:12,7:48:49,7:43:15,7:43:00,7:43:00,7:44:11,7:43:44
898502,911879020,out_long,30780.0,8:33:00,8:52:13,8:45:20,8:44:47,8:34:48,8:38:25,8:42:30,8:41:58,8:44:25
898502,911880020,in,31530.0,8:45:30,8:54:08,8:48:01,8:45:13,8:44:24,8:46:20,8:46:20,8:46:20,8:46:20
898502,911880020,in,34770.0,9:39:30,9:51:10,9:51:37,9:40:08,9:44:28,,,,
899102,910939020,out_short,26550.0,7:22:30,7:23:52,7:23:56,7:22:03,7:21:47,7:22:36,7:22:30,7:23:29,7:23:25
899102,910939020,out_short,27330.0,7:35:30,7:35:54,7:41:32,7:36:53,7:35:32,7:35:36,7:35:59,7:36:51,7:34:33
899102,910579020,in,27510.0,7:38:30,7:37:49,7:44:18,7:38:21,7:37:20,7:39:20,7:39:20,7:39:20,7:39:04
899102,910579020,in,31230.0,8:40:30,8:48:33,8:50:30,8:49:53,8:48:58,8:54:31,8:48:35,8:46:22,8:49:30
899102,910992020,out_long,31770.0,8:49:30,8:49:15,8:51:42,8:50:06,8:50:20,8:54:40,8:49:30,8:49:30,8:49:30
899102,910992020,out_long,33930.0,9:25:30,,,,,,,,
899503,911000030,in,20220.0,5:37:00,5:37:15,5:37:42,5:36:39,5:38:07,5:37:02,5:38:27,5:37:45,5:37:04
899503,911000030,in,23040.0,6:24:00,6:29:20,6:31:35,6:26:24,6:33:43,6:33:27,6:31:25,6:27:24,6:30:50
899503,911003030,out_long,23520.0,6:32:00,6:32:12,6:31:45,6:30:36,6:33:54,6:33:34,6:32:00,6:32:00,6:32:00
899503,911003030,out_long,26280.0,7:18:00,7:27:30,7:29:47,7:29:23,7:26:56,7:32:11,7:31:10,7:23:09,7:29:46
899503,911004030,in,26970.0,7:29:30,,7:30:06,7:29:51,7:29:06,7:32:19,7:31:19,7:30:20,7:30:04
899503,911004030,in,30690.0,8:31:30,,8:46:05,8:41:19,8:34:40,8:39:26,8:37:35,8:36:33,8:41:46
899503,911005030,out_long,31290.0,8:41:30,,8:46:45,8:41:34,8:41:26,8:41:30,8:41:30,8:41:30,8:41:56
899503,911005030,out_long,33450.0,9:17:30,,,,,,,,
899602,910042020,out_short,27030.0,7:30:30,7:30:06,7:30:01,7:30:35,7:30:30,7:31:41,7:30:30,7:31:34,7:31:19
899602,910042020,out_short,27870.0,7:44:30,7:46:41,7:44:47,7:47:36,7:44:15,7:44:17,7:43:13,7:45:47,7:46:03
899602,910043020,in,28050.0,7:47:30,7:47:22,7:47:38,7:47:53,7:47:15,7:48:20,7:48:20,7:48:20,7:48:04
899602,910043020,in,31770.0,8:49:30,9:09:06,9:00:26,8:59:28,8:58:47,9:08:41,9:00:09,8:58:51,8:57:55
899602,910040020,out_long,32280.0,8:58:00,9:09:22,9:00:45,8:59:51,8:59:02,9:08:51,9:00:17,8:59:02,8:58:03
899602,910040020,out_long,34440.0,9:34:00,,,,,,,,
906302,910503020,out_short,22410.0,6:13:30,6:12:22,6:12:29,6:12:41,6:12:06,6:14:07,6:13:30,6:13:35,6:13:30
906302,910503020,out_short,23130.0,6:25:30,6:26:15,6:29:57,6:26:38,6:28:06,6:25:33,6:24:27,6:26:52,6:25:05
906302,910504020,in,23310.0,6:28:30,6:28:51,6:30:07,6:29:25,6:28:24,6:28:38,6:28:32,6:28:39,6:28:46
906302,910504020,in,26130.0,7:15:30,7:28:09,7:24:50,,7:23:14,7:24:01,7:22:33,7:23:19,7:28:20
906302,910505020,out_long,26640.0,7:24:00,7:28:17,7:25:18,7:36:14,7:23:53,7:24:08,7:24:00,7:24:00,7:28:26
906302,910505020,out_long,29640.0,8:14:00,8:26:39,8:21:06,8:28:22,8:14:32,8:19:24,8:12:15,8:27:09,8:35:25
906302,910506020,in,30450.0,8:27:30,8:29:14,8:26:46,8:32:51,8:27:40,8:28:20,8:28:20,8:28:20,8:35:45
906302,910506020,in,34170.0,9:29:30,9:39:19,9:37:57,9:44:12,9:37:38,,,,
906302,910507020,out_long,34680.0,9:38:00,9:39:31,9:38:11,9:44:22,9:37:57,,,,
906302,910507020,out_long,36900.0,10:15:00,,,,,,,,
907002,911385020,out_long,18000.0,5:00:00,5:01:20,5:00:02,5:02:36,5:02:48,5:00:54,5:01:14,5:00:00,5:00:46
907002,911385020,out_long,20760.0,5:46:00,5:47:11,5:46:55,5:47:15,5:48:01,5:44:54,5:47:32,5:42:15,5:46:06
