AM,mid,PM
4.42,4.87,4.64
4.87,6.04,5.84
6.24,6.05,7.17
4.44,4.84,4.67
4.69,5.8,5.55
6.05,5.74,6.88
4.3,4.92,4.58
4.57,5.52,5.34
5.56,5.61,6.34
4.55,4.95,4.79
4.78,5.62,5.36
5.77,5.7,6.4
