AM,mid,PM
0.72,0.7,0.64
0.73,0.67,0.62
0.73,0.67,0.8
0.7,0.69,0.62
0.71,0.67,0.6
0.7,0.63,0.65
0.7,0.71,0.6
0.67,0.63,0.66
0.7,0.63,0.59
0.74,0.68,0.63
0.75,0.66,0.67
0.67,0.66,0.61
