step,score,eps
22,-2.29224592465962,0.9
38,-6.225225268660695,0.8986000000000002
65,-7.346171703702962,0.8932000000000008
95,-8.709040242775231,0.8872000000000014
126,-8.465536190010154,0.8810000000000021
155,-7.116619864406994,0.8752000000000028
178,-5.789688274148867,0.8706000000000033
208,-5.438912424734312,0.8646000000000039
228,-7.598795821280209,0.8606000000000044
254,-3.7021191904892476,0.8554000000000049
277,-6.2011097489855365,0.8508000000000054
309,-9.665806252165071,0.8444000000000061
334,-6.765166300493905,0.8394000000000067
361,-4.671402451663129,0.8340000000000073
380,-5.410272471592809,0.8302000000000077
406,-8.72559882133766,0.8250000000000083
433,-7.773157124959678,0.8196000000000089
458,-7.106769093035789,0.8146000000000094
481,-9.907305698983816,0.8100000000000099
500,-0.7913008694884016,0.8062000000000104
528,-8.41769141882726,0.800600000000011
555,-9.206414848077447,0.7952000000000116
582,-10.16191403227537,0.7898000000000122
609,-6.741163518246951,0.7844000000000128
634,-4.454189736960023,0.7794000000000133
662,-7.672551308890056,0.7738000000000139
682,-5.947969606315617,0.7698000000000144
711,-7.296755716806244,0.764000000000015
733,-4.864393968845966,0.7596000000000155
762,-7.0411801438527855,0.7538000000000161
789,-9.671537560020113,0.7484000000000167
815,-8.873419532179392,0.7432000000000173
838,-5.466843161383483,0.7386000000000178
869,-7.685714635464183,0.7324000000000185
900,-4.874355469217692,0.7262000000000192
929,-5.574873997763351,0.7204000000000198
953,-11.000992515796035,0.7156000000000203
977,-9.323923746372822,0.7108000000000209
1000,-7.024100909827215,0.7062000000000214
1029,-10.910878473131016,0.700400000000022
1051,-6.216392169518696,0.6960000000000225
1076,-9.55039210170954,0.691000000000023
1100,-4.6139572324519404,0.6862000000000236
1129,-5.191932130606986,0.6804000000000242
1152,-3.206171632715455,0.6758000000000247
1181,-2.8613259012755767,0.6700000000000254
1206,-3.5907311767064334,0.6650000000000259
1230,-5.056698838749512,0.6602000000000264
1258,-6.908882751827849,0.654600000000027
1277,-2.5195546166742293,0.6508000000000275
1301,-6.8863201734019475,0.646000000000028
1324,-3.603678089050172,0.6414000000000285
1345,-4.32235093909464,0.637200000000029
1362,-2.6650670429209713,0.6338000000000293
1387,-7.204304407896473,0.6288000000000299
1414,-4.961144329934507,0.6234000000000305
1439,-3.518554301794314,0.618400000000031
1469,-7.537126796390204,0.6124000000000317
1490,-3.4787914870704517,0.6082000000000322
1516,-9.898611109688492,0.6030000000000327
1544,-7.554086451681066,0.5974000000000333
1573,-5.452619916414907,0.591600000000034
1595,-3.9034895295133394,0.5872000000000345
1617,-6.065405372865987,0.582800000000035
1646,-7.732372547788852,0.5770000000000356
1679,-10.548120278758578,0.5704000000000363
1700,-4.926032649149095,0.5662000000000368
1726,-7.535799787718661,0.5610000000000374
1747,-5.943418201664688,0.5568000000000378
1770,-7.21171564929677,0.5522000000000383
1796,-5.649536572395148,0.5470000000000389
1822,-5.670094607912208,0.5418000000000395
1850,-7.5849606156704095,0.5362000000000401
1868,-6.318162579002122,0.5326000000000405
1891,-5.489629329611901,0.528000000000041
1917,-8.600434743700037,0.5228000000000416
1946,-4.583122325637598,0.5170000000000422
1968,-5.889604120641345,0.5126000000000427
1991,-3.3144602929446774,0.5080000000000432
2018,-7.315228701761091,0.5026000000000438
2044,-6.2617935809489715,0.49740000000004436
2064,-4.879623026533946,0.4934000000000448
2091,-3.5283313732660866,0.4880000000000454
2119,-4.042413947443588,0.482400000000046
2147,-8.939823914022934,0.47680000000004663
2175,-6.797042347273181,0.47120000000004725
2199,-5.25892355929337,0.4664000000000478
2227,-5.8997601054427,0.4608000000000484
2255,-4.399936755566564,0.455200000000049
2281,-7.752626969153654,0.4500000000000496
2307,-2.7870940009140934,0.44480000000005016
2329,-2.888652825557707,0.44040000000005064
2357,-4.5140171836453185,0.43480000000005126
2380,-3.5713783223208555,0.43020000000005176
2407,-4.729480475945724,0.42480000000005236
2435,-6.295227137342085,0.419200000000053
2459,-6.209004061813826,0.4144000000000535
2485,-8.56118819314695,0.4092000000000541
2515,-4.505634781321166,0.40320000000005474
2538,-3.5524670479217453,0.39860000000005524
2562,-4.397060589516171,0.39380000000005577
2584,-5.796101617940718,0.38940000000005626
2609,-1.7344938264097745,0.3844000000000568
2636,0.888081423879745,0.3790000000000574
2663,-4.096931223858275,0.373600000000058
2688,-6.251296910762364,0.36860000000005855
2715,-2.3805026609277617,0.36320000000005914
2729,-0.6179464907281786,0.36040000000005945
2756,-2.6971826572362243,0.35500000000006005
2788,-7.7526353146450315,0.34860000000006075
2819,-7.544825304367804,0.34240000000006143
2838,-1.4256704160873617,0.33860000000006185
2863,-2.694570971004522,0.3336000000000624
2892,-6.079102399469212,0.32780000000006304
2918,-5.077426652296766,0.3226000000000636
2946,-3.4162137043338068,0.31700000000006423
2974,-7.023441443336316,0.31140000000006485
2996,-3.505175000061254,0.30700000000006533
3020,-4.928034842648162,0.30220000000006586
3049,-5.948851984419253,0.2964000000000665
