boarding_stop,alighting_stop,arrival_time,times_denied,route_id,boarding_time,trip_id,alighting_time
14102,3731,18307.98570844356,0,81,18587.967376198965,6279020,19023.93421546881
3737,3745,18840.36023185481,0,81,19219.454268102352,6279020,19567.408163103413
3743,3745,19156.30969526592,0,81,19469.63829460334,6279020,19567.408163103413
14102,3746,18254.906976181283,0,81,18587.967376198965,6279020,19620.17358870283
17475,3746,18200.00663844134,0,81,19165.98910255674,6279020,19620.17358870283
14102,3731,19488.607838836477,0,81,19800.0,19619020,20404.78426403932
14102,18607,19161.26924923722,0,81,19800.0,19619020,20606.130812540323
14102,3743,19704.437158647364,0,81,19800.0,19619020,20824.366258841765
18106,3745,19864.60769431238,0,81,20708.55296937499,19619020,20931.173762551804
3742,3746,19800.768253907794,0,81,20784.10731118065,19619020,21023.74594651719
3743,3746,20494.08989683332,0,81,20824.366258841765,19619020,21023.74594651719
3744,3746,19973.703887074338,0,81,20891.200261017682,19619020,21023.74594651719
3744,3746,20480.006854491163,0,81,20891.200261017682,19619020,21023.74594651719
3744,3746,20833.274626273505,0,81,20891.200261017682,19619020,21023.74594651719
14102,3746,19813.112346332484,0,81,20340.0,43439020,21146.860807946643
3742,3746,20933.86012284857,0,81,20935.16609184779,43439020,21146.860807946643
18580,3773,19856.696733055374,0,81,20617.76799089302,6279020,21298.361171472035
3746,3756,20716.37865019304,0,81,21023.74594651719,19619020,21333.90752792233
3773,3775,21058.41859129253,0,81,21480.0,41321020,21527.82005733982
14102,3746,20365.535045817494,0,81,20887.6714940434,44567020,21531.88994465025
14102,3746,20559.6492453822,0,81,20887.6714940434,44567020,21531.88994465025
3743,3746,21098.027175538635,0,81,21433.15678955444,44567020,21531.88994465025
3745,3746,21420.594244944612,0,81,21479.7213680979,44567020,21531.88994465025
3755,3762,20374.669214954465,0,81,21306.76103149524,19619020,21600.311606712425
14102,3733,21280.794079433355,0,81,21488.8773847663,10141020,21792.74941578818
14102,3756,20493.688716867924,0,81,20887.6714940434,44567020,21813.569546284754
14102,3756,20854.46693038077,0,81,20887.6714940434,44567020,21813.569546284754
3746,3756,21425.449397612105,0,81,21531.88994465025,44567020,21813.569546284754
14582,4941,21678.68023473604,0,81,21694.47734396659,41321020,21883.379127721968
3739,18580,19834.584783035767,0,81,20641.13094432027,19619020,21928.163929155526
3752,18580,20381.26602154129,0,81,21228.54293363571,19619020,21928.163929155526
17475,15343,20378.010815892598,0,81,20523.519960879625,19619020,22005.723688510418
3756,3771,21090.359458833886,0,81,21333.90752792233,19619020,22130.876869850137
4943,3788,21620.416204670666,0,81,21970.13966149535,41321020,22207.45691846171
3746,2363,20224.058523483116,0,81,21023.74594651719,19619020,22235.752860496854
3746,18580,21289.170819976975,0,81,21531.88994465025,44567020,22294.39474295212
4941,17246,21787.791390473332,0,81,21883.379127721968,41321020,22341.176787273587
18607,3746,21406.993209578162,0,81,22005.57173843808,10141020,22436.062511942506
18106,3746,21565.785587758546,0,81,22142.84047960794,10141020,22436.062511942506
18106,3746,21920.94227221686,0,81,22142.84047960794,10141020,22436.062511942506
18106,3746,21941.390939839697,0,81,22142.84047960794,10141020,22436.062511942506
3741,3746,21811.175508645025,0,81,22181.96192010851,10141020,22436.062511942506
3741,3746,22049.078469655877,0,81,22181.96192010851,10141020,22436.062511942506
3744,3746,21578.603565964295,0,81,22314.63854058708,10141020,22436.062511942506
3744,3746,22064.815955650443,0,81,22314.63854058708,10141020,22436.062511942506
3764,16192,21960.730473500425,0,81,22025.287020918648,44567020,22481.845321567846
3733,18106,21803.862059603212,0,81,22438.722940221916,25072020,22642.123450634088
3733,3741,22172.17763987855,0,81,22438.722940221916,25072020,22671.12379358657
3773,3774,21950.596040315257,0,81,22680.0,25444020,22704.570974833416
14102,3743,21845.682482709693,0,81,21960.0,25072020,22758.074140541234
18107,3807,22610.270085491768,0,81,22843.79221715433,41321020,22882.658815955197
18107,3809,21960.57650452871,0,81,22843.79221715433,41321020,22976.680649437876
3808,3809,22326.596382838987,0,81,22932.48681679071,41321020,22976.680649437876
3804,3810,21878.047417404043,0,81,22708.96727789065,41321020,23051.27799241903
3805,3810,22067.009136560355,0,81,22773.54924994375,41321020,23051.27799241903
18107,3810,22284.736104611733,0,81,22843.79221715433,41321020,23051.27799241903
14102,3746,21680.89563626719,0,81,21960.0,25072020,23140.158490049842
14102,3746,21769.904278588663,0,81,21960.0,25072020,23140.158490049842
17475,3746,22214.480657825767,0,81,22524.66625909995,25072020,23140.158490049842
18106,3746,22458.81715739944,0,81,22642.123450634088,25072020,23140.158490049842
3741,3746,22530.142881192198,0,81,22671.12379358657,25072020,23140.158490049842
3742,3746,22287.989911590666,0,81,22714.83384931299,25072020,23140.158490049842
3742,3746,22295.602046570653,0,81,22714.83384931299,25072020,23140.158490049842
3742,3746,22304.897063598568,0,81,22714.83384931299,25072020,23140.158490049842
3742,3746,22710.52860476098,0,81,22714.83384931299,25072020,23140.158490049842
3744,3746,22394.79751026848,0,81,22791.611657517842,25072020,23140.158490049842
3811,3813,21600.27884460815,0,81,23133.326196694696,41321020,23243.756283814382
3811,3813,22778.638009175866,0,81,23133.326196694696,41321020,23243.756283814382
3741,3762,21948.59883936372,0,81,22181.96192010851,10141020,23251.046141993003
3812,3814,22569.3842863195,0,81,23173.82865937897,41321020,23282.138860727842
3809,3818,22010.366512696226,0,81,22976.680649437876,41321020,23451.704251612755
3810,3818,22929.14098770112,0,81,23051.27799241903,41321020,23451.704251612755
3777,4941,23029.073656271004,0,81,23292.799016665933,25444020,23507.94570262575
18393,4941,23339.63460440787,0,81,23445.015938228356,25444020,23507.94570262575
5348,4941,21987.806083340864,0,81,23472.75426335097,25444020,23507.94570262575
3732,3756,22126.595850034013,0,81,22413.584225647366,25072020,23527.616718937967
3746,3756,22867.52953858243,0,81,23140.158490049842,25072020,23527.616718937967
3728,4908,21447.317664807346,0,81,21614.87615760631,10141020,23535.09564618562
14582,4941,22156.67040174016,0,81,23336.0,24619020,23556.00943720523
14582,4941,22251.893589051782,0,81,23336.0,24619020,23556.00943720523
14582,4941,22505.22356558128,0,81,23336.0,24619020,23556.00943720523
14582,4941,22739.0262523084,0,81,23336.0,24619020,23556.00943720523
14582,4941,23243.53515706113,0,81,23336.0,24619020,23556.00943720523
14582,4941,23317.523829567253,0,81,23336.0,24619020,23556.00943720523
3776,14102,20965.31396662563,0,81,21596.18861528673,41321020,23657.556864330443
14102,3741,22448.29081589462,0,81,23010.0,20296020,23684.54989495082
14102,3741,22993.878223883625,0,81,23010.0,20296020,23684.54989495082
14102,3734,23385.6945902951,0,81,23460.0,3320020,23762.792465234023
3728,18580,21400.33491592502,0,81,21614.87615760631,10141020,23764.960067111777
3746,18580,21911.34034411251,0,81,22436.062511942506,10141020,23764.960067111777
3746,18580,22294.693514821985,0,81,22436.062511942506,10141020,23764.960067111777
3749,18580,22216.37019186306,0,81,22538.877029632382,10141020,23764.960067111777
17251,18580,21772.454662862667,0,81,22790.641822934398,10141020,23764.960067111777
3737,3743,23426.034902502797,0,81,23470.816586488305,20296020,23774.05793359891
4941,17247,21992.779213634505,0,81,23507.94570262575,25444020,23825.640167752106
3730,3745,23019.385215524086,0,81,23197.866611710982,20296020,23874.78284139544
4941,3788,22161.90056094508,0,81,23507.94570262575,25444020,23904.604659297856
4941,3788,22348.727860163905,0,81,23507.94570262575,25444020,23904.604659297856
4941,3788,22667.53863577515,0,81,23507.94570262575,25444020,23904.604659297856
4941,3788,23330.367422141564,0,81,23507.94570262575,25444020,23904.604659297856
17247,17603,23351.801784177194,0,81,23825.640167752106,25444020,23970.028648706204
15461,17603,21798.442676702987,0,81,23387.929397691998,24619020,23976.518990533135
14102,3746,22265.145841035504,0,81,23010.0,20296020,23981.981687088257
14102,3746,22465.366653935944,0,81,23010.0,20296020,23981.981687088257
17476,3746,22614.24470529974,0,81,23430.979444126668,20296020,23981.981687088257
18607,3746,22953.92383464098,0,81,23530.1887880445,20296020,23981.981687088257
3739,3746,23075.777827251684,0,81,23552.703829327136,20296020,23981.981687088257
18106,3746,23345.10520640682,0,81,23648.220901788816,20296020,23981.981687088257
18106,3746,23447.678534397204,0,81,23648.220901788816,20296020,23981.981687088257
18106,3746,23560.3571536034,0,81,23648.220901788816,20296020,23981.981687088257
3741,3746,22693.641660204074,0,81,23684.54989495082,20296020,23981.981687088257
3741,3746,22955.255072161675,0,81,23684.54989495082,20296020,23981.981687088257
3743,3746,23512.83910980039,0,81,23774.05793359891,20296020,23981.981687088257
3743,3746,23672.365161400798,0,81,23774.05793359891,20296020,23981.981687088257
18393,17604,22415.192488562763,0,81,23445.015938228356,25444020,24011.766731568718
18393,17604,23070.719347144237,0,81,23445.015938228356,25444020,24011.766731568718
4945,17604,22575.16474607137,0,81,23652.445492679024,25444020,24011.766731568718
3743,3747,23505.310811670537,0,81,23774.05793359891,20296020,24037.441186417378
3742,3748,23522.204546833218,0,81,23733.931058599534,20296020,24079.153134768014
4947,17246,22338.104765513814,0,81,23706.953912489702,25444020,24100.709308881433
14582,4941,23557.429653290685,0,81,23950.753775087007,44814020,24103.040244397787
18393,4941,23793.13851605505,0,81,24020.005763557205,44814020,24103.040244397787
18580,16192,22758.318549743726,0,81,23764.960067111777,10141020,24105.55328881006
3787,3794,23384.761149344253,0,81,23879.429024205896,25444020,24126.671606384036
18607,3744,23776.88902294329,0,81,23955.007590937315,3320020,24205.798661280853
14102,3746,23048.74120425898,0,81,23460.0,3320020,24317.143679390316
14102,3746,23368.34668751643,0,81,23460.0,3320020,24317.143679390316
18607,3746,23664.6426623207,0,81,23955.007590937315,3320020,24317.143679390316
18106,3746,23688.17132046425,0,81,24088.383212651923,3320020,24317.143679390316
18106,3746,23994.29979552327,0,81,24088.383212651923,3320020,24317.143679390316
3741,3746,23923.083892190505,0,81,24122.937819217543,3320020,24317.143679390316
3744,3746,23915.659556870076,0,81,24205.798661280853,3320020,24317.143679390316
3744,3746,24094.556937192076,0,81,24205.798661280853,3320020,24317.143679390316
4943,17247,24063.729763587286,0,81,24165.769907324513,44814020,24331.54196120395
3741,3747,24088.139613658266,0,81,24122.937819217543,3320020,24368.737210852396
15948,3803,22765.740355434344,0,81,24278.63684632501,25444020,24396.68411693768
14102,3756,22816.093309599353,0,81,23010.0,20296020,24397.884713349486
14102,3756,23008.611902979028,0,81,23010.0,20296020,24397.884713349486
3743,3756,23643.1442384082,0,81,23774.05793359891,20296020,24397.884713349486
3744,3756,23643.107242266015,0,81,23835.331565862823,20296020,24397.884713349486
3746,3756,23541.589331531984,0,81,23981.981687088257,20296020,24397.884713349486
