stop_id,stop_sequence,arrival_time_sec,departure_time_sec,passenger_load,ons,offs,schd_time_sec,trip_id,block_id,run_id,direction
14102,1,18587.967376198965,18596.93421546881,2,2,0,18510.0,6279020,651000002769,F109,East
3725,2,18617.93421546881,18617.93421546881,2,0,0,18531.0,6279020,651000002769,F109,East
3726,3,18905.93421546881,18905.93421546881,2,0,0,18557.0,6279020,651000002769,F109,East
3728,4,18927.93421546881,18927.93421546881,2,0,0,18597.0,6279020,651000002769,F109,East
3729,5,18987.93421546881,18987.93421546881,2,0,0,18647.0,6279020,651000002769,F109,East
3730,6,19006.93421546881,19006.93421546881,2,0,0,18677.0,6279020,651000002769,F109,East
3731,7,19023.93421546881,19029.98910255674,1,0,1,18709.0,6279020,651000002769,F109,East
3732,8,19067.98910255674,19067.98910255674,1,0,0,18743.0,6279020,651000002769,F109,East
3733,9,19092.98910255674,19092.98910255674,1,0,0,18800.0,6279020,651000002769,F109,East
3734,10,19114.98910255674,19114.98910255674,1,0,0,18845.0,6279020,651000002769,F109,East
17475,11,19165.98910255674,19173.454268102352,2,1,0,18908.0,6279020,651000002769,F109,East
17476,12,19203.454268102352,19203.454268102352,2,0,0,18940.0,6279020,651000002769,F109,East
3737,13,19219.454268102352,19225.63829460334,3,1,0,18977.0,6279020,651000002769,F109,East
18607,14,19249.63829460334,19249.63829460334,3,0,0,19033.0,6279020,651000002769,F109,East
3739,15,19273.63829460334,19273.63829460334,3,0,0,19062.0,6279020,651000002769,F109,East
18106,16,19365.63829460334,19365.63829460334,3,0,0,19116.0,6279020,651000002769,F109,East
3741,17,19393.63829460334,19393.63829460334,3,0,0,19157.0,6279020,651000002769,F109,East
3742,18,19420.63829460334,19420.63829460334,3,0,0,19222.0,6279020,651000002769,F109,East
3743,19,19469.63829460334,19476.408163103413,4,1,0,19273.0,6279020,651000002769,F109,East
3744,20,19533.408163103413,19533.408163103413,4,0,0,19337.0,6279020,651000002769,F109,East
3745,21,19567.408163103413,19575.17358870283,2,0,2,19391.0,6279020,651000002769,F109,East
3746,22,19620.17358870283,19627.76799089302,0,0,2,19459.0,6279020,651000002769,F109,East
3747,23,19741.76799089302,19741.76799089302,0,0,0,19499.0,6279020,651000002769,F109,East
3748,24,19775.76799089302,19775.76799089302,0,0,0,19559.0,6279020,651000002769,F109,East
3749,25,19870.76799089302,19870.76799089302,0,0,0,19622.0,6279020,651000002769,F109,East
3750,26,19921.76799089302,19921.76799089302,0,0,0,19682.0,6279020,651000002769,F109,East
3752,27,20000.76799089302,20000.76799089302,0,0,0,19778.0,6279020,651000002769,F109,East
3753,28,20045.76799089302,20045.76799089302,0,0,0,19841.0,6279020,651000002769,F109,East
17251,29,20104.76799089302,20104.76799089302,0,0,0,19907.0,6279020,651000002769,F109,East
3755,30,20125.76799089302,20125.76799089302,0,0,0,19943.0,6279020,651000002769,F109,East
3756,31,20153.76799089302,20153.76799089302,0,0,0,20000.0,6279020,651000002769,F109,East
3757,32,20202.76799089302,20202.76799089302,0,0,0,20060.0,6279020,651000002769,F109,East
17249,33,20232.76799089302,20232.76799089302,0,0,0,20122.0,6279020,651000002769,F109,East
3759,34,20250.76799089302,20250.76799089302,0,0,0,20160.0,6279020,651000002769,F109,East
3760,35,20287.76799089302,20287.76799089302,0,0,0,20210.0,6279020,651000002769,F109,East
17606,36,20336.76799089302,20336.76799089302,0,0,0,20282.0,6279020,651000002769,F109,East
3762,37,20356.76799089302,20356.76799089302,0,0,0,20329.0,6279020,651000002769,F109,East
3764,38,20378.76799089302,20378.76799089302,0,0,0,20385.0,6279020,651000002769,F109,East
3765,39,20395.76799089302,20395.76799089302,0,0,0,20423.0,6279020,651000002769,F109,East
4908,40,20509.76799089302,20509.76799089302,0,0,0,20545.0,6279020,651000002769,F109,East
4910,41,20550.76799089302,20550.76799089302,0,0,0,20611.0,6279020,651000002769,F109,East
4912,42,20581.76799089302,20581.76799089302,0,0,0,20664.0,6279020,651000002769,F109,East
18580,43,20617.76799089302,20624.361171472035,1,1,0,20711.0,6279020,651000002769,F109,East
15343,44,20945.361171472035,20945.361171472035,1,0,0,20783.0,6279020,651000002769,F109,East
5418,45,20999.361171472035,20999.361171472035,1,0,0,20813.0,6279020,651000002769,F109,East
3771,46,21065.361171472035,21065.361171472035,1,0,0,20868.0,6279020,651000002769,F109,East
16192,47,21106.361171472035,21106.361171472035,1,0,0,20896.0,6279020,651000002769,F109,East
2363,48,21141.361171472035,21141.361171472035,1,0,0,20963.0,6279020,651000002769,F109,East
3773,49,21298.361171472035,21298.361171472035,0,0,1,21120.0,6279020,651000002769,F109,East
3773,1,21480.0,21486.82005733982,1,1,0,21480.0,41321020,651000002769,F109,West
3774,2,21504.82005733982,21504.82005733982,1,0,0,21498.0,41321020,651000002769,F109,West
3775,3,21527.82005733982,21534.18861528673,0,0,1,21529.0,41321020,651000002769,F109,West
3776,4,21596.18861528673,21602.47734396659,1,1,0,21597.0,41321020,651000002769,F109,West
3777,5,21631.47734396659,21631.47734396659,1,0,0,21628.0,41321020,651000002769,F109,West
14582,6,21694.47734396659,21701.379127721968,2,1,0,21675.0,41321020,651000002769,F109,West
15461,7,21728.379127721968,21728.379127721968,2,0,0,21701.0,41321020,651000002769,F109,West
18393,8,21814.379127721968,21814.379127721968,2,0,0,21761.0,41321020,651000002769,F109,West
5348,9,21837.379127721968,21837.379127721968,2,0,0,21793.0,41321020,651000002769,F109,West
4941,10,21883.379127721968,21892.13966149535,2,1,1,21846.0,41321020,651000002769,F109,West
4943,11,21970.13966149535,21976.45691846171,3,1,0,21892.0,41321020,651000002769,F109,West
4945,12,22012.45691846171,22012.45691846171,3,0,0,21934.0,41321020,651000002769,F109,West
4947,13,22048.45691846171,22048.45691846171,3,0,0,21977.0,41321020,651000002769,F109,West
17247,14,22154.45691846171,22154.45691846171,3,0,0,22081.0,41321020,651000002769,F109,West
3787,15,22190.45691846171,22190.45691846171,3,0,0,22122.0,41321020,651000002769,F109,West
3788,16,22207.45691846171,22213.176787273587,2,0,1,22147.0,41321020,651000002769,F109,West
17603,17,22248.176787273587,22248.176787273587,2,0,0,22189.0,41321020,651000002769,F109,West
17604,18,22280.176787273587,22280.176787273587,2,0,0,22232.0,41321020,651000002769,F109,West
3791,19,22301.176787273587,22301.176787273587,2,0,0,22262.0,41321020,651000002769,F109,West
3792,20,22320.176787273587,22320.176787273587,2,0,0,22297.0,41321020,651000002769,F109,West
17246,21,22341.176787273587,22346.96727789065,1,0,1,22343.0,41321020,651000002769,F109,West
3794,22,22364.96727789065,22364.96727789065,1,0,0,22375.0,41321020,651000002769,F109,West
3795,23,22388.96727789065,22388.96727789065,1,0,0,22421.0,41321020,651000002769,F109,West
17245,24,22428.96727789065,22428.96727789065,1,0,0,22455.0,41321020,651000002769,F109,West
18352,25,22450.96727789065,22450.96727789065,1,0,0,22492.0,41321020,651000002769,F109,West
15931,26,22477.96727789065,22477.96727789065,1,0,0,22527.0,41321020,651000002769,F109,West
15948,27,22516.96727789065,22516.96727789065,1,0,0,22598.0,41321020,651000002769,F109,West
3801,28,22533.96727789065,22533.96727789065,1,0,0,22631.0,41321020,651000002769,F109,West
3802,29,22592.96727789065,22592.96727789065,1,0,0,22671.0,41321020,651000002769,F109,West
3803,30,22679.96727789065,22679.96727789065,1,0,0,22713.0,41321020,651000002769,F109,West
3804,31,22708.96727789065,22716.54924994375,2,1,0,22751.0,41321020,651000002769,F109,West
3805,32,22773.54924994375,22779.79221715433,3,1,0,22797.0,41321020,651000002769,F109,West
18107,33,22843.79221715433,22854.658815955197,6,3,0,22855.0,41321020,651000002769,F109,West
3807,34,22882.658815955197,22889.48681679071,5,0,1,22894.0,41321020,651000002769,F109,West
3808,35,22932.48681679071,22939.680649437876,6,1,0,22946.0,41321020,651000002769,F109,West
3809,36,22976.680649437876,22986.27799241903,5,1,2,22993.0,41321020,651000002769,F109,West
3810,37,23051.27799241903,23062.326196694696,3,1,3,23042.0,41321020,651000002769,F109,West
3811,38,23133.326196694696,23141.82865937897,5,2,0,23074.0,41321020,651000002769,F109,West
3812,39,23173.82865937897,23180.756283814382,6,1,0,23111.0,41321020,651000002769,F109,West
3813,40,23243.756283814382,23251.138860727842,4,0,2,23148.0,41321020,651000002769,F109,West
3814,41,23282.138860727842,23288.704251612755,3,0,1,23186.0,41321020,651000002769,F109,West
3815,42,23333.704251612755,23333.704251612755,3,0,0,23215.0,41321020,651000002769,F109,West
3816,43,23387.704251612755,23387.704251612755,3,0,0,23258.0,41321020,651000002769,F109,West
17133,44,23414.704251612755,23414.704251612755,3,0,0,23295.0,41321020,651000002769,F109,West
3818,45,23451.704251612755,23459.556864330443,1,0,2,23335.0,41321020,651000002769,F109,West
3819,46,23485.556864330443,23485.556864330443,1,0,0,23360.0,41321020,651000002769,F109,West
3820,47,23523.556864330443,23523.556864330443,1,0,0,23391.0,41321020,651000002769,F109,West
3821,48,23560.556864330443,23560.556864330443,1,0,0,23418.0,41321020,651000002769,F109,West
