boarding_stop,alighting_stop,arrival_time,times_denied,boarding_time,trip_id,alighting_time
3725,3731,18087.51310887193,0,18537.600501788424,6279020,19179.672322763756
17476,18607,19103.155797146934,0,19331.993183214483,6279020,19376.203783196306
3725,3739,18241.77842789124,0,18537.600501788424,6279020,19416.544500032927
14102,3745,18140.95668655808,0,18510.0,6279020,19659.119408203223
3742,3745,19033.25754158642,0,19563.89326363902,6279020,19659.119408203223
3744,3745,19076.544666903552,0,19629.423592926043,6279020,19659.119408203223
18106,3746,18604.366056389073,0,19513.78388880394,6279020,19789.790721082565
3742,3746,18362.963007441464,0,19563.89326363902,6279020,19789.790721082565
3745,3746,18291.75554558652,0,19659.119408203223,6279020,19789.790721082565
14102,3725,19361.95468217122,0,19827.987247876667,19619020,19859.927122630612
14102,3746,19097.014705713493,0,19200.0,47219020,20030.909364306935
14102,18607,19418.30483499089,0,19827.987247876667,19619020,20314.010196185744
14102,3746,19427.359851871122,0,19827.987247876667,19619020,20692.584961590645
17475,3746,19913.423168929945,0,20204.578800641644,19619020,20692.584961590645
18106,3746,20262.93005844824,0,20427.251444830075,19619020,20692.584961590645
3743,3746,20120.836394843624,0,20521.917331180313,19619020,20692.584961590645
3743,3746,20143.349593161423,0,20521.917331180313,19619020,20692.584961590645
3743,3746,20474.666532186075,0,20521.917331180313,19619020,20692.584961590645
3744,3746,20496.15763495265,0,20570.037253246315,19619020,20692.584961590645
3746,3762,19967.111084996624,0,20030.909364306935,47219020,20908.32854093985
3743,3745,20766.736040474563,0,20987.611541864262,43439020,21120.944046281536
3745,3756,20123.787924517317,0,20608.40483594572,19619020,21152.124556598978
14102,3746,20252.16300665488,0,20340.0,43439020,21197.895508203423
3741,3746,20841.543866002656,0,20854.178169635987,43439020,21197.895508203423
3765,18580,20879.044173623282,0,20961.204318704764,47219020,21228.37995641938
3725,3733,20490.61461526288,0,20948.697406599807,44567020,21241.17306894763
14102,3734,20856.073836201154,0,20918.818329498066,44567020,21269.50252500624
3774,3775,19819.84391889331,0,21498.0,41321020,21519.40651370105
3728,3742,20922.017725952206,0,21112.250589602878,44567020,21646.191018850514
3733,3742,20933.72452561004,0,21241.17306894763,44567020,21646.191018850514
14102,3743,20541.5904016213,0,20918.818329498066,44567020,21697.756144752602
3743,3745,21286.48224487337,0,21697.756144752602,44567020,21787.086775081825
18106,3746,20832.57761970816,0,21538.473434286883,44567020,21841.160195256904
18106,3746,20943.745676226376,0,21538.473434286883,44567020,21841.160195256904
3741,3746,20939.727256552902,0,21579.880969232923,44567020,21841.160195256904
3742,3746,21342.051216559186,0,21646.191018850514,44567020,21841.160195256904
3743,3746,21348.851061818255,0,21697.756144752602,44567020,21841.160195256904
3743,3746,21384.816814280195,0,21697.756144752602,44567020,21841.160195256904
3744,3746,21148.18139532768,0,21744.416493256023,44567020,21841.160195256904
3744,3746,21555.48838689958,0,21744.416493256023,44567020,21841.160195256904
18580,2363,21668.839292318582,0,21682.471967956462,19619020,22013.87074965557
3746,3756,21635.472828743583,0,21841.160195256904,44567020,22214.778970715008
17247,17603,22072.983594055877,0,22078.3689719683,41321020,22215.088625363576
14102,3746,21047.561068524203,0,21420.0,10141020,22319.63726820307
18607,3746,21794.505550700003,0,21915.490384302455,10141020,22319.63726820307
18106,3746,21575.53412268721,0,22025.781940685738,10141020,22319.63726820307
18106,3746,21877.303027128328,0,22025.781940685738,10141020,22319.63726820307
3741,3746,21667.658076266565,0,22069.470259297428,10141020,22319.63726820307
3741,3746,21991.059503690354,0,22069.470259297428,10141020,22319.63726820307
3757,18580,21188.147370724375,0,21807.785125237493,43439020,22435.69665957662
4908,18580,21836.778989061535,0,22295.129778994495,43439020,22435.69665957662
3776,4941,22181.86553855971,0,22219.0,19931020,22484.738173079782
14582,4941,22031.731959897163,0,22319.330393977074,19931020,22484.738173079782
3794,18352,21951.437015041403,0,22441.816131857966,41321020,22517.147776662936
3743,3762,21491.486143712533,0,21697.756144752602,44567020,22596.380939358263
3743,3762,21613.715918791844,0,21697.756144752602,44567020,22596.380939358263
5348,4947,21931.679161752883,0,22427.35915446159,19931020,22617.83780720656
17475,3756,21692.661718582836,0,21804.598843019245,10141020,22679.541694717773
3745,3756,22192.02084665203,0,22269.146951012917,10141020,22679.541694717773
3803,3804,21877.65617678371,0,22663.51391849734,41321020,22730.45712563315
4941,17247,22453.345849692665,0,22484.738173079782,19931020,22732.616998916274
14102,3746,21635.720634879603,0,21960.0,25072020,22789.656108158648
18106,3746,22432.336223250797,0,22531.01495216763,25072020,22789.656108158648
3741,3746,22227.10770801893,0,22565.470562694605,25072020,22789.656108158648
4941,3788,22139.583585881417,0,22484.738173079782,19931020,22790.945315858167
4941,3788,22198.96520605684,0,22484.738173079782,19931020,22790.945315858167
17247,3788,22714.877351088064,0,22732.616998916274,19931020,22790.945315858167
