naics_top2_group,placekey_in,poi_prop_in,placekey_all,poi_prop_all,poi_name
23.0,110,0.020058351568198397,1089,0.023741007194244605,Retail and Wholesale Trade
44.0,944,0.17213712618526622,8870,0.19337257466753868,Retail and Wholesale Trade
48.0,114,0.020787746170678335,656,0.014301286243732288,Other
51.0,2096,0.3822027716994894,13855,0.30204926967516893,Accomodation and Food
71.0,234,0.04266958424507659,2289,0.04990189666448659,Retail and Wholesale Trade
72.0,1191,0.21717724288840262,8957,0.19526923915413125,Coporation
81.0,717,0.13074398249452954,9912,0.2160889470241988,Other
92.0,78,0.014223194748358862,242,0.005275779376498801,Accomodation and Food
