,route_id,service_id,trip_id,direction_id,block_id,shape_id,direction,wheelchair_accessible,schd_trip_id
8731,20,62601,6260911261020,1,626055907402,62602063,East,1,911261020
8732,20,62601,6260911263020,1,626055907402,62602063,East,1,911263020
8733,20,62601,6260911264020,0,626055907402,62604096,West,1,911264020
8734,20,62601,6260911265020,1,626055907402,62600957,East,1,911265020
8735,20,62601,6260911266020,0,626055907402,62604096,West,1,911266020
8736,20,62601,6260911267020,1,626055907402,62600957,East,1,911267020
8737,20,62601,6260911268020,0,626055907402,62600954,West,1,911268020
8738,20,62601,6260911269020,0,626055907402,62600954,West,1,911269020
8739,20,62601,6260911270020,0,626055907402,62600954,West,1,911270020
8740,20,62601,6260911271020,1,626055907402,62600957,East,1,911271020
8741,20,62601,6260911272020,1,626055907402,62602063,East,1,911272020
8742,20,62601,6260911273020,0,626055907402,62604096,West,1,911273020
8743,20,62601,6260911274020,1,626055907402,62602063,East,1,911274020
8744,20,62601,6260911275020,0,626055907402,62604096,West,1,911275020
8745,20,62601,6260911276020,1,626055907402,62600957,East,1,911276020
8746,20,62601,6260911277020,0,626055907402,62600954,West,1,911277020
8747,20,62601,6260911278020,1,626055907402,62600957,East,1,911278020
8748,20,62601,6260911279020,0,626055907402,62600954,West,1,911279020
8749,20,62601,6260911280020,1,626055907402,62600956,East,1,911280020
8750,20,62601,6260911283020,1,626055897602,62602063,East,1,911283020
8751,20,62601,6260911284020,0,626055897602,62600949,West,1,911284020
8752,20,62601,6260911285020,1,626055897602,62602063,East,1,911285020
8753,20,62601,6260911286020,0,626055897602,62604096,West,1,911286020
8754,20,62601,6260911287020,1,626055897602,62600957,East,1,911287020
8755,20,62601,6260911288020,0,626055897602,62600954,West,1,911288020
8756,20,62601,6260911289020,0,626055897602,62604096,West,1,911289020
8757,20,62601,6260911290020,1,626055897602,62600957,East,1,911290020
8758,20,62601,6260911291020,0,626055897602,62600954,West,1,911291020
8759,20,62601,6260911292020,1,626055897602,62600957,East,1,911292020
8760,20,62601,6260911293020,0,626055897602,62600954,West,1,911293020
8761,20,62601,6260911294020,1,626055897602,62602063,East,1,911294020
8762,20,62601,6260911295020,0,626055897602,62604096,West,1,911295020
8763,20,62601,6260911297020,1,626055897602,62600956,East,1,911297020
8764,20,62601,6260911298020,1,626055897402,62602063,East,1,911298020
8765,20,62601,6260911300020,0,626055897402,62600949,West,1,911300020
8766,20,62601,6260911301020,1,626055897402,62600957,East,1,911301020
8767,20,62601,6260911302020,0,626055897402,62604096,West,1,911302020
8768,20,62601,6260911303020,1,626055897402,62600957,East,1,911303020
8769,20,62601,6260911304020,0,626055897402,62600954,West,1,911304020
8770,20,62601,6260911305020,0,626055897402,62600954,West,1,911305020
8771,20,62601,6260911306020,0,626055897402,62600954,West,1,911306020
8772,20,62601,6260911307020,1,626055897402,62600957,East,1,911307020
8773,20,62601,6260911308020,1,626055897402,62602063,East,1,911308020
8774,20,62601,6260911309020,0,626055897402,62604096,West,1,911309020
8775,20,62601,6260911310020,1,626055897402,62602063,East,1,911310020
8776,20,62601,6260911311020,0,626055897402,62604096,West,1,911311020
8777,20,62601,6260911312020,1,626055897402,62600956,East,1,911312020
8778,20,62601,6260911315020,0,626055897302,62600949,West,1,911315020
8779,20,62601,6260911316020,1,626055897302,62602063,East,1,911316020
8780,20,62601,6260911317020,0,626055897302,62604096,West,1,911317020
8781,20,62601,6260911318020,1,626055897302,62602063,East,1,911318020
8782,20,62601,6260911319020,0,626055897302,62600954,West,1,911319020
8783,20,62601,6260911320020,1,626055897302,62600957,East,1,911320020
8784,20,62601,6260911321020,0,626055897302,62604096,West,1,911321020
8785,20,62601,6260911322020,1,626055897302,62600957,East,1,911322020
8786,20,62601,6260911323020,0,626055897302,62600954,West,1,911323020
8787,20,62601,6260911324020,1,626055897302,62602063,East,1,911324020
8788,20,62601,6260911325020,0,626055897302,62604096,West,1,911325020
8789,20,62601,6260911326020,1,626055897302,62602063,East,1,911326020
8790,20,62601,6260911327020,1,626055897302,62600957,East,1,911327020
8791,20,62601,6260911328020,0,626055897302,62604096,West,1,911328020
8792,20,62601,6260911329020,1,626055897302,62600957,East,1,911329020
8793,20,62601,6260911330020,0,626055897302,62600954,West,1,911330020
8794,20,62601,6260911331020,0,626055897302,62600954,West,1,911331020
8795,20,62601,6260911333020,1,626055897302,62600957,East,1,911333020
8796,20,62601,6260911334020,0,626055897302,62600954,West,1,911334020
8797,20,62601,6260911354020,1,626055887002,62602063,East,1,911354020
8798,20,62601,6260911355020,0,626055887002,62604096,West,1,911355020
8799,20,62601,6260911356020,0,626055887002,62604096,West,1,911356020
8800,20,62601,6260911357020,0,626055887002,62600949,West,1,911357020
8801,20,62601,6260911358020,1,626055887002,62602063,East,1,911358020
8802,20,62601,6260911359020,1,626055887002,62600957,East,1,911359020
8803,20,62601,6260911360020,0,626055887002,62600954,West,1,911360020
8804,20,62601,6260911361020,1,626055887002,62600957,East,1,911361020
8805,20,62601,6260911362020,0,626055887002,62600954,West,1,911362020
8806,20,62601,6260911363020,1,626055887002,62600956,East,1,911363020
8807,20,62601,6260911364020,1,626055887302,62602063,East,1,911364020
8808,20,62601,6260911367020,0,626055887302,62600949,West,1,911367020
8809,20,62601,6260911369020,0,626055887302,62604096,West,1,911369020
8810,20,62601,6260911370020,1,626055887302,62600957,East,1,911370020
8811,20,62601,6260911371020,0,626055887302,62600953,West,1,911371020
8812,20,62601,6260911376020,0,626055897502,62600949,West,1,911376020
8813,20,62601,6260911377020,1,626055897502,62602063,East,1,911377020
8814,20,62601,6260911378020,0,626055897502,62604095,West,1,911378020
8815,20,62601,6260911381020,1,626055907002,62602063,East,1,911381020
8816,20,62601,6260911382020,0,626055907002,62604096,West,1,911382020
8817,20,62601,6260911383020,0,626055907002,62600949,West,1,911383020
8818,20,62601,6260911384020,1,626055907002,62602063,East,1,911384020
8819,20,62601,6260911385020,0,626055907002,62604096,West,1,911385020
8820,20,62601,6260911386020,1,626055907002,62602063,East,1,911386020
8821,20,62601,6260911387020,0,626055907002,62604095,West,1,911387020
8822,20,62601,6260911389020,0,626055907702,62604096,West,1,911389020
8823,20,62601,6260911391020,1,626055907702,62602063,East,1,911391020
8824,20,62601,6260911392020,0,626055907702,62600949,West,1,911392020
8825,20,62601,6260911393020,1,626055907702,62600957,East,1,911393020
8826,20,62601,6260911394020,1,626055907702,62602063,East,1,911394020
8827,20,62601,6260911395020,0,626055907702,62604096,West,1,911395020
8828,20,62601,6260911396020,0,626055907702,62600954,West,1,911396020
8829,20,62601,6260911397020,1,626055907702,62600957,East,1,911397020
8830,20,62601,6260911398020,0,626055907702,62600954,West,1,911398020
8831,20,62601,6260911399020,1,626055907702,62600956,East,1,911399020
8832,20,62601,6260911408030,0,626055907603,62600947,West,1,911408030
8833,20,62601,6260911409030,1,626055907603,62602063,East,1,911409030
8834,20,62601,6260911410030,0,626055907603,62604096,West,1,911410030
8835,20,62601,6260911411030,1,626055907603,62602063,East,1,911411030
8836,20,62601,6260911412030,1,626055907603,62600957,East,1,911412030
8837,20,62601,6260911413030,0,626055907603,62604096,West,1,911413030
