method,wt_mean,err_wt_mean,wt_median,denied_per_mil,wt_0_2,wt_2_4,wt_4_inf,skip_freq,tt_mean,tt_sd,tt_95,tt_85,cv_h_tp,err_cv_h_tp,h_pk,std_h_pk,95_h_pk,rbt_mean,rbt_median
3,2.93,0.033,2.95,13.75,51.05,31.6,17.35,11.1,69.72,4.15,76.72,75.11,0.6,0.003,4.58,3.07,10.35,2.02,2.1
5,2.78,0.026,2.74,12.05,51.8,34.04,14.16,9.8,69.97,4.22,77.41,75.61,0.56,0.004,4.55,2.86,9.29,1.79,1.75
7,2.72,0.041,2.71,9.41,53.19,32.92,13.89,8.1,70.24,3.87,77.2,75.08,0.55,0.005,4.66,2.75,9.43,1.83,1.78
9,2.73,0.028,2.7,9.25,52.45,33.63,13.92,7.7,69.6,3.68,76.1,74.53,0.55,0.003,4.66,2.6,9.04,1.86,1.82
11,2.72,0.041,2.7,8.38,52.58,33.69,13.73,5.3,70.49,3.79,77.5,75.83,0.54,0.004,4.53,2.58,9.3,1.85,1.75
