AM,mid,PM
0.69,0.7,0.62
0.71,0.68,0.7
0.78,0.66,0.67
0.71,0.69,0.65
0.72,0.68,0.64
0.76,0.65,0.61
0.71,0.68,0.62
0.67,0.66,0.64
0.69,0.63,0.66
0.75,0.66,0.69
0.76,0.67,0.72
0.75,0.67,0.71
