AM,mid,PM
4.28,4.84,4.56
4.99,5.99,5.82
9.46,8.2,7.79
4.42,4.93,4.7
4.99,5.6,5.7
9.09,7.77,7.28
4.32,4.85,4.62
4.79,5.45,5.51
7.99,6.97,6.56
4.96,5.49,5.38
5.35,5.97,5.64
5.21,5.71,5.57
